t,c,d
0s,I,2018-08-03T17:14:45.9482972000
591.2071ms,L,0
614.2332ms,D,1>0
616.2306ms,L,1
616.2306ms,D,2>0
618.2311ms,L,2
619.2345ms,D,3>0
621.2148ms,L,3
626.2357ms,D,4>0
628.2149ms,L,4
632.2368ms,D,5>0
634.2159ms,L,5
1.0945372s,S,2>0
1.1924527s,S,0>2
1.1984526s,S,3>0
1.2874739s,S,2>0
1.3004762s,S,0>3
1.3054877s,S,5>0
1.3964976s,S,1>0
1.4025095s,S,3>0
1.4415184s,S,0>5
1.488529s,S,0>1
1.5085225s,S,4>0
1.578539s,S,5>0
1.5805501s,S,1>0
1.5905523s,S,0>1
1.599544s,S,0>4
1.6815794s,S,0>2
1.6815794s,S,1>0
1.689581s,S,4>0
1.7796001s,S,0>3
1.7796001s,S,2>0
1.881629s,S,0>4
1.881629s,S,3>0
1.9726462s,S,0>5
1.9726462s,S,4>0
2.1096761s,S,5>0
4.0630912s,D,6>0
4.0650905s,L,6
4.1101014s,S,0>6
4.1670933s,D,7>0
4.1690924s,L,7
4.2541155s,S,6>0
4.2601166s,D,8>0
4.2621169s,L,8
4.3581561s,D,9>0
4.3611542s,L,9
4.3961438s,S,0>1
4.4601782s,D,10>0
4.461157s,L,10
4.4861843s,S,0>3
4.5081681s,D,1>6
4.5081681s,S,1>6
4.5671811s,D,11>0
4.5701994s,L,11
4.5902061s,S,0>5
4.598208s,S,6>1
4.6712237s,D,12>0
4.6752166s,L,12
4.6902083s,S,1>0
4.7302179s,S,0>6
4.7542384s,D,13>0
4.7582219s,L,13
4.7812478s,S,1>6
4.8622654s,D,14>0
4.8662636s,L,14
4.873268s,S,0>7
4.9662702s,D,15>0
4.9702865s,L,15
4.9802916s,S,0>8
5.0362855s,S,6>0
5.0622901s,S,0>2
5.0683108s,D,16>0
5.0732927s,L,16
5.1463257s,S,7>0
5.1523267s,D,17>0
5.1523267s,C,0>15
5.1543273s,C,15>0
5.1543273s,C,0>15
5.1553107s,C,15>0
5.1553107s,L,17
5.1603287s,S,0>4
5.1783331s,S,6>1
5.1783331s,S,0>6
5.2133406s,D,2>6
5.2133406s,S,2>6
5.244332s,S,8>0
5.2523345s,S,0>9
5.255334s,S,0>8
5.255334s,S,0>7
5.2593357s,D,18>0
5.2593357s,C,0>10
5.2593357s,C,10>0
5.2593357s,C,0>10
5.2653339s,C,10>0
5.2653339s,L,18
5.2703565s,S,1>6
5.2763579s,D,7>6
5.2763579s,S,7>6
5.3103442s,S,6>2
5.3214312s,D,3>6
5.3214312s,S,3>6
5.3363502s,S,0>11
5.3363502s,S,8>0
5.3363502s,S,0>8
5.3433719s,S,9>0
5.3473728s,D,8>6
5.3473728s,S,8>6
5.3613552s,D,19>0
5.3613552s,C,0>13
5.3644374s,L,19
5.3644374s,C,0>13
5.3644374s,C,13>0
5.3644374s,S,7>0
5.3644374s,C,13>0
5.3863811s,S,6>7
5.4083649s,S,6>2
5.4083649s,S,2>0
5.4183671s,S,0>7
5.4183671s,S,8>0
5.4203694s,S,0>9
5.4263869s,S,6>3
5.4273703s,S,11>0
5.4303701s,S,6>8
5.4353889s,D,9>6
5.4353889s,S,9>6
5.4453941s,D,0>10
5.4453941s,C,0>8
5.4453941s,S,0>10
5.4453941s,C,8>0
5.4453941s,C,0>8
5.4453941s,C,8>0
5.4513951s,S,8>6
5.4603969s,C,0>10
5.4603969s,D,10>0
5.4603969s,C,0>10
5.4603969s,C,10>0
5.4603969s,C,10>0
5.4603969s,S,10>0
5.4683988s,D,20>0
5.4683988s,C,0>4
5.4683988s,C,4>0
5.4683988s,C,0>4
5.4743973s,C,4>0
5.4743973s,S,7>6
5.4743973s,D,5>6
5.4743973s,S,5>6
5.4743973s,L,20
5.4804013s,D,0>13
5.4804013s,C,0>6
5.4804013s,S,0>13
5.4804013s,C,0>6
5.4804013s,C,6>0
5.4804013s,C,6>0
5.4954041s,S,7>0
5.4974047s,S,9>0
5.5063888s,S,6>7
5.5073875s,S,2>6
5.5124078s,S,6>9
5.5213888s,S,0>5
5.5273942s,S,0>11
5.5293907s,S,3>0
5.5353935s,S,8>6
5.5503969s,S,11>0
5.5524168s,S,0>10
5.5604185s,D,21>0
5.5604185s,C,0>9
5.5604185s,C,0>9
5.5604185s,C,9>0
5.5663999s,C,9>0
5.5663999s,L,21
5.5684204s,S,13>0
5.5754216s,S,9>6
5.5964258s,D,0>15
5.5964258s,C,0>21
5.5964258s,C,21>0
5.5964258s,C,0>21
5.5964258s,S,0>15
5.5964258s,C,21>0
5.6034273s,S,7>6
5.6124092s,S,6>1
5.6124092s,S,6>5
5.6214115s,D,4>6
5.6214115s,S,4>6
5.6224119s,S,0>14
5.6314137s,S,3>6
5.6414358s,S,0>11
5.6444365s,S,10>0
5.651438s,S,9>6
5.651438s,S,12>0
5.6554388s,S,0>13
5.6584392s,S,0>12
5.6604398s,D,22>0
5.6604398s,C,0>5
5.6604398s,C,5>0
5.6604398s,C,0>5
5.6664382s,C,5>0
5.6674204s,L,22
5.7134314s,S,6>4
5.7344365s,S,0>16
5.7344365s,S,11>0
5.7374358s,S,13>0
5.740437s,S,15>0
5.741438s,S,0>7
5.7484586s,S,5>6
5.7584608s,D,23>0
5.7584608s,C,0>14
5.7584608s,C,14>0
5.7584608s,C,0>14
5.7644592s,S,0>17
5.7644592s,C,14>0
5.7644592s,S,0>12
5.7654421s,L,23
5.80447s,S,4>6
5.8234546s,S,0>13
5.8504602s,S,0>20
5.8584821s,S,0>18
5.8624829s,D,14>0
5.8624829s,C,0>3
5.8624829s,C,0>3
5.8624829s,C,3>0
5.8624829s,S,14>0
5.8624829s,C,3>0
5.8664808s,D,24>0
5.8664808s,C,0>19
5.8664808s,C,19>0
5.8724821s,C,19>0
5.8664808s,C,0>19
5.8734647s,S,0>2
5.8734647s,S,12>0
5.8734647s,S,0>16
5.8734647s,L,24
5.8814868s,S,0>7
5.9094711s,S,13>0
5.9384823s,S,15>0
5.9514819s,S,0>1
5.9674858s,D,25>0
5.9674858s,C,0>12
5.9744873s,C,12>0
5.9744873s,C,0>12
5.9744873s,S,0>17
5.9744873s,C,12>0
5.9744873s,L,25
5.9775082s,S,0>14
5.9875101s,D,14>8
5.9875101s,S,14>8
5.9895103s,S,0>13
5.9994923s,S,16>0
6.0035133s,S,0>11
6.040502s,S,8>14
6.0505033s,S,0>7
6.0605258s,D,26>0
6.0605258s,C,0>2
6.0605258s,C,2>0
6.0605258s,C,0>2
6.0675079s,C,2>0
6.0675079s,S,0>17
6.0675079s,S,0>18
6.0675079s,L,26
6.0765085s,S,0>22
6.0805093s,S,0>15
6.0895114s,S,14>0
6.0975133s,S,0>14
6.1255205s,S,16>0
6.1355215s,S,17>0
6.1565283s,S,0>13
6.1585301s,S,0>1
6.1635304s,D,27>0
6.1635304s,C,0>15
6.1635304s,C,15>0
6.1635304s,C,0>15
6.1635304s,C,15>0
6.1705308s,L,27
6.178552s,D,0>12
6.178552s,C,0>18
6.178552s,S,0>12
6.178552s,C,18>0
6.178552s,C,0>18
6.178552s,C,18>0
6.182549s,S,0>23
6.182549s,S,0>22
6.2015354s,S,14>8
6.2015354s,S,14>0
6.2145424s,S,0>16
6.2295449s,S,0>17
6.2295449s,S,17>0
6.237546s,D,17>11
6.237546s,S,17>11
6.2455643s,S,0>11
6.257567s,D,28>0
6.257567s,C,0>16
6.257567s,C,16>0
6.257567s,C,0>16
6.257567s,C,16>0
6.2645501s,S,0>10
6.2645501s,D,18>0
6.2645501s,S,0>16
6.2655511s,C,0>7
6.2655511s,C,7>0
6.2655511s,S,18>0
6.2655511s,C,0>7
6.2655511s,L,28
6.2655511s,C,7>0
6.2685723s,D,16>8
6.2685723s,S,16>8
6.2705726s,S,6>9
6.2805747s,S,11>17
6.2845565s,S,0>14
6.2845565s,S,0>24
6.2845565s,S,12>0
6.2865758s,D,17>8
6.2865758s,S,17>8
6.2895765s,S,0>23
6.3145628s,S,14>8
6.3175614s,D,2>8
6.3175614s,S,8>17
6.3175614s,S,2>8
6.3215625s,S,17>11
6.3215625s,S,17>8
6.334566s,S,8>16
6.3385768s,S,0>11
6.3485789s,S,6>5
6.3485789s,S,17>0
6.3485789s,S,9>6
6.3535802s,S,8>2
6.3565806s,S,0>12
6.3585811s,S,0>18
6.3605817s,D,29>0
6.3605817s,C,0>23
6.3605817s,C,23>0
6.3605817s,C,0>23
6.3685895s,C,23>0
6.3685895s,D,19>0
6.3685895s,D,18>11
6.3685895s,C,0>17
6.3685895s,S,17>8
6.3685895s,C,17>0
6.3685895s,S,18>11
6.3685895s,C,0>17
6.3685895s,C,17>0
6.3685895s,L,29
6.3685895s,S,19>0
6.3865936s,S,17>11
6.3865936s,S,17>0
6.3915963s,S,2>8
6.3955974s,S,0>14
6.3955974s,S,14>0
6.3955974s,D,7>8
6.3955974s,S,7>8
6.4015818s,S,16>8
6.411584s,S,11>18
6.4175877s,D,18>8
6.4175877s,D,0>7
6.4175877s,S,18>8
6.4175877s,C,0>10
6.4175877s,S,0>7
6.4175877s,C,0>10
6.4175877s,C,10>0
6.4175877s,C,10>0
6.4215867s,S,0>20
6.4215867s,S,0>24
6.4275875s,S,2>6
6.4285876s,S,17>8
6.4285876s,S,17>11
6.4295878s,S,0>11
6.4305885s,S,8>14
6.4315886s,S,6>1
6.4395897s,S,20>0
6.4426079s,S,8>7
6.4486122s,S,8>18
6.4526131s,D,7>13
6.4526131s,S,18>8
6.4526131s,S,7>13
6.4546136s,S,18>0
6.4606147s,S,0>18
6.462615s,D,30>0
6.462615s,C,0>14
6.462615s,C,0>14
6.462615s,C,14>0
6.4716141s,C,14>0
6.4716141s,L,30
6.4816192s,S,8>16
6.4816192s,S,14>8
6.4846196s,S,6>7
6.4846196s,S,5>6
6.4896208s,S,7>8
6.4946218s,S,0>19
6.5046237s,S,13>7
6.5246078s,S,7>0
6.5256258s,D,7>15
6.5256258s,S,6>2
6.5256258s,S,7>15
6.5346106s,S,8>14
6.5376104s,S,7>6
6.5396605s,D,0>9
6.5396605s,C,0>20
6.5396605s,C,20>0
6.5396605s,S,0>9
6.5396605s,C,0>20
6.5396605s,C,20>0
6.5476334s,S,18>11
6.5476334s,S,18>0
6.5476334s,S,8>17
6.5476334s,S,16>8
6.5516342s,S,0>1
6.5536345s,S,0>7
6.5596358s,D,10>13
6.5596358s,S,10>13
6.560636s,D,21>0
6.560636s,C,0>27
6.560636s,C,27>0
6.560636s,S,21>0
6.560636s,C,0>27
6.560636s,C,27>0
6.5676378s,S,0>11
6.5676378s,S,0>20
6.5706382s,D,31>0
6.5706382s,C,0>7
6.5706382s,C,0>7
6.5706382s,C,7>0
6.5796376s,C,7>0
6.5796376s,S,0>13
6.5796376s,L,31
6.5816405s,D,20>13
6.5816405s,S,20>13
6.5866414s,S,8>2
6.5866414s,S,17>8
6.588642s,S,7>0
6.5896421s,S,8>6
6.5956435s,S,18>8
6.5966436s,S,0>12
6.5966436s,S,0>20
6.6016446s,S,13>10
6.6067317s,D,1>11
6.6067317s,S,1>11
6.6106264s,S,7>13
6.6126267s,S,0>19
6.6126267s,S,19>0
6.6166451s,S,9>0
6.6176294s,S,8>16
6.6226303s,S,6>2
6.6226303s,S,6>7
6.6256474s,S,8>7
6.6256474s,S,2>8
6.6296312s,D,5>11
6.6296312s,S,5>11
6.6316485s,S,15>7
6.6396325s,S,18>0
6.6396325s,S,22>0
6.6396325s,S,18>11
6.6406338s,S,10>13
6.6436512s,D,7>11
6.6436512s,S,7>11
6.6466548s,S,7>6
6.6486551s,S,11>1
6.6526559s,D,11>12
6.6526559s,S,11>12
6.6546565s,D,1>8
6.6546565s,S,1>8
6.6606578s,S,0>18
6.6626581s,S,7>15
6.6626581s,S,0>21
6.6626581s,S,7>13
6.6656588s,S,0>11
6.6736601s,D,32>0
6.6736601s,C,0>31
6.6736601s,C,31>0
6.6736601s,C,0>31
6.683643s,C,31>0
6.683643s,S,8>17
6.683643s,S,13>20
6.683643s,S,18>8
6.683643s,S,8>16
6.683643s,S,7>8
6.683643s,L,32
6.6896637s,D,8>11
6.6896637s,S,8>1
6.6896637s,S,8>11
6.6916642s,S,1>0
6.6946649s,D,1>9
6.6946649s,S,1>9
6.6986654s,S,0>29
6.7046469s,S,0>28
6.7046469s,S,12>11
6.7046469s,S,11>1
6.7056669s,S,11>7
6.7156489s,S,8>2
6.7176503s,S,11>5
6.7206534s,S,1>11
6.7216529s,S,9>1
6.7226528s,S,8>18
6.7226528s,S,11>8
6.7236514s,S,6>3
6.7236514s,S,2>6
6.7306526s,S,0>12
6.7386551s,S,18>11
6.7386551s,S,7>8
6.7476762s,S,0>22
6.7486767s,S,1>6
6.7506567s,S,8>17
6.7506567s,S,8>16
6.7526775s,S,8>7
6.7546778s,S,18>8
6.7556782s,S,12>11
6.7556782s,S,11>17
6.7566783s,S,0>1
6.7586786s,D,23>0
6.7586786s,C,0>18
6.7586786s,C,18>0
6.7586786s,C,0>18
6.7586786s,C,18>0
6.7586786s,S,23>0
6.7606788s,S,0>26
6.7626794s,S,7>11
6.7646796s,S,1>8
6.7646796s,S,1>11
6.7656801s,S,21>0
6.7686808s,D,22>15
6.7686808s,S,22>15
6.770681s,D,33>0
6.770681s,C,0>9
6.770681s,C,0>9
6.770681s,C,9>0
6.7816807s,C,9>0
6.7816807s,S,20>13
6.7816807s,L,33
6.7846831s,S,0>30
6.787685s,S,8>2
6.7916855s,S,7>6
6.7916855s,S,7>8
6.7936861s,S,8>1
6.8006668s,S,1>9
6.8016877s,S,8>18
6.8046884s,S,11>5
6.8046884s,S,5>11
6.8056885s,S,11>18
6.8126695s,S,11>12
6.8216724s,D,12>13
6.8216724s,S,12>13
6.8226726s,S,8>17
6.8226726s,S,8>16
6.8236897s,S,13>20
6.8256733s,S,8>7
6.8256733s,S,6>3
6.8256733s,S,6>8
6.8256733s,S,3>6
6.8266737s,S,1>0
6.8286734s,S,7>13
6.8326739s,S,8>14
6.8336743s,S,0>28
6.8416938s,S,1>6
6.8416938s,S,1>11
6.8416938s,S,24>0
6.8476981s,S,11>1
6.8536992s,S,8>2
6.8546993s,S,0>12
6.8546993s,S,22>0
6.8546993s,S,0>1
6.8607007s,S,0>23
6.864681s,S,12>0
6.8676817s,D,34>0
6.8676817s,C,0>25
6.8676817s,C,25>0
6.8676817s,C,0>25
6.878684s,C,25>0
6.878684s,S,13>12
6.878684s,S,15>22
6.878684s,S,8>18
6.8796841s,L,34
6.8806857s,D,23>15
6.8806857s,S,23>15
6.8867038s,S,0>13
6.8877045s,S,1>8
6.8897042s,D,12>17
6.8897042s,S,7>15
6.8897042s,S,8>6
6.8897042s,S,12>17
6.8916869s,S,8>16
6.8956889s,S,11>8
6.8966902s,S,11>5
6.8966902s,S,5>6
6.8966902s,S,5>11
6.8986913s,D,22>16
6.8986913s,S,22>16
6.9006895s,S,7>11
6.9006895s,S,7>6
6.9016911s,S,8>7
6.9016911s,S,8>2
6.9116921s,S,6>4
6.9116921s,S,8>14
6.9146934s,S,20>13
6.9206939s,D,13>8
6.9206939s,S,1>9
6.9206939s,S,13>8
6.9266991s,S,8>11
6.9286964s,S,6>8
6.9286964s,S,6>3
6.9336973s,S,1>6
6.9336973s,S,1>11
6.9346972s,D,11>13
6.9346972s,S,11>13
6.941699s,S,17>12
6.9476995s,S,13>11
6.9476995s,S,8>13
6.9486999s,S,8>18
6.9486999s,S,8>7
6.9486999s,S,1>0
6.9537032s,S,0>26
6.9537032s,S,0>1
6.95872s,S,7>13
6.95872s,S,11>17
6.95872s,S,8>2
6.95872s,S,8>16
6.95872s,S,23>0
6.9637048s,S,22>15
6.9657045s,S,12>11
6.9657045s,S,12>0
6.968704s,D,35>0
6.968704s,D,25>0
6.968704s,C,0>28
6.968704s,C,28>0
6.9807076s,C,0>30
6.9807076s,C,0>30
6.9807076s,S,15>23
6.9807076s,S,0>22
6.9807076s,C,28>0
6.968704s,C,0>28
6.9807076s,S,1>8
6.9807076s,C,30>0
6.9807076s,S,25>0
6.9817074s,S,8>6
6.9817074s,L,35
6.9817074s,C,30>0
6.9827084s,S,11>7
6.9857085s,S,0>24
6.9857085s,S,22>0
6.9857085s,S,13>0
6.9947094s,S,11>13
6.9947094s,S,13>11
6.9947094s,S,13>7
6.9987099s,S,8>1
6.9987099s,S,16>22
7.0017109s,S,8>7
7.0017109s,S,7>8
7.0037109s,S,4>6
7.0057114s,S,11>1
7.0057114s,S,11>17
7.0117128s,D,24>15
7.0117128s,S,24>15
7.0137137s,S,6>9
7.0217159s,S,12>13
7.0217159s,S,7>15
7.0307188s,S,8>11
7.0307188s,S,6>8
7.0307188s,S,11>13
7.0307188s,S,13>10
7.0337189s,S,8>2
7.0387377s,S,11>12
7.0417414s,S,26>0
7.0457422s,S,7>13
7.0467426s,S,11>7
7.0467426s,S,11>18
7.0467426s,S,17>11
7.0467426s,S,7>6
7.0467426s,S,8>1
7.0517435s,D,14>13
7.0517435s,S,14>13
7.0537441s,D,36>0
7.0537441s,S,0>25
7.0537441s,S,0>1
7.0537441s,C,0>32
7.0657436s,C,0>32
7.0657436s,C,32>0
7.0657436s,C,32>0
7.0667259s,S,12>11
7.0667259s,S,12>0
7.0667259s,S,8>6
7.0667259s,S,0>23
7.0667259s,S,23>15
7.0667259s,L,36
7.0727281s,S,8>14
7.0737485s,S,13>20
7.0737485s,S,13>10
7.0737485s,S,11>17
7.0817475s,S,8>7
7.0827476s,S,13>7
7.0827476s,S,13>0
7.0857489s,S,23>0
7.0897494s,S,22>16
7.0927498s,S,22>15
7.0957511s,S,6>5
7.0977513s,S,11>8
7.0997516s,D,15>11
7.0997516s,S,18>11
7.0997516s,S,15>11
7.1117361s,S,11>12
7.1117361s,S,10>13
7.1117361s,S,13>14
7.1177554s,S,12>13
7.1177554s,S,6>9
7.1177554s,S,6>8
7.1177554s,S,11>1
7.1177554s,S,11>17
7.1197381s,S,0>24
7.1197381s,S,24>0
7.1237401s,D,14>17
7.1237401s,S,14>17
7.1247572s,S,8>14
7.1277415s,S,8>18
7.1287416s,D,13>15
7.1287416s,S,13>15
7.1317587s,S,11>0
7.1367599s,S,13>10
7.1467445s,S,0>26
7.1467445s,S,15>24
7.1517631s,S,8>6
7.1607654s,S,11>7
7.1607654s,S,8>11
7.1607654s,S,11>1
7.1627657s,D,26>16
7.1627657s,S,26>16
7.1637658s,S,11>8
7.1637658s,D,27>0
7.1637658s,C,0>12
7.1637658s,C,0>12
7.1637658s,C,12>0
7.1637658s,S,27>0
7.1637658s,C,12>0
7.1647659s,S,13>12
7.1647659s,S,13>20
7.166748s,S,12>17
7.1677496s,D,37>0
7.1677496s,C,0>29
7.1727679s,D,24>16
7.1727679s,S,13>7
7.1727679s,C,29>0
7.1727679s,S,24>16
7.1727679s,C,29>0
7.1727679s,S,12>11
7.1727679s,C,0>29
7.1727679s,L,37
7.1807698s,S,22>0
7.1827701s,S,0>25
7.1867527s,S,23>15
7.1877552s,S,14>17
7.1877552s,S,17>14
7.1927567s,S,11>15
7.1937571s,S,8>14
7.1987575s,S,11>13
7.2017567s,S,22>16
7.2057596s,S,6>9
7.20676s,D,14>16
7.20676s,S,14>16
7.2117601s,S,13>8
7.2157618s,S,15>13
7.2177626s,S,11>12
7.2177626s,S,11>7
7.2237616s,S,13>10
7.2237616s,S,12>13
7.229763s,D,13>16
7.229763s,S,11>0
7.229763s,S,13>16
7.2347631s,S,6>5
7.2347631s,S,6>4
7.2387651s,S,13>11
7.2397652s,S,8>6
7.2397652s,S,8>17
7.2437666s,S,26>0
7.2437666s,S,16>26
7.2477668s,S,14>17
7.2477668s,S,14>13
7.2527678s,S,0>19
7.2527678s,S,0>24
7.2527678s,S,24>15
7.2557708s,S,13>12
7.2557708s,S,13>20
7.2587697s,D,28>0
7.2587697s,C,0>13
7.2587697s,C,13>0
7.2587697s,S,28>0
7.2587697s,C,13>0
7.2587697s,C,0>13
7.2617704s,D,38>0
7.2617704s,C,0>19
7.2617704s,C,0>19
7.2617704s,C,19>0
7.2617704s,C,19>0
7.2697726s,S,11>8
7.2697726s,S,0>27
7.2697726s,L,38
7.2717711s,S,12>17
7.2727719s,S,11>12
7.2757722s,S,0>11
7.276773s,S,13>7
7.276773s,S,8>18
7.2787738s,S,15>24
7.2787738s,S,24>0
7.2877753s,S,15>22
7.2907936s,S,22>15
7.2927979s,S,16>24
7.3007799s,S,16>13
7.3058008s,S,14>8
7.3058008s,S,13>8
7.3058008s,S,13>12
7.3077811s,S,16>14
7.3107827s,S,0>25
7.3107827s,S,14>16
7.3107827s,S,25>0
7.3208013s,S,8>6
7.3208013s,S,8>17
7.3247848s,S,11>18
7.3247848s,S,11>0
7.3247848s,S,11>8
7.3297872s,S,13>7
7.3327891s,D,17>16
7.3327891s,S,13>11
7.3327891s,S,17>16
7.3347876s,S,16>22
7.3468103s,S,26>16
7.3468103s,S,26>0
7.3487897s,S,13>20
7.3528113s,S,8>18
7.3528113s,S,13>12
7.3528113s,S,12>13
7.3558117s,S,0>28
7.3578123s,S,11>13
7.3598125s,D,39>0
7.3598125s,C,0>26
7.3598125s,C,0>26
7.3598125s,C,26>0
7.3738129s,C,26>0
7.3738129s,D,28>17
7.3738129s,S,27>0
7.3738129s,D,29>0
7.3738129s,S,28>17
7.3738129s,S,11>5
7.3738129s,D,2>7
7.3738129s,S,6>4
7.3738129s,L,39
7.3738129s,S,0>1
7.3738129s,S,6>5
7.3738129s,S,2>7
7.3738129s,S,29>0
7.3738129s,C,0>28
7.3738129s,C,28>0
7.3738129s,C,0>28
7.3738129s,C,28>0
7.3808147s,S,13>14
7.3848155s,S,0>27
7.3938179s,S,8>11
7.3958005s,S,15>23
7.4078235s,S,8>17
7.4108043s,S,13>8
7.4108043s,S,13>7
7.4128077s,S,24>15
7.4148045s,S,14>13
7.4208059s,S,17>12
7.4208059s,S,16>17
7.4208059s,S,17>28
7.4208059s,S,24>0
7.4298079s,S,11>18
7.4298079s,S,11>0
7.4298079s,S,22>16
7.4318091s,D,28>12
7.4318091s,S,28>12
7.4348089s,D,3>9
7.4348089s,S,3>9
7.4378277s,S,7>2
7.4408316s,D,15>0
7.4408316s,C,0>24
7.4408316s,C,24>0
7.4408316s,S,15>0
7.4408316s,C,0>24
7.4408316s,C,24>0
7.4428284s,S,26>16
7.4478322s,D,2>11
7.4478322s,S,13>12
7.4478322s,S,13>20
7.4478322s,S,2>11
7.4518137s,S,0>29
7.4618156s,S,11>15
7.4628357s,D,30>0
7.4628357s,C,0>22
7.4628357s,C,0>22
7.4628357s,C,22>0
7.4628357s,S,30>0
7.4628357s,C,22>0
7.4648359s,D,18>16
7.4648359s,S,13>7
7.4648359s,S,18>16
7.4658161s,D,29>9
7.4658161s,S,29>9
7.4668151s,S,6>1
7.4678161s,S,0>25
7.4708373s,S,11>5
7.4718374s,S,9>3
7.4728379s,S,14>8
7.4728379s,S,14>13
7.473838s,D,40>0
7.473838s,C,0>33
7.473838s,C,33>0
7.473838s,C,0>33
7.473838s,C,33>0
7.4888206s,D,3>7
7.4888206s,S,17>14
7.4888206s,S,12>17
7.4888206s,L,40
7.4888206s,S,3>7
7.4918418s,S,15>24
7.4968431s,S,9>29
7.5008233s,S,28>12
7.5008233s,S,12>28
7.5038446s,S,16>17
7.5038446s,S,17>12
7.5068452s,S,13>8
7.5068452s,S,11>2
7.5108282s,D,19>12
7.5108282s,S,19>12
7.5128264s,S,2>8
7.5158274s,S,6>4
7.5178267s,D,2>18
7.5178267s,S,2>18
7.5188289s,S,3>9
7.5198296s,S,29>0
7.5208342s,D,9>7
7.5208342s,S,9>7
7.526847s,S,11>0
7.526847s,S,16>22
7.526847s,S,11>18
7.5308302s,S,13>10
7.5308302s,S,13>7
7.5338303s,S,13>11
7.5348304s,S,14>8
7.5418319s,S,0>27
7.5418319s,S,0>29
7.5418319s,S,17>8
7.5458371s,S,13>12
7.5458371s,S,13>20
7.5468513s,S,24>16
7.5468513s,S,24>15
7.5488545s,S,2>6
7.5488545s,S,14>17
7.5508343s,S,16>18
7.5548559s,S,17>11
7.555856s,D,17>13
7.555856s,S,3>6
7.555856s,S,7>3
7.555856s,S,2>7
7.555856s,S,17>13
7.5578563s,S,28>17
7.5618378s,D,18>12
7.5618378s,S,18>12
7.5628379s,S,6>2
7.5638577s,D,41>0
7.5638577s,S,9>3
7.5638577s,S,11>17
7.5638577s,S,7>9
7.5638577s,C,0>15
7.5798419s,C,15>0
7.5798419s,C,15>0
7.5798419s,C,0>15
7.5798419s,S,18>2
7.5798419s,D,31>0
7.5798419s,S,11>5
7.5798419s,S,0>30
7.5798419s,S,13>11
7.5798419s,L,41
7.5798419s,C,0>35
7.5798419s,S,31>0
7.5798419s,C,0>35
7.5798419s,C,35>0
7.5798419s,C,35>0
7.5828619s,S,15>7
7.5858626s,D,2>9
7.5858626s,S,17>14
7.5858626s,S,2>9
7.5868642s,D,30>9
7.5868642s,S,30>9
7.5898637s,S,13>10
7.5948444s,S,16>26
7.5948444s,S,17>16
7.5948444s,S,12>19
7.597865s,S,13>8
7.6018465s,S,13>17
7.6048666s,S,0>21
7.605867s,S,17>8
7.6098646s,S,9>29
7.6098646s,S,3>9
7.6138484s,D,17>7
7.6138484s,S,17>7
7.6148491s,S,11>1
7.6148491s,S,9>2
7.6158712s,S,6>1
7.6158712s,S,29>9
7.6158712s,S,14>17
7.6158712s,S,17>28
7.6178495s,S,28>17
7.6178495s,S,13>14
7.6188499s,S,11>18
7.6208528s,D,10>20
7.6208528s,S,10>20
7.6228616s,S,12>18
7.6248536s,S,13>11
7.6248536s,S,9>30
7.6268524s,S,2>11
7.6278526s,D,2>17
7.6278526s,S,2>17
7.6328544s,S,15>11
7.6328544s,S,9>1
7.6368543s,S,13>20
7.6368543s,S,13>12
7.6408721s,D,18>15
7.6408721s,S,29>9
7.6408721s,S,17>2
7.6408721s,S,18>15
7.642858s,S,18>12
7.6468764s,D,0>20
7.6468764s,S,9>2
7.6468764s,C,0>34
7.6468764s,S,0>20
7.6468764s,C,34>0
7.6468764s,C,0>34
7.6468764s,C,34>0
7.6488767s,S,3>9
7.6488767s,S,17>14
7.6568783s,S,11>7
7.6568783s,S,2>7
7.6588786s,S,1>9
7.6608595s,S,6>7
7.6618596s,S,3>7
7.6628797s,D,9>8
7.6628797s,S,29>9
7.6628797s,S,9>1
7.6628797s,S,9>30
7.6628797s,S,30>0
7.6628797s,S,9>8
7.66488s,S,28>12
7.66488s,S,17>13
7.6688611s,D,42>0
7.6688611s,S,11>5
7.6688611s,C,0>21
7.6688611s,C,21>0
7.6688611s,C,0>21
7.6858631s,C,21>0
7.6868647s,S,20>0
7.6868647s,L,42
7.6868647s,S,19>12
7.6868647s,S,18>11
7.6868647s,C,0>40
7.6868647s,S,7>17
7.6868647s,C,0>40
7.6868647s,S,24>15
7.6868647s,S,13>15
7.6868647s,S,2>18
7.6868647s,C,40>0
7.6868647s,S,15>24
7.6868647s,S,2>11
7.6868647s,D,32>0
7.6868647s,S,14>16
7.6868647s,S,17>16
7.6868647s,S,16>24
7.6868647s,S,32>0
7.6868647s,S,16>26
7.6868647s,C,40>0
7.6868647s,S,26>16
7.6868647s,S,16>18
7.6888854s,S,0>32
7.6958869s,S,13>8
7.6968871s,S,8>9
7.7008677s,S,3>6
7.7008677s,S,29>0
7.7028884s,D,2>16
7.7028884s,S,9>29
7.7028884s,S,2>16
7.7048887s,S,17>2
7.7058888s,S,7>9
7.7078894s,S,15>22
7.7078894s,S,7>15
7.7168703s,S,9>3
7.7168703s,S,17>7
7.7168703s,S,9>1
7.7188735s,D,4>9
7.7188735s,S,4>9
7.7218731s,S,11>12
7.7228899s,S,15>13
7.7228899s,S,6>2
7.7228899s,S,13>7
7.7228899s,S,0>31
7.725873s,S,17>14
7.725873s,S,20>10
