t,c,d
7.0381372s,S,0>6
7.0401374s,S,13>8
7.0411376s,S,7>15
7.0471387s,S,5>8
7.0481391s,S,12>0
7.0501393s,S,11>7
7.0541402s,S,6>5
7.058141s,S,10>9
7.0611417s,S,0>1
7.0631419s,S,9>3
7.0631419s,S,9>12
7.0631419s,S,9>0
7.0671427s,S,8>12
7.0691433s,S,0>12
7.0691433s,S,7>11
7.0691433s,S,7>3
7.0731441s,D,5>12
7.0731441s,S,5>12
7.0751444s,S,13>7
7.0751444s,S,13>11
7.0751444s,S,0>15
7.0751444s,S,7>13
7.0771446s,S,15>8
7.0841438s,S,10>5
7.0871442s,S,8>11
7.0871442s,S,8>0
7.0881446s,S,8>15
7.094146s,S,8>1
7.0951461s,S,9>8
7.0981468s,S,5>10
7.0981468s,S,7>0
7.1001473s,S,9>4
7.1061487s,S,11>10
7.108149s,S,12>8
7.1101495s,S,0>14
7.1101495s,S,9>14
7.1111497s,S,11>13
7.1181512s,S,8>14
7.1201341s,S,0>10
7.1231524s,S,11>8
7.1231524s,S,11>0
7.1231524s,S,5>14
7.1241525s,S,8>9
7.1261531s,S,7>9
7.1261531s,S,7>11
7.1261531s,S,11>7
7.1271532s,S,13>0
7.1271532s,S,9>7
7.1331546s,S,7>3
7.1331546s,S,7>8
7.1351551s,S,5>6
7.1401403s,S,9>3
7.1401403s,S,8>7
7.1481413s,S,11>13
7.1501424s,S,12>5
7.1501424s,S,12>0
7.1501424s,S,12>9
7.1541433s,S,0>1
7.1541433s,S,0>2
7.1681466s,S,9>0
7.1691461s,S,9>7
7.1701462s,S,8>5
7.1701462s,S,8>15
7.1701462s,S,0>13
7.1701462s,S,8>11
7.1721462s,S,9>12
7.1801642s,S,0>6
7.1801642s,S,7>10
7.1801642s,S,7>8
7.1831582s,S,11>7
7.1831582s,S,7>5
7.1851652s,S,8>0
7.1851652s,S,11>9
7.1881659s,S,5>7
7.1881659s,S,12>7
7.1951674s,S,7>15
7.1951674s,S,7>3
7.2001683s,S,8>14
7.2071695s,S,7>11
7.2091701s,S,9>14
7.2101705s,S,0>12
7.214171s,S,13>11
7.214171s,S,13>0
7.2171717s,S,11>0
7.2171717s,S,11>8
7.222173s,S,0>10
7.2351794s,S,7>9
7.2351794s,S,7>10
7.2391802s,S,11>10
7.243181s,S,9>3
7.2441811s,S,0>1
7.2471604s,S,12>5
7.2481608s,S,11>7
7.2521628s,S,13>8
7.2521628s,S,12>9
7.2521628s,S,12>0
7.2541836s,S,9>6
7.2541836s,S,12>8
7.2551837s,S,0>2
7.2561839s,S,7>8
7.2561839s,S,7>3
7.2621849s,S,14>5
7.2671859s,S,8>11
7.2711867s,S,5>0
7.2741874s,S,9>8
7.2771881s,S,13>7
7.2841896s,S,7>6
7.2841896s,S,7>5
7.2891905s,S,5>6
7.2891905s,S,12>7
7.2891905s,S,5>7
7.2912022s,S,9>10
7.3021902s,S,13>11
7.3021902s,S,13>0
7.304191s,S,11>10
7.304191s,S,7>10
7.3101921s,S,11>8
7.3131931s,S,0>13
7.3131931s,S,0>12
7.3171965s,D,2>14
7.3171965s,S,2>14
7.3191968s,D,3>8
7.3191968s,S,7>8
7.3191968s,S,7>3
7.3191968s,S,3>8
7.3211973s,S,0>6
7.3211973s,S,0>8
7.3352003s,S,0>1
7.3382007s,S,6>7
7.3442021s,S,5>14
7.3452022s,S,11>13
7.3532039s,S,12>9
7.354204s,S,8>3
7.3572047s,S,12>8
7.3572047s,S,0>2
7.3592049s,S,7>9
7.365206s,S,7>10
7.3672066s,D,3>14
7.3672066s,S,3>14
7.379209s,S,7>8
7.3812096s,D,14>10
7.3812096s,S,14>10
7.3872107s,S,13>11
7.3872107s,S,14>2
7.3882108s,S,12>7
7.3902113s,S,7>0
7.3902113s,S,3>9
7.3902113s,S,7>6
7.4001936s,S,7>5
7.4012137s,D,2>7
7.4012137s,S,0>10
7.4012137s,S,0>3
7.4012137s,S,2>7
7.4062146s,S,5>8
7.4132158s,S,0>13
7.4222179s,S,3>8
7.4222179s,S,7>9
7.4222179s,S,13>8
7.4242181s,S,7>10
7.4272185s,S,5>0
7.4272185s,S,5>6
7.4332199s,S,14>3
7.4412215s,S,10>14
7.4422219s,D,3>10
7.4422219s,S,3>10
7.4502236s,S,13>7
7.4502236s,S,5>10
7.4502236s,S,5>14
7.453224s,D,14>11
7.453224s,S,14>11
7.4582252s,S,3>14
7.4602255s,D,6>8
7.4602255s,S,6>8
7.4632262s,S,0>12
7.4632262s,S,0>6
7.4632262s,S,6>0
7.467227s,S,2>7
7.467227s,S,7>2
7.4752286s,D,2>8
7.4752286s,S,2>8
7.4802296s,S,7>9
7.4872311s,S,10>3
7.4912134s,D,15>13
7.4912134s,S,15>13
7.4962302s,S,0>4
7.499213s,S,7>11
7.499213s,S,7>6
7.499213s,S,0>1
7.499213s,S,3>10
7.499213s,S,7>0
7.5002313s,S,7>4
7.5002313s,S,7>5
7.5032323s,S,14>7
7.5072184s,D,3>15
7.5072184s,S,3>15
7.5162173s,S,14>9
7.5162173s,S,11>14
7.5172191s,S,8>2
7.5242394s,D,2>9
7.5242394s,S,2>9
7.5262397s,S,3>0
7.5332412s,D,1>11
7.5332412s,S,1>11
7.5352414s,S,2>0
7.5352414s,S,2>14
7.5352414s,S,3>14
7.537242s,S,5>7
7.5422432s,S,6>5
7.5422432s,S,8>6
7.5552458s,S,7>3
7.5572461s,S,7>14
7.5582462s,S,5>14
7.5612469s,S,9>2
7.5632471s,S,9>14
7.5642476s,S,0>13
7.5642476s,S,0>12
7.5642476s,S,12>0
7.5642476s,S,5>8
7.5642476s,S,5>12
7.5712488s,D,2>10
7.5712488s,S,2>10
7.5742495s,D,14>13
7.5742495s,S,14>13
7.5762497s,S,11>1
7.5762497s,S,14>8
7.5772501s,S,13>15
7.587252s,S,0>11
7.5912529s,S,0>2
7.5942535s,D,1>15
7.5942535s,S,1>15
7.5972542s,S,2>7
7.6022552s,S,3>10
7.6022552s,S,15>3
7.6032556s,S,7>5
7.6052559s,D,15>6
7.6052559s,S,15>6
7.606256s,S,7>6
7.606256s,S,0>3
7.606256s,S,7>12
7.606256s,S,0>6
7.6102568s,S,14>7
7.6162377s,S,7>8
7.6172583s,S,1>0
7.6222593s,D,3>6
7.6222593s,S,3>0
7.6222593s,S,3>7
7.6222593s,S,10>2
7.6222593s,S,6>15
7.6222593s,S,3>6
7.6272602s,S,14>2
7.6272602s,S,14>8
7.6302609s,S,13>14
7.6332616s,D,2>11
7.6332616s,S,7>15
7.6332616s,S,2>11
7.6382628s,S,2>0
7.6382628s,S,2>14
7.6382628s,S,5>6
7.6482621s,S,3>15
7.6502623s,S,0>15
7.6502623s,S,13>0
7.6522632s,D,14>15
7.6522632s,S,14>15
7.6602648s,S,5>0
7.6632655s,S,15>14
7.6642656s,S,2>8
7.6642656s,S,7>10
7.6642656s,S,2>7
7.6642656s,S,0>13
7.6722702s,S,7>14
7.676271s,S,2>10
7.6782716s,S,6>5
7.6782716s,S,0>11
7.6852728s,S,15>1
7.6862732s,S,14>8
7.6862732s,S,11>2
7.6882735s,S,14>3
7.6922743s,S,0>2
7.6932747s,D,1>10
7.6932747s,S,1>10
7.7002759s,D,6>14
7.7002759s,S,14>7
7.7002759s,S,14>2
7.7002759s,S,6>14
7.7022765s,S,0>4
7.7042767s,S,2>9
7.7082775s,S,1>8
7.7122784s,S,7>0
7.7122784s,S,7>6
7.7132788s,D,4>10
7.7132788s,S,4>10
7.7192799s,S,3>7
7.7192799s,S,6>3
7.7202803s,S,7>9
7.7272815s,S,2>11
7.7302822s,D,3>12
7.7302822s,S,2>8
7.7302822s,S,3>12
7.734283s,S,10>1
7.7362832s,S,0>3
7.7372837s,S,2>7
7.7402841s,S,2>10
7.7402841s,S,1>11
7.7402841s,S,2>14
7.7432847s,S,3>0
7.7432847s,S,3>15
7.7472856s,S,0>8
7.7472856s,S,0>6
7.7502863s,S,7>15
7.7522865s,D,1>6
7.7522865s,S,1>6
7.7532896s,S,10>4
7.7552872s,S,14>10
7.7602881s,S,7>12
7.7622887s,S,6>0
7.7622887s,S,6>15
7.7622887s,S,14>6
7.7632888s,D,15>10
7.7632888s,S,15>10
7.7692899s,S,0>5
7.7712905s,D,4>6
7.7712905s,S,14>11
7.7712905s,S,14>2
7.7712905s,S,2>9
7.7712905s,S,4>6
7.773291s,S,15>0
7.773291s,S,15>14
7.7742911s,S,5>12
7.7742911s,S,5>6
7.7752913s,S,14>5
7.7752913s,S,1>0
7.7792892s,S,2>0
7.7822723s,S,3>9
7.7822723s,S,1>11
7.7822723s,S,1>15
7.7852935s,S,12>3
7.7912948s,S,0>10
7.792295s,S,0>11
7.7962958s,S,5>8
7.7962958s,S,4>10
7.8042974s,S,2>8
7.812299s,S,3>8
7.8132992s,S,2>7
7.8142993s,S,3>7
7.8162996s,S,6>8
7.8183001s,S,7>11
7.8263018s,S,7>12
7.8263018s,S,7>13
7.8322814s,S,0>4
7.8322814s,S,0>3
7.8333033s,D,6>12
7.8333033s,S,14>0
7.8333033s,S,14>11
7.8333033s,S,6>12
7.8353035s,S,8>6
7.8393043s,S,3>6
7.8403048s,S,3>9
7.8443056s,S,2>9
7.8443056s,S,6>1
7.847306s,S,3>14
7.8543075s,D,1>12
7.8543075s,S,10>15
7.8543075s,S,1>12
7.8563077s,S,7>4
7.8643097s,D,10>8
7.8643097s,S,4>6
7.8643097s,S,6>4
7.8643097s,S,10>8
7.8663099s,S,1>8
7.8693106s,D,15>9
7.8693106s,S,15>9
7.8713109s,S,3>8
7.8713109s,S,5>0
7.8713109s,S,5>14
7.8723113s,S,1>15
7.8743115s,S,14>6
7.8743115s,S,6>14
7.875312s,S,3>9
7.875312s,S,3>7
7.8763121s,D,4>14
7.8763121s,S,4>14
7.8793125s,S,2>8
7.8822924s,S,14>9
7.8822924s,S,2>10
7.8822924s,S,2>14
7.8822924s,S,2>0
7.8832966s,S,0>11
7.8832966s,S,10>0
7.8832966s,S,0>10
7.8883146s,D,14>12
7.8883146s,S,14>12
7.8903148s,S,0>8
7.8903148s,S,0>6
7.8913152s,S,9>4
7.8923154s,S,7>13
7.8923154s,S,7>12
7.8943156s,S,14>13
7.8943156s,S,14>11
7.8983138s,S,1>11
7.8983138s,S,8>10
7.9033148s,S,6>15
7.9033148s,S,6>9
7.9043149s,S,0>7
7.9053153s,D,10>13
7.9053153s,S,10>13
7.9073156s,S,12>1
7.908316s,S,3>8
7.9123197s,D,1>9
7.9123197s,S,1>9
7.9133208s,S,15>7
7.9133208s,S,3>14
7.9133208s,S,7>4
7.9133208s,S,15>0
7.9173207s,S,4>9
7.9183208s,S,8>9
7.9183208s,S,6>8
7.9203214s,S,2>9
7.9213215s,D,9>13
7.9213215s,S,9>13
7.928323s,S,0>4
7.9293231s,S,14>3
7.9293231s,S,10>4
7.933324s,S,2>11
7.933324s,S,8>13
7.933324s,S,9>8
7.9343241s,S,3>0
7.9353245s,S,12>6
7.9363246s,S,3>9
7.9383249s,S,9>1
7.939325s,S,14>4
7.9403252s,S,1>11
7.9403252s,S,13>10
7.9413256s,S,9>2
7.9413256s,S,13>9
7.944326s,S,15>8
7.9453264s,D,4>8
7.9453264s,S,14>5
7.9453264s,S,9>15
7.9453264s,S,4>8
7.9493067s,S,8>1
7.9503273s,D,10>12
7.9503273s,D,1>14
7.9503273s,S,10>12
7.9503273s,S,1>14
7.9523276s,S,14>0
7.953328s,D,6>10
7.953328s,S,2>7
7.953328s,S,6>10
7.9563287s,S,4>0
7.9563287s,S,14>13
7.9563287s,S,14>11
7.958329s,S,1>10
7.9593291s,S,7>13
7.9603295s,S,8>12
7.9603295s,S,12>14
7.9603295s,S,13>8
7.9623298s,S,1>15
7.9633299s,S,9>12
7.9663306s,D,15>12
7.9663306s,S,15>12
7.9683309s,S,3>8
7.9693313s,S,7>14
7.9693313s,S,10>15
7.9693313s,S,7>4
7.9743322s,S,0>12
7.9743322s,S,11>0
7.9743322s,S,0>11
7.9743322s,S,0>10
7.9763325s,S,5>10
7.9763325s,S,8>4
7.9763325s,S,10>6
7.9773329s,S,9>11
7.9773329s,S,2>9
7.9793332s,S,3>10
7.9793332s,S,6>7
7.9793332s,S,3>14
7.9803333s,S,8>3
7.983334s,S,2>14
7.983334s,S,2>0
7.9843341s,S,14>10
7.9843341s,S,6>1
7.9863347s,D,4>12
7.9863347s,S,4>12
7.988335s,S,8>0
7.9993168s,S,9>2
8.0003374s,S,10>2
8.0003374s,S,12>10
8.0003374s,S,12>8
8.0003374s,S,1>10
8.0003374s,S,8>10
8.0003374s,S,1>6
8.0003374s,S,8>14
8.0003374s,S,4>8
8.0043382s,S,11>9
8.0063388s,S,5>8
8.008339s,S,4>10
8.0103396s,S,7>15
8.0103396s,S,0>9
8.0113397s,S,14>1
8.0163407s,S,14>13
8.0163407s,S,8>2
8.0193413s,S,2>8
8.0223417s,D,1>7
8.0223417s,S,9>15
8.0223417s,S,1>7
8.0243423s,S,15>13
8.0243423s,S,15>8
8.0253424s,S,11>2
8.0293432s,S,3>7
8.0293432s,S,3>0
8.0293432s,S,9>14
8.0313438s,S,0>8
8.0313438s,S,10>8
8.0313438s,S,0>6
8.0313438s,S,8>1
8.0313438s,S,14>7
8.0343445s,S,9>1
8.0363447s,S,4>12
8.0363447s,S,12>4
8.0413457s,S,8>5
8.0413457s,S,1>10
8.0433462s,S,6>9
8.0443464s,S,6>0
8.0453465s,S,14>11
8.0453465s,S,14>10
8.0463466s,S,3>10
8.0463466s,S,4>7
8.0463466s,S,7>14
8.0463466s,S,4>0
8.0503477s,S,4>6
8.0513479s,S,8>15
8.0513479s,S,10>1
8.0513479s,S,10>3
8.0513479s,S,2>10
8.052348s,S,14>9
8.0533481s,S,15>0
8.0533481s,S,0>3
8.0533481s,S,1>15
8.0593495s,S,2>9
8.0603496s,S,9>3
8.06335s,S,10>8
8.06335s,S,1>8
8.06335s,S,8>3
8.06335s,S,14>5
8.06335s,S,14>0
8.0643516s,S,0>5
8.0663507s,S,15>12
8.0663507s,S,12>15
8.0683513s,S,8>11
8.0683513s,S,8>0
8.0683513s,S,10>0
8.0683513s,S,10>6
8.0723521s,S,14>6
8.0723521s,S,1>12
8.0743524s,S,6>1
8.0753528s,S,0>13
8.0753528s,S,0>12
8.0753528s,S,9>6
8.0763529s,D,12>13
8.0763529s,S,11>14
8.0763529s,S,2>11
8.0763529s,S,12>13
8.0783532s,S,7>1
8.0833515s,S,1>10
8.0833515s,S,2>14
8.0833515s,S,2>0
8.0853523s,S,0>14
8.0853523s,S,6>5
8.0853523s,D,15>11
8.0853523s,S,15>11
8.0874669s,S,4>14
8.0913707s,S,9>8
8.0913707s,S,3>9
8.0913707s,S,1>6
8.0913707s,S,1>9
8.0933537s,S,10>11
8.0973551s,S,10>13
8.0993377s,S,14>3
8.0993377s,S,15>9
8.1003555s,S,8>7
8.1023554s,S,8>2
8.1023554s,S,3>8
8.1033556s,S,4>9
8.1073567s,S,14>8
8.1073567s,S,14>11
8.1073567s,S,14>13
8.108358s,S,9>4
8.1114721s,S,13>14
8.1114721s,S,15>13
8.1114721s,S,15>1
8.1154486s,S,7>15
8.1154486s,S,7>4
8.1184821s,S,8>6
8.1184821s,S,1>14
8.1184821s,S,8>5
8.1243606s,S,1>9
8.1254956s,S,12>3
8.1254956s,S,13>12
8.1254956s,S,1>10
8.127344s,S,3>7
8.127344s,S,3>0
8.1335565s,S,8>9
8.1355626s,S,10>14
8.1355626s,S,11>10
8.1375496s,S,9>14
8.1375496s,S,1>11
8.1393482s,S,4>7
8.1393482s,S,4>0
8.1413479s,S,3>8
8.147349s,S,2>8
8.1483497s,S,8>1
8.1503511s,S,0>3
8.1503511s,S,0>4
8.1503511s,S,4>14
8.1503511s,S,4>8
8.1513504s,S,8>13
8.1523502s,S,8>11
8.1553509s,S,9>15
8.1553509s,S,9>6
8.1603522s,D,11>6
8.1603522s,S,14>2
8.1603522s,S,11>6
8.1623513s,S,10>7
8.1623513s,S,10>0
8.1623513s,S,6>12
8.1663521s,S,14>10
8.1663521s,S,1>10
8.1693528s,S,7>6
8.1693528s,S,14>13
8.1693528s,S,13>15
8.1703535s,S,15>8
8.1703535s,S,14>11
8.1713536s,S,14>9
8.1733542s,S,7>14
8.1733542s,S,12>13
8.1753541s,S,14>5
8.1753541s,S,0>8
8.1753541s,S,0>6
8.1763548s,S,15>14
8.1763548s,S,3>14
8.1763548s,S,0>13
8.1763548s,S,11>15
8.177355s,S,15>9
8.177355s,S,9>1
8.177355s,S,8>12
8.1793555s,S,8>3
8.1793555s,S,1>0
8.1793555s,S,1>15
8.1793555s,S,1>14
8.1793555s,S,10>15
8.1813561s,S,4>12
8.1833563s,S,1>6
8.1833563s,S,8>7
8.1853569s,D,5>9
8.1853569s,S,14>0
8.1853569s,S,14>6
8.1853569s,S,12>5
8.1853569s,S,5>9
8.1853569s,S,3>12
8.186357s,S,6>9
8.186357s,S,6>0
8.1943575s,S,15>7
8.196358s,S,4>9
8.1973582s,S,15>3
8.1973582s,S,0>15
8.201359s,S,8>2
8.201359s,S,8>6
