t,c,d
0s,I,2018-08-03T14:35:09.6493879000
604.1326ms,L,0
612.1354ms,D,1>0
613.1347ms,L,1
618.1538ms,D,2>0
619.1539ms,L,2
621.1571ms,D,3>0
622.1546ms,L,3
631.1593ms,D,4>0
632.1568ms,L,4
639.1612ms,D,5>0
640.1406ms,L,5
1.1012568s,S,3>0
1.1972585s,S,2>0
1.1982589s,S,0>3
1.2952992s,S,3>0
1.3003001s,S,0>2
1.3113027s,S,5>0
1.3933196s,S,1>0
1.4003208s,S,2>0
1.4483306s,S,0>5
1.4833378s,S,0>1
1.5133444s,S,4>0
1.5753358s,S,1>0
1.585357s,S,5>0
1.602363s,S,0>5
1.605342s,S,0>4
1.696383s,S,4>0
1.7393918s,S,0>1
1.7393918s,S,5>0
1.8313898s,S,0>2
1.8313898s,S,1>0
1.9314321s,S,0>3
1.9314321s,S,2>0
2.0284522s,S,0>4
2.0284522s,S,3>0
2.1194714s,S,4>0
4.2235392s,D,6>0
4.2255315s,L,6
4.3195456s,D,7>0
4.3235447s,L,7
4.4135857s,D,8>0
4.4165662s,L,8
4.5136067s,D,9>0
4.5165863s,L,9
4.6166099s,D,10>0
4.6196106s,L,10
4.7216319s,D,11>0
4.7246501s,L,11
4.8186727s,D,12>0
4.8216704s,L,12
4.9146931s,D,13>0
4.918674s,L,13
5.0197154s,D,14>0
5.0237138s,L,14
5.1207341s,S,0>7
5.1337194s,D,15>0
5.13572s,L,15
5.1957513s,S,6>0
5.227744s,S,0>8
5.227744s,S,7>0
5.3077776s,S,8>0
5.3077776s,S,0>9
5.3337831s,S,7>0
5.3337831s,S,0>3
5.3377839s,S,0>6
5.3837738s,S,0>10
5.3837738s,S,9>0
5.3887923s,S,0>11
5.3977947s,S,8>0
5.4307849s,S,0>4
5.4398034s,S,0>7
5.4738114s,S,0>14
5.4738114s,S,10>0
5.4788126s,S,0>8
5.4798127s,S,6>0
5.4808129s,S,0>5
5.4998197s,S,9>0
5.5218217s,S,0>11
5.5218217s,S,0>4
5.5458296s,S,7>0
5.5588322s,S,8>0
5.5748354s,S,0>9
5.5858377s,S,0>6
5.5858377s,S,14>0
5.5988406s,S,10>0
5.6118429s,S,0>3
5.6118429s,S,0>14
5.6118429s,S,0>11
5.6168438s,S,0>7
5.6188444s,D,4>7
5.6188444s,S,4>7
5.6508509s,S,9>0
5.6748558s,S,7>4
5.6888588s,S,0>10
5.6968602s,S,0>5
5.7028615s,S,11>0
5.7068623s,S,0>11
5.7228656s,S,0>9
5.7238657s,S,0>15
5.7278666s,S,6>0
5.7308675s,S,4>0
5.778877s,S,10>0
5.7968806s,S,0>11
5.7968806s,S,0>7
5.7998783s,D,11>8
5.7998783s,S,0>14
5.7998783s,S,12>0
5.7998783s,S,11>8
5.8218856s,S,4>7
5.8298872s,S,8>11
5.8338675s,S,0>5
5.8418689s,D,11>7
5.8418689s,S,11>7
5.863892s,S,11>8
5.8878971s,S,0>12
5.8878971s,S,0>11
5.8878971s,S,11>0
5.8979023s,S,13>0
5.8998814s,S,11>7
5.8998814s,S,7>11
5.9048838s,S,0>9
5.9048838s,S,0>7
5.9109051s,S,0>15
5.9689168s,S,0>5
5.9779183s,S,11>0
5.9779183s,S,0>14
5.983917s,S,0>13
5.989921s,S,0>12
5.989921s,S,12>0
5.9979227s,S,14>0
6.0099219s,S,0>9
6.0099219s,S,0>7
6.0689375s,S,11>0
6.0709378s,S,0>13
6.0709378s,S,13>0
6.088939s,S,0>15
6.088939s,S,0>14
6.0909395s,S,12>0
6.1059274s,S,15>0
6.1079253s,S,0>5
6.116928s,S,0>9
6.116928s,S,0>7
6.1249311s,D,14>7
6.1249311s,S,14>7
6.1589569s,S,0>13
6.1589569s,S,13>0
6.1599573s,S,11>8
6.1599573s,S,11>0
6.1909634s,S,11>7
6.1999652s,S,7>14
6.2009656s,S,0>14
6.2099671s,D,14>8
6.2099671s,S,14>8
6.2129681s,D,3>7
6.2129681s,S,3>7
6.2219698s,S,0>9
6.2299715s,S,0>15
6.2439742s,S,0>7
6.2439742s,S,0>5
6.2469555s,S,0>1
6.2469555s,S,0>11
6.2519758s,S,11>8
6.261978s,S,8>14
6.2689792s,D,15>7
6.2689792s,S,15>7
6.2749606s,S,7>3
6.275981s,S,14>8
6.2809819s,D,3>9
6.2809819s,S,3>9
6.2839826s,S,11>7
6.2979853s,S,0>8
6.3109879s,S,0>14
6.311988s,S,9>3
6.3139883s,S,14>0
6.3359929s,S,3>0
6.3379932s,S,0>2
6.3499757s,S,0>9
6.37s,S,0>15
6.375001s,S,7>15
6.3780014s,S,0>10
6.381002s,S,0>7
6.381002s,S,0>5
6.3910042s,D,15>8
6.3910042s,S,15>8
6.4230105s,S,0>14
6.4230105s,S,14>8
6.4240109s,S,14>7
6.4240109s,S,14>0
6.4310121s,S,3>7
6.4310121s,S,3>0
6.4390137s,S,0>6
6.4400139s,S,7>4
6.46702s,D,5>8
6.468002s,S,5>8
6.4700201s,S,0>12
6.4720204s,S,8>15
6.4800194s,S,15>0
6.4880058s,S,0>9
6.4930047s,S,3>9
6.4930047s,D,1>8
6.4930047s,S,1>8
6.4960071s,S,7>14
6.4960071s,S,4>7
6.5030098s,S,14>8
6.5120116s,S,0>15
6.5180279s,S,0>7
6.5180279s,S,0>5
6.5240322s,S,8>1
6.5290331s,S,3>7
6.5350345s,S,0>14
6.5370348s,S,14>7
6.5370348s,S,14>0
6.5430358s,S,8>5
6.553038s,S,8>15
6.5550383s,S,1>0
6.56404s,D,5>14
6.56404s,S,5>14
6.5730418s,S,0>13
6.5780428s,D,9>8
6.5780428s,S,9>8
6.5810434s,D,7>8
6.5810434s,S,7>8
6.5830443s,S,0>8
6.5900455s,S,3>9
6.5930462s,S,8>9
6.6020479s,D,9>14
6.6020479s,S,9>14
6.6090491s,S,9>8
6.61305s,S,14>7
6.6200515s,S,15>0
6.6200515s,S,15>7
6.624052s,S,0>9
6.6280505s,S,8>7
6.6330514s,S,8>5
6.6330514s,S,15>8
6.6390528s,D,7>10
6.6390528s,S,7>10
6.6450541s,S,1>8
6.6460543s,S,0>14
6.6480548s,S,9>14
6.6480548s,S,14>9
6.6520556s,S,0>1
6.6520556s,S,0>15
6.6530561s,D,9>10
6.6530561s,S,9>10
6.6540562s,S,0>2
6.6670614s,S,0>10
6.669062s,S,5>14
6.669062s,S,14>5
6.6730628s,S,7>8
6.6790642s,S,9>3
6.6790642s,S,10>9
6.6800643s,D,4>9
6.6800643s,S,4>9
6.6860654s,D,5>10
6.6860654s,S,5>10
6.6880659s,S,14>7
6.6880659s,S,7>0
6.6890661s,S,10>7
6.694067s,S,7>3
6.6950674s,S,9>0
6.7000681s,S,0>8
6.7050711s,S,9>4
6.7050711s,S,9>8
6.7080671s,S,8>11
6.7080671s,S,5>8
6.7100676s,S,3>9
6.7170691s,S,8>15
6.7180693s,D,9>7
6.7180693s,S,9>7
6.7200722s,S,7>10
6.7210729s,S,9>14
6.7250737s,S,15>8
6.7330753s,S,4>0
6.7390764s,S,8>7
6.7390764s,S,11>8
6.7430772s,S,0>1
6.7450778s,S,10>9
6.7450778s,S,10>7
6.7540795s,S,0>2
6.7540795s,S,0>6
6.7580801s,S,7>15
6.7580801s,S,0>12
6.7580801s,S,7>9
6.7580801s,S,3>7
6.7610807s,S,15>7
6.7610807s,S,15>0
6.7670818s,S,9>10
6.7690824s,S,8>5
6.7700825s,S,10>5
6.7700825s,S,9>3
6.7700825s,S,9>0
6.7730832s,D,9>6
6.7730832s,S,9>6
6.7750837s,S,5>0
6.7750837s,S,5>10
6.7760839s,S,7>10
6.7830851s,S,0>10
6.7850856s,S,8>14
6.7850856s,S,7>8
6.791087s,D,5>7
6.791087s,S,5>7
6.793087s,S,7>0
6.793087s,S,7>4
6.793087s,S,9>4
6.793087s,S,0>15
6.793087s,S,0>5
6.793087s,S,9>10
6.8190924s,S,9>10
6.8190924s,S,10>0
6.8230932s,S,4>7
6.8310949s,S,8>1
6.8350957s,S,14>8
6.8440975s,S,9>4
6.8450979s,S,9>3
6.8450979s,S,8>5
6.8450979s,S,9>0
6.8480983s,S,7>11
6.8480983s,S,6>9
6.8550995s,D,9>12
6.8550995s,S,9>12
6.8560823s,S,0>2
6.8571s,S,10>5
6.8581005s,S,0>3
6.8611009s,S,5>10
6.8631014s,S,8>9
6.8631014s,S,8>1
6.8671019s,S,15>8
6.8671019s,S,15>7
6.8721032s,S,9>7
6.8741034s,S,0>12
6.8751039s,S,9>8
6.8791047s,S,4>9
6.8791047s,S,8>7
6.8851057s,D,7>6
6.8851057s,S,8>14
6.8851057s,S,7>6
6.8901067s,S,9>14
6.8911068s,S,12>9
6.8911068s,S,7>5
6.8931074s,S,8>9
6.8951076s,S,0>8
6.8951076s,S,0>6
6.9001086s,S,7>4
6.9001086s,S,7>0
6.9031093s,S,7>14
6.9081105s,D,11>10
6.9081105s,S,11>10
6.9101108s,S,10>7
6.9101108s,S,10>0
6.9111109s,S,5>0
6.9111109s,S,5>8
6.9131112s,S,9>6
6.9151117s,D,12>7
6.9151117s,S,12>7
6.9191125s,D,5>6
6.9191125s,S,5>6
6.9211131s,S,9>3
6.9211131s,S,8>1
6.9241135s,S,9>8
6.926114s,S,8>7
6.926114s,S,8>0
6.9281146s,S,0>7
6.9351132s,S,0>1
6.9351132s,S,0>15
6.9361133s,S,8>15
6.9381174s,S,9>10
6.9381174s,S,9>14
6.9471185s,S,5>10
6.9511191s,S,10>11
6.9531196s,S,8>9
6.9551199s,S,0>4
6.9561203s,S,7>11
6.9581206s,D,11>13
6.9581206s,S,11>13
6.9651221s,S,9>10
6.9651221s,S,9>4
6.9671223s,S,10>9
6.9721236s,S,15>7
6.9731237s,S,8>7
6.9761047s,S,0>13
6.9781044s,S,0>10
6.9811051s,S,7>3
6.9821058s,S,12>9
6.9821058s,S,7>12
6.9881268s,S,9>0
6.9881268s,S,9>6
6.9891273s,D,13>8
6.9891273s,S,13>8
6.9911275s,S,9>4
6.9931278s,S,10>5
6.9931278s,S,6>7
6.9931278s,S,5>14
6.9951283s,S,11>13
6.9951283s,S,13>11
7.0001293s,D,11>9
7.0001293s,S,11>9
7.0021295s,S,10>7
7.0071308s,S,8>11
7.0071308s,S,8>0
7.0131319s,S,7>14
7.0131319s,S,7>11
7.0151324s,S,8>13
7.0171327s,S,9>7
7.0171327s,S,9>12
7.0181331s,S,8>5
7.0251343s,D,13>7
7.0251343s,S,0>2
7.0251343s,S,9>11
7.0251343s,D,12>8
7.0251343s,S,13>7
7.0251343s,S,12>8
7.0311357s,S,11>0
7.0311357s,S,11>9
7.0341364s,S,5>7
7.0351365s,S,0>9
7.0371368s,S,8>14
7.0381372s,S,0>8
