t,c,d
0s,I,2018-08-08T11:02:07.3487469000
668.5472ms,L,0
686.551ms,D,1>0
687.5512ms,D,2>0
687.5512ms,L,1
687.5512ms,L,2
690.5513ms,D,3>0
691.5511ms,L,3
695.5519ms,D,4>0
695.5519ms,L,4
696.5532ms,D,5>0
696.5532ms,L,5
1.1756616s,S,4>0:51
1.2696835s,S,3>0:51
1.2716838s,S,0>4:52
1.368724s,S,5>0:51
1.368724s,S,4>0:50
1.3697242s,S,0>3:52
1.4697308s,S,2>0:51
1.4738917s,S,3>0:50
1.5097565s,S,0>5:52
1.5627529s,S,0>2:52
1.5687514s,S,1>0:51
1.6467876s,S,5>0:50
1.6527887s,S,2>0:50
1.6587904s,S,0>1:52
1.7508033s,S,1>0:50
1.7508033s,S,0>1:51
1.8428124s,S,0>2:51
1.8428124s,S,1>0:52
1.9328329s,S,0>3:51
1.9328329s,S,2>0:52
2.0338775s,S,0>4:51
2.0338775s,S,3>0:52
2.1308984s,S,0>5:51
2.1308984s,S,4>0:52
2.2669267s,S,5>0:52
8h52m19.5594656s,D,6>0
8h52m19.560449s,L,6
8h52m19.6584914s,D,7>0
8h52m19.6604896s,L,7
8h52m19.6774956s,S,0>6:51
8h52m19.7475104s,D,8>0
8h52m19.7504914s,L,8
8h52m19.8185044s,S,0>7:51
8h52m19.8185044s,S,6>0:52
8h52m19.8435273s,D,9>0
8h52m19.8465213s,L,9
8h52m19.9245297s,S,7>0:52
8h52m19.950534s,D,10>0
8h52m19.9535338s,L,10
8h52m19.959536s,S,0>3:50
8h52m20.0555744s,D,11>0
8h52m20.0585754s,L,11
8h52m20.0615787s,S,0>5:50
8h52m20.0615787s,S,0>3:50
8h52m20.153598s,D,12>0
8h52m20.1565958s,L,12
8h52m20.1976073s,S,0>7:50
8h52m20.1976073s,S,0>5:50
8h52m20.2495989s,D,13>0
8h52m20.2535988s,L,13
8h52m20.3056285s,S,0>10:50
8h52m20.3346158s,S,0>7:50
8h52m20.3536371s,D,14>0
8h52m20.3556315s,L,14
8h52m20.3976502s,S,0>1:50
8h52m20.4406596s,S,0>10:50
8h52m20.4626645s,D,15>0
8h52m20.4666621s,L,15
8h52m20.4906699s,S,0>2:50
8h52m20.5306787s,S,0>1:50
8h52m20.5316788s,S,6>0:51
8h52m20.5826696s,S,0>4:50
8h52m20.6216982s,S,0>2:50
8h52m20.6377018s,S,7>0:51
8h52m20.6727087s,S,0>6:52
8h52m20.7117164s,S,0>4:50
8h52m20.7317003s,S,8>0:51
8h52m20.7447061s,S,0>7:52
8h52m20.7657071s,D,7>6
8h52m20.7657071s,S,7>6:51
8h52m20.8137388s,S,0>8:52
8h52m20.814739s,S,0>6:50
8h52m20.814739s,S,6>0:50
8h52m20.828739s,S,9>0:51
8h52m20.8527269s,S,7>0:50
8h52m20.873749s,S,6>7:52
8h52m20.896738s,S,8>0:50
8h52m20.9077567s,S,0>9:52
8h52m20.924761s,S,0>14:51
8h52m20.9327453s,S,10>0:51
8h52m20.9407461s,D,3>6
8h52m20.9407461s,S,3>6:51
8h52m20.9417482s,D,1>6
8h52m20.9417482s,S,1>6:51
8h52m20.9427645s,D,5>7
8h52m20.9427645s,S,5>7:51
8h52m20.945747s,D,2>6
8h52m20.945747s,S,2>6:51
8h52m20.9577497s,S,0>6:50
8h52m20.9577497s,S,0>8:50
8h52m20.9607507s,S,7>6:50
8h52m20.9817757s,S,6>7:50
8h52m20.9817757s,S,7>5:50
8h52m20.9867743s,S,9>0:50
8h52m21.0247855s,S,0>10:52
8h52m21.0337875s,S,6>1:52
8h52m21.0367879s,S,6>2:52
8h52m21.037788s,S,11>0:51
8h52m21.037788s,S,0>9:50
8h52m21.037788s,S,0>15:51
8h52m21.037788s,S,14>0:52
8h52m21.0417889s,S,6>3:52
8h52m21.0427893s,D,10>6
8h52m21.0427893s,S,10>6:51
8h52m21.0447896s,D,1>7
8h52m21.0447896s,S,1>7:51
8h52m21.0497697s,D,2>7
8h52m21.0497697s,S,2>7:51
8h52m21.0547891s,D,3>7
8h52m21.0547891s,S,3>7:51
8h52m21.0727753s,D,5>6
8h52m21.0727753s,S,5>6:51
8h52m21.0837955s,S,7>0:50
8h52m21.0837955s,S,7>5:52
8h52m21.0988016s,S,0>8:50
8h52m21.1018023s,S,7>1:52
8h52m21.1058031s,S,7>2:52
8h52m21.1167846s,S,10>0:50
8h52m21.1228065s,S,7>3:52
8h52m21.1268076s,S,1>0:50
8h52m21.1288079s,S,0>11:52
8h52m21.1288079s,S,2>7:50
8h52m21.1337892s,S,12>0:51
8h52m21.1368095s,S,6>10:52
8h52m21.143811s,S,3>0:50
8h52m21.1478118s,D,10>7
8h52m21.1478118s,S,10>7:51
8h52m21.1518126s,S,0>3:50
8h52m21.1628149s,S,2>0:50
8h52m21.1788153s,S,0>9:50
8h52m21.1798157s,S,0>13:51
