t,c,d
8h52m21.1798157s,S,15>0:52
8h52m21.1858171s,S,5>0:50
8h52m21.1898208s,S,7>6:50
8h52m21.1898208s,S,3>7:50
8h52m21.2038235s,S,7>10:52
8h52m21.2068242s,S,10>6:50
8h52m21.210825s,S,6>5:52
8h52m21.2168235s,S,1>6:50
8h52m21.2168235s,S,1>0:50
8h52m21.2208269s,S,11>0:50
8h52m21.2268283s,S,10>0:50
8h52m21.2338298s,S,13>0:51
8h52m21.2338298s,S,0>12:52
8h52m21.2458322s,S,3>6:50
8h52m21.2538339s,S,2>6:50
8h52m21.2538339s,S,0>5:50
8h52m21.2538339s,S,2>0:50
8h52m21.2558341s,S,3>0:50
8h52m21.2648359s,S,0>8:51
8h52m21.3078447s,S,1>7:50
8h52m21.3078447s,S,1>6:50
8h52m21.3178469s,S,10>6:50
8h52m21.3178469s,S,10>0:50
8h52m21.3198472s,S,13>0:52
8h52m21.3198472s,S,0>13:52
8h52m21.3208473s,S,5>7:50
8h52m21.3318496s,S,14>0:51
8h52m21.3348503s,S,0>12:50
8h52m21.3348503s,S,12>0:50
8h52m21.3448522s,S,0>9:51
8h52m21.3448522s,S,8>0:52
8h52m21.3448522s,S,2>7:50
8h52m21.3448522s,S,2>6:50
8h52m21.3468525s,S,3>7:50
8h52m21.3468525s,S,5>0:50
8h52m21.3578548s,S,3>6:50
8h52m21.3888612s,S,0>7:50
8h52m21.3998632s,S,1>7:50
8h52m21.4048645s,S,13>0:50
8h52m21.4048645s,S,0>5:50
8h52m21.4088653s,S,10>7:50
8h52m21.4088653s,S,10>6:50
8h52m21.4198676s,S,0>10:51
8h52m21.4198676s,S,9>0:52
8h52m21.4218679s,S,5>6:50
8h52m21.4248685s,S,0>3:50
8h52m21.4338674s,S,15>0:51
8h52m21.4358679s,S,0>13:50
8h52m21.4418693s,S,0>14:52
8h52m21.4838809s,S,5>7:50
8h52m21.4968838s,S,0>1:50
8h52m21.4998842s,S,10>7:50
8h52m21.5108868s,S,0>10:50
8h52m21.5108868s,S,10>0:52
8h52m21.5108868s,S,0>11:51
8h52m21.5408928s,S,0>7:50
8h52m21.5408928s,S,0>5:50
8h52m21.5528952s,S,14>0:50
8h52m21.5748996s,S,0>15:52
8h52m21.5849018s,S,5>6:50
8h52m21.5879022s,S,0>2:50
8h52m21.5879022s,S,0>1:50
8h52m21.6019049s,S,0>3:50
8h52m21.6019049s,S,0>12:51
8h52m21.6019049s,S,11>0:52
8h52m21.6469143s,S,0>10:50
8h52m21.6579166s,D,4>7
8h52m21.6579166s,S,4>7:51
8h52m21.6729194s,S,6>1:51
8h52m21.6769202s,S,0>7:50
8h52m21.6789208s,S,0>2:50
8h52m21.6789208s,S,0>4:50
8h52m21.6919234s,S,0>8:50
8h52m21.7039258s,S,0>5:50
8h52m21.7039258s,S,12>0:52
8h52m21.7169108s,S,0>15:50
8h52m21.7169108s,S,15>0:50
8h52m21.7179285s,S,7>4:52
8h52m21.7369325s,D,4>6
8h52m21.7369325s,S,4>6:51
8h52m21.7629379s,S,6>2:51
8h52m21.7629379s,S,1>6:52
8h52m21.7719368s,S,0>9:50
8h52m21.7749375s,S,0>6:50
8h52m21.7749375s,S,0>4:50
8h52m21.7799387s,S,4>0:50
8h52m21.7839419s,S,0>10:50
8h52m21.8039465s,S,0>3:50
8h52m21.8229505s,D,8>7
8h52m21.8229505s,S,8>7:51
8h52m21.8319522s,S,6>4:52
8h52m21.8399539s,S,0>7:50
8h52m21.8469551s,S,0>14:50
8h52m21.8549567s,S,6>10:51
8h52m21.8549567s,S,2>6:52
8h52m21.8589575s,S,0>8:50
8h52m21.8589575s,S,0>15:50
8h52m21.8689594s,S,7>8:52
8h52m21.8749608s,D,8>11
8h52m21.8749608s,S,8>11:51
8h52m21.876961s,S,4>7:50
8h52m21.8839625s,D,7>13
8h52m21.8839625s,S,7>13:51
8h52m21.9079677s,S,0>5:50
8h52m21.9079677s,S,11>8:52
8h52m21.9149487s,S,8>0:50
8h52m21.9159489s,S,0>11:50
8h52m21.9159489s,S,0>6:50
8h52m21.9239505s,D,9>6
8h52m21.9239505s,S,9>6:51
8h52m21.9249506s,D,8>6
8h52m21.9249506s,S,8>6:51
8h52m21.9289511s,S,4>0:50
8h52m21.9349531s,S,7>4:51
8h52m21.9349531s,S,13>7:52
8h52m21.9379535s,S,4>6:50
8h52m21.9409542s,S,0>9:50
8h52m21.9459736s,S,6>5:51
8h52m21.9459736s,S,10>6:52
8h52m21.9469737s,S,0>10:50
8h52m21.9589574s,S,0>12:50
8h52m21.9869637s,S,7>0:50
8h52m21.9969659s,S,7>1:51
8h52m21.9969659s,S,8>7:50
8h52m21.9969659s,S,4>7:52
8h52m21.9969659s,S,8>0:50
8h52m21.9999669s,S,0>3:50
8h52m21.9999669s,S,0>15:50
8h52m21.9999669s,S,6>9:52
8h52m22.0049675s,S,6>8:52
8h52m22.0059682s,S,0>13:50
8h52m22.0079694s,D,9>7
8h52m22.0079694s,S,9>7:51
8h52m22.0169922s,S,0>14:50
8h52m22.0429977s,S,8>11:50
8h52m22.0469985s,S,0>7:50
8h52m22.048978s,S,7>9:52
8h52m22.0529972s,S,7>2:51
8h52m22.0529972s,S,1>7:52
8h52m22.0549978s,D,9>11
8h52m22.0549978s,S,9>11:51
8h52m22.0569981s,S,0>11:50
8h52m22.0589986s,S,4>7:50
8h52m22.0609989s,S,0>1:50
8h52m22.0760023s,S,6>9:50
8h52m22.0760023s,S,9>0:50
8h52m22.0770024s,S,8>7:50
8h52m22.0800031s,S,11>9:52
8h52m22.0840042s,S,6>7:51
8h52m22.0840042s,S,5>6:52
8h52m22.0860057s,S,8>11:50
8h52m22.093006s,S,7>6:50
8h52m22.1010062s,S,0>9:50
8h52m22.1010062s,S,0>3:50
8h52m22.1080074s,D,1>9
8h52m22.1080074s,S,7>3:51
8h52m22.1080074s,S,2>7:52
8h52m22.1080074s,S,1>9:51
8h52m22.1110081s,D,2>9
8h52m22.1110081s,S,2>9:51
8h52m22.1170106s,S,8>6:50
8h52m22.1210117s,S,4>6:50
8h52m22.123012s,S,8>11:50
8h52m22.1280129s,S,0>12:50
8h52m22.1300138s,S,11>9:51
8h52m22.132014s,D,3>13
8h52m22.132014s,S,3>13:51
8h52m22.1360151s,S,9>1:52
8h52m22.139017s,S,9>2:52
8h52m22.1420177s,S,0>15:50
8h52m22.1420177s,S,0>8:50
8h52m22.1510197s,S,6>0:50
8h52m22.1510197s,S,9>6:50
8h52m22.1510197s,S,9>0:50
8h52m22.1530185s,S,0>2:50
8h52m22.1540204s,D,1>15
8h52m22.1540204s,S,1>15:51
8h52m22.1560192s,S,0>10:50
8h52m22.1570223s,D,2>15
8h52m22.1570223s,S,2>15:51
8h52m22.1590237s,S,11>8:51
8h52m22.1590237s,S,9>11:52
8h52m22.1670253s,S,2>6:50
8h52m22.1730267s,S,7>10:51
8h52m22.1730267s,S,3>7:52
8h52m22.1770275s,S,0>14:50
8h52m22.1790278s,S,13>3:52
8h52m22.1860293s,S,11>0:50
8h52m22.1890297s,S,8>11:52
8h52m22.1910302s,D,3>12
8h52m22.1910302s,S,3>12:51
8h52m22.1930305s,S,6>3:51
8h52m22.200032s,D,11>7
8h52m22.200032s,S,8>0:50
8h52m22.200032s,S,8>6:50
8h52m22.200032s,S,7>6:52
8h52m22.200032s,S,11>7:51
8h52m22.2020323s,S,0>5:50
8h52m22.2020323s,S,0>3:50
8h52m22.2170354s,D,10>14
8h52m22.2170354s,S,10>14:51
8h52m22.2210342s,S,11>8:50
8h52m22.2230338s,S,0>9:50
8h52m22.2270349s,S,9>7:50
8h52m22.2270349s,S,9>0:50
8h52m22.2270349s,S,9>6:50
8h52m22.2290355s,S,0>1:50
8h52m22.2310384s,D,5>12
8h52m22.2310384s,S,7>10:50
8h52m22.2310384s,S,7>8:51
8h52m22.2310384s,S,10>7:52
8h52m22.2310384s,S,5>12:51
8h52m22.2390403s,S,3>7:50
8h52m22.2430411s,S,0>4:50
8h52m22.2440413s,S,1>15:50
8h52m22.2440413s,S,15>1:52
8h52m22.247042s,S,15>2:52
8h52m22.2520429s,S,11>9:50
8h52m22.2520429s,S,12>3:52
8h52m22.2540432s,D,12>15
8h52m22.2540432s,S,12>15:51
8h52m22.2560437s,S,7>11:52
8h52m22.2590444s,S,2>7:50
8h52m22.267046s,D,3>14
8h52m22.267046s,S,3>14:51
8h52m22.2700467s,S,9>11:50
8h52m22.2740475s,D,11>6
8h52m22.2740475s,S,11>6:51
8h52m22.2770479s,S,11>7:50
8h52m22.2770479s,S,11>8:50
8h52m22.2780484s,S,7>5:51
8h52m22.2780484s,S,8>7:52
8h52m22.2790485s,S,14>10:52
8h52m22.2820492s,S,0>8:50
8h52m22.2820492s,S,0>15:50
8h52m22.2870501s,S,7>0:50
8h52m22.2870501s,D,10>13
8h52m22.2870501s,S,7>8:50
8h52m22.2870501s,S,10>13:51
8h52m22.2920511s,S,6>7:50
8h52m22.2940516s,S,3>6:52
8h52m22.3000527s,S,0>14:50
8h52m22.304035s,S,9>7:50
8h52m22.304035s,S,9>6:50
8h52m22.3060359s,S,3>13:50
8h52m22.3080341s,S,6>3:50
8h52m22.3090548s,S,11>9:50
8h52m22.3110553s,S,11>0:50
8h52m22.3150561s,S,2>9:50
8h52m22.3150561s,S,3>12:50
8h52m22.3190566s,S,0>2:50
8h52m22.3240579s,S,8>7:50
8h52m22.3240579s,S,13>10:52
8h52m22.3240579s,S,7>10:50
8h52m22.3280587s,S,12>5:52
8h52m22.330059s,D,10>8
8h52m22.330059s,S,10>8:51
8h52m22.3360603s,S,1>0:50
8h52m22.3370605s,D,13>15
8h52m22.3370605s,S,0>7:50
8h52m22.3370605s,S,2>0:50
8h52m22.3370605s,S,0>5:50
8h52m22.3370605s,S,14>3:52
8h52m22.3370605s,S,13>15:51
8h52m22.3390607s,S,0>6:50
8h52m22.3410613s,S,2>15:50
8h52m22.3410613s,S,10>14:50
8h52m22.344062s,S,9>11:50
8h52m22.3450621s,D,3>8
8h52m22.3450621s,S,3>8:51
8h52m22.3500604s,D,5>14
8h52m22.3500604s,S,5>14:51
8h52m22.3540612s,S,15>12:52
8h52m22.3610627s,S,10>13:50
8h52m22.3610627s,S,8>10:52
8h52m22.3640634s,D,12>11
8h52m22.3640634s,S,12>11:51
8h52m22.3650638s,S,0>9:50
8h52m22.3650638s,S,6>11:52
8h52m22.3650638s,S,0>8:50
8h52m22.3780494s,S,3>14:50
8h52m22.3780494s,S,3>12:50
8h52m22.38005s,S,7>5:50
8h52m22.38005s,S,5>7:52
8h52m22.3810501s,S,9>7:50
8h52m22.3820675s,S,7>8:50
8h52m22.3870688s,S,8>3:52
8h52m22.3920697s,S,10>0:50
8h52m22.3940703s,S,7>6:50
8h52m22.3950704s,D,7>14
8h52m22.3950704s,S,7>14:51
8h52m22.3970709s,D,3>10
8h52m22.3970709s,S,3>10:51
8h52m22.3980711s,S,6>2:50
8h52m22.3980711s,S,10>8:50
8h52m22.4040754s,S,11>0:50
8h52m22.4040754s,S,10>13:50
8h52m22.4040754s,S,11>8:50
8h52m22.4080762s,S,3>8:50
8h52m22.4090763s,S,6>1:50
8h52m22.4090763s,S,0>4:50
8h52m22.4110769s,S,0>12:50
8h52m22.4140773s,S,12>3:51
8h52m22.4140773s,S,11>12:52
8h52m22.4210788s,S,9>11:50
8h52m22.4220789s,S,13>7:51
8h52m22.4220789s,S,15>13:52
8h52m22.4270801s,S,1>6:50
8h52m22.4270801s,S,2>6:50
8h52m22.4270801s,S,1>0:50
8h52m22.4280803s,S,7>9:50
8h52m22.4320811s,S,2>0:50
8h52m22.4360816s,S,11>9:50
8h52m22.4390823s,S,3>0:50
8h52m22.4390823s,S,3>12:50
8h52m22.4400827s,S,10>8:50
8h52m22.4410829s,S,0>14:50
8h52m22.4430831s,S,0>10:50
8h52m22.4460838s,S,0>8:50
8h52m22.4480841s,S,10>3:52
8h52m22.4500846s,S,3>10:50
8h52m22.4520849s,D,14>8
8h52m22.4520849s,S,14>8:51
8h52m22.4540854s,S,12>5:50
8h52m22.4550859s,S,14>5:52
8h52m22.4620871s,S,11>7:50
8h52m22.4620871s,S,11>9:50
8h52m22.4640873s,S,12>0:50
8h52m22.4690883s,S,7>11:50
8h52m22.4700887s,S,14>7:52
8h52m22.4710888s,D,5>13
8h52m22.4710888s,S,5>13:51
8h52m22.4730891s,S,0>7:50
8h52m22.4730891s,S,7>13:52
8h52m22.4770902s,D,13>9
8h52m22.4770902s,S,13>9:51
8h52m22.4800909s,S,0>11:50
8h52m22.4800909s,S,5>7:50
8h52m22.4800909s,S,7>1:50
8h52m22.4820911s,S,10>6:50
8h52m22.4820911s,S,10>0:50
8h52m22.4900928s,D,12>14
8h52m22.4900928s,S,12>14:51
8h52m22.492093s,S,6>10:50
8h52m22.4980944s,S,13>3:51
8h52m22.4980944s,S,9>13:52
8h52m22.5000947s,S,3>10:50
8h52m22.5000947s,S,3>12:52
8h52m22.5000947s,S,3>14:50
8h52m22.5000947s,S,6>8:50
8h52m22.5000947s,S,7>10:50
8h52m22.5030954s,S,14>10:51
8h52m22.5030954s,S,8>14:52
8h52m22.5050959s,S,0>6:50
8h52m22.5130975s,S,0>12:50
8h52m22.5130975s,S,0>1:50
8h52m22.5190986s,S,1>7:50
8h52m22.5190986s,S,11>6:50
8h52m22.5190986s,S,1>6:50
8h52m22.5190986s,S,2>7:50
8h52m22.5190986s,S,11>7:50
8h52m22.5190986s,S,13>10:50
8h52m22.5230994s,S,13>5:50
8h52m22.5261069s,S,7>0:50
8h52m22.5291008s,S,0>9:50
8h52m22.5331016s,S,0>15:50
8h52m22.5381026s,S,7>2:50
8h52m22.541103s,S,3>6:50
8h52m22.541103s,S,3>0:50
8h52m22.5451038s,S,13>3:50
8h52m22.5451038s,S,3>13:52
8h52m22.5471043s,S,7>14:50
8h52m22.5501047s,S,12>15:50
8h52m22.5531054s,S,14>0:50
8h52m22.555106s,S,13>15:50
8h52m22.555106s,S,7>8:50
8h52m22.555106s,S,13>10:51
8h52m22.561107s,S,12>5:51
8h52m22.561107s,S,14>12:52
8h52m22.561107s,S,5>0:50
8h52m22.5641077s,S,12>3:50
8h52m22.5641077s,S,14>3:51
8h52m22.5641077s,S,10>14:52
8h52m22.5691087s,D,5>8
8h52m22.5691087s,S,5>8:51
8h52m22.5711089s,S,3>8:50
8h52m22.5721094s,S,0>13:50
8h52m22.5731095s,S,10>0:50
8h52m22.5731095s,S,10>6:50
8h52m22.5731095s,S,10>7:50
8h52m22.5741096s,S,2>9:50
8h52m22.5741096s,S,1>9:50
8h52m22.5751106s,S,15>2:51
8h52m22.5781107s,S,0>10:50
8h52m22.5811111s,S,5>6:50
8h52m22.5831117s,S,6>9:50
8h52m22.5831117s,S,6>5:50
8h52m22.591113s,S,13>10:50
8h52m22.591113s,S,10>13:52
8h52m22.594114s,S,7>3:50
8h52m22.6001148s,S,7>9:50
8h52m22.6001148s,S,2>15:50
8h52m22.6031155s,S,13>9:50
8h52m22.6031155s,S,13>5:52
8h52m22.6041156s,S,0>14:50
8h52m22.605116s,S,0>2:50
8h52m22.6091168s,S,1>7:50
8h52m22.6091168s,S,11>6:50
8h52m22.6121172s,S,3>10:50
8h52m22.6131176s,S,0>12:50
8h52m22.6221194s,S,7>5:50
8h52m22.6231195s,S,13>0:50
8h52m22.6261202s,S,14>10:50
8h52m22.6261202s,S,13>3:50
8h52m22.630121s,S,10>14:50
8h52m22.6321213s,S,7>6:50
8h52m22.6361221s,S,3>14:52
8h52m22.6401229s,S,13>15:50
8h52m22.6411234s,S,7>11:50
8h52m22.6421235s,S,3>6:50
8h52m22.6421235s,S,3>0:50
8h52m22.6451239s,S,0>11:50
8h52m22.6451239s,S,8>5:52
8h52m22.6471244s,D,14>13
8h52m22.6471244s,S,14>13:51
8h52m22.6521254s,S,12>15:50
8h52m22.6521254s,S,12>11:50
8h52m22.6571266s,S,0>3:50
8h52m22.6571266s,S,12>5:50
8h52m22.6571266s,S,5>12:52
8h52m22.6591269s,S,6>11:50
8h52m22.660127s,S,7>4:50
8h52m22.6621276s,D,5>10
8h52m22.6621276s,S,5>10:51
8h52m22.6631277s,S,10>6:50
8h52m22.6631277s,S,10>7:50
8h52m22.665128s,S,15>12:51
8h52m22.6671282s,S,1>9:50
8h52m22.6721295s,S,13>10:50
8h52m22.6731296s,S,0>8:50
8h52m22.6731296s,S,0>15:50
8h52m22.6861322s,S,14>10:50
8h52m22.6861322s,S,14>3:50
8h52m22.6861322s,S,13>5:50
8h52m22.6861322s,S,5>7:50
8h52m22.6911334s,S,10>13:50
8h52m22.6921335s,S,2>15:52
8h52m22.6941338s,S,1>15:50
8h52m22.6961344s,S,0>4:50
8h52m22.6961344s,S,0>2:50
8h52m22.7001352s,S,11>12:50
8h52m22.7021354s,S,12>0:50
8h52m22.7021354s,S,14>5:51
8h52m22.7021354s,S,13>14:52
8h52m22.704136s,S,0>9:51
8h52m22.7081368s,S,13>7:50
8h52m22.7141379s,S,0>1:50
8h52m22.7171386s,S,0>12:50
8h52m22.7191388s,S,6>4:50
8h52m22.7191388s,S,10>14:50
8h52m22.7201393s,S,7>13:50
8h52m22.7201393s,S,5>13:50
8h52m22.7221395s,S,7>5:50
8h52m22.7221395s,S,7>1:50
8h52m22.7251402s,S,13>15:50
8h52m22.7271405s,S,10>8:50
8h52m22.7371427s,S,0>13:50
8h52m22.7381428s,S,7>2:50
8h52m22.7421436s,S,3>0:50
8h52m22.7421436s,S,3>6:50
8h52m22.7421436s,S,3>7:50
8h52m22.7471445s,S,10>5:52
8h52m22.7501449s,S,6>0:50
8h52m22.7501449s,S,11>0:50
8h52m22.7521455s,S,12>11:50
8h52m22.7531459s,S,5>12:50
8h52m22.7531459s,S,12>15:50
8h52m22.7551462s,S,10>7:50
8h52m22.7561463s,S,14>3:50
8h52m22.7571467s,S,0>5:50
8h52m22.7581469s,S,14>0:50
8h52m22.7601471s,S,13>3:50
8h52m22.7691492s,S,13>9:50
8h52m22.7691492s,S,13>5:50
8h52m22.7811302s,S,0>9:50
8h52m22.7811302s,S,9>0:52
8h52m22.7811302s,S,0>10:51
8h52m22.7861526s,D,15>10
8h52m22.7861526s,S,15>10:51
8h52m22.7881528s,S,5>6:50
8h52m22.7881528s,S,5>7:50
8h52m22.7901534s,S,13>0:50
8h52m22.7921539s,S,0>4:50
8h52m22.7921539s,S,0>6:50
8h52m22.7951543s,S,7>2:50
8h52m22.7951543s,S,7>3:50
8h52m22.8021558s,S,5>8:50
8h52m22.803156s,S,12>14:50
8h52m22.803156s,S,12>3:50
8h52m22.8061567s,S,0>2:50
8h52m22.8071568s,S,13>10:50
8h52m22.8071568s,S,14>5:50
8h52m22.8071568s,S,5>14:52
8h52m22.8071568s,S,14>7:51
8h52m22.8101548s,S,3>13:50
8h52m22.8141559s,S,6>3:50
8h52m22.8141559s,S,0>8:50
8h52m22.8191566s,S,0>1:50
8h52m22.823158s,S,7>1:50
8h52m22.8391639s,D,4>9
8h52m22.8391639s,S,4>9:51
8h52m22.8431647s,S,3>7:50
8h52m22.8431647s,S,3>6:50
8h52m22.8431647s,S,3>0:50
8h52m22.8431647s,S,11>8:50
8h52m22.8451653s,S,13>15:50
8h52m22.8501662s,S,5>12:50
8h52m22.8521668s,S,13>9:50
8h52m22.8521668s,S,13>5:50
8h52m22.8531669s,S,12>11:50
8h52m22.8531669s,S,12>15:52
8h52m22.8571674s,S,0>14:50
8h52m22.8631688s,S,7>4:50
8h52m22.8631688s,S,7>3:50
8h52m22.8701703s,S,14>10:50
8h52m22.8701703s,S,9>4:52
8h52m22.873171s,S,0>10:50
8h52m22.873171s,S,10>0:52
8h52m22.873171s,S,0>11:51
8h52m22.873171s,S,12>0:50
8h52m22.8771718s,S,13>0:50
8h52m22.8771718s,S,13>7:50
8h52m22.8771718s,S,10>15:52
8h52m22.8781719s,S,5>10:50
8h52m22.8801725s,S,7>2:50
8h52m22.8841733s,S,7>14:52
8h52m22.8891743s,D,4>15
8h52m22.8891743s,S,4>15:51
8h52m22.8911748s,S,6>7:50
8h52m22.8921749s,D,15>9
8h52m22.8921749s,S,15>9:51
8h52m22.8941752s,S,0>7:50
8h52m22.8951753s,S,0>9:50
8h52m22.8961758s,D,14>11
8h52m22.8961758s,S,14>11:51
8h52m22.898176s,S,0>4:50
8h52m22.9021575s,S,4>7:50
8h52m22.9091786s,S,3>13:50
8h52m22.9091786s,S,0>2:50
8h52m22.9131765s,S,5>14:50
8h52m22.9131765s,S,14>7:50
8h52m22.9131765s,S,14>5:50
8h52m22.9151771s,S,6>1:50
8h52m22.9231787s,S,5>6:50
8h52m22.9251792s,S,7>13:50
8h52m22.9291801s,S,13>3:50
8h52m22.9311806s,S,7>4:50
8h52m22.9331809s,S,14>3:50
8h52m22.9341813s,S,0>6:50
8h52m22.9351814s,S,13>9:50
8h52m22.9361819s,S,7>3:50
8h52m22.9451836s,S,3>6:50
8h52m22.9451836s,S,3>7:50
8h52m22.9471842s,S,5>12:50
8h52m22.9551861s,S,15>2:50
8h52m22.9561862s,S,3>12:50
8h52m22.9571864s,S,11>14:52
8h52m22.9611875s,S,14>13:50
8h52m22.9631877s,S,0>15:50
8h52m22.9631877s,S,13>7:50
8h52m22.9631877s,S,0>12:50
8h52m22.9631877s,S,0>13:51
8h52m22.9631877s,S,13>0:50
8h52m22.9631877s,S,11>0:52
8h52m22.9631877s,S,0>11:50
8h52m22.9631877s,S,4>6:50
8h52m22.9651883s,S,5>0:50
8h52m22.9671886s,S,9>15:52
8h52m22.9691724s,S,15>1:50
8h52m22.9711897s,S,0>14:50
8h52m22.9761724s,S,7>5:50
8h52m22.9761724s,S,12>3:50
8h52m22.9871753s,S,15>4:52
8h52m22.9891788s,S,14>8:50
8h52m22.9911756s,D,15>14
8h52m22.9911756s,S,15>14:51
8h52m22.9931764s,S,7>13:50
8h52m22.9971784s,D,4>11
8h52m22.9971784s,S,4>11:51
8h52m22.9991769s,S,6>2:50
8h52m23.000177s,S,0>10:50
8h52m23.000177s,S,0>4:50
8h52m23.0031786s,S,7>4:50
8h52m23.0051783s,S,8>10:51
8h52m23.0091791s,S,6>8:50
8h52m23.0121798s,S,3>13:50
8h52m23.017181s,S,3>14:50
8h52m23.017181s,S,14>11:50
8h52m23.0211815s,S,14>5:50
8h52m23.0211815s,S,5>14:50
8h52m23.0211815s,S,14>7:50
8h52m23.0211815s,S,14>13:50
8h52m23.0351854s,S,8>5:51
8h52m23.0351854s,S,10>8:52
8h52m23.0371851s,S,12>5:50
8h52m23.0411862s,S,14>12:50
8h52m23.0431871s,S,11>4:52
8h52m23.0431871s,S,7>0:50
8h52m23.0461874s,S,3>7:50
8h52m23.0461874s,S,15>12:50
8h52m23.0501886s,S,13>7:50
8h52m23.0501886s,S,0>8:51
8h52m23.0501886s,S,13>0:52
8h52m23.0551898s,S,0>13:50
