t,c,d
9.7796653s,S,2>8:50
9.7796653s,S,1>9:51
9.7885692s,S,9>2:51
9.7885692s,S,8>9:52
9.7915701s,S,2>6:50
9.8035726s,S,0>1:50
9.8045727s,S,9>0:50
9.8075825s,S,9>1:52
9.811576s,S,2>9:50
9.8135836s,S,0>8:50
9.8205763s,S,2>0:50
9.8305872s,S,4>7:50
9.8335797s,S,6>5:50
9.8365804s,S,1>0:50
9.8485825s,D,5>9:14000000
9.8485825s,S,7>4:50
9.8485825s,S,7>2:50
9.8485825s,S,5>9:51
9.8495833s,S,2>8:50
9.8495833s,S,2>9:52
9.8815895s,S,9>2:50
9.8815895s,S,9>0:50
9.8865998s,D,3>9:5000000
9.8865998s,S,3>9:51
9.8955925s,S,2>7:50
9.8965926s,S,0>9:50
9.911606s,S,7>1:50
9.9136062s,S,9>3:52
9.9155971s,S,7>0:50
9.9186072s,S,9>8:50
9.9196076s,D,3>8:6000000
9.9196076s,S,9>5:52
9.9196076s,S,3>8:51
9.9236084s,S,2>0:50
9.9236084s,S,2>6:50
9.9276092s,S,1>6:50
9.9286097s,S,8>4:51
9.934611s,D,5>8:15000000
9.934611s,S,5>8:51
9.9358348s,S,9>1:50
9.939612s,S,3>6:50
9.9516059s,S,8>3:52
9.9586068s,S,9>2:50
9.9636078s,S,2>9:50
9.9656083s,S,8>2:51
9.9656083s,S,4>8:52
9.9696094s,S,7>5:50
9.9726101s,S,6>1:50
9.9736108s,S,0>9:51
9.9926151s,S,5>0:50
9.9936152s,S,9>8:50
9.9996163s,S,2>8:50
10.0056176s,S,8>9:51
10.0106186s,S,9>1:50
10.0116193s,S,8>5:52
10.0186214s,S,1>7:50
10.0206219s,S,8>3:51
10.0206219s,S,9>8:52
10.0216221s,S,7>4:50
10.0266221s,S,2>6:50
10.0316237s,S,3>7:50
10.0316237s,S,3>6:50
10.0406263s,S,2>8:52
10.0496275s,S,0>10:51
10.0496275s,S,9>0:52
10.0506276s,S,8>3:50
10.0506276s,S,3>8:52
10.0756429s,S,1>9:50
10.0846446s,S,7>1:50
10.0866458s,S,3>9:50
10.0886449s,S,5>9:50
10.0886449s,S,8>5:50
10.1136419s,S,3>8:50
10.123645s,S,3>7:50
10.1296452s,S,5>6:50
10.1416488s,S,7>5:50
10.1416488s,S,10>0:52
10.1466588s,S,3>0:50
10.1616532s,S,5>8:50
10.1676557s,S,8>0:50
10.1806568s,S,3>9:50
10.2036627s,D,6>9:15000000
10.2036627s,S,6>9:51
10.2066631s,S,3>8:50
10.2346703s,S,0>8:50
10.2366706s,S,5>0:50
10.2386702s,S,3>0:50
10.2416712s,D,11>0:18000000
10.2436721s,S,7>3:50
10.2436721s,L,11
10.2486821s,S,8>7:50
10.2656776s,S,5>7:50
10.280681s,S,9>6:52
10.2966845s,D,6>8:16000000
10.2966845s,S,8>4:50
10.2966845s,S,6>8:51
10.2986848s,S,7>8:50
10.3186897s,S,0>9:50
10.3327012s,S,8>2:50
10.3576969s,S,6>0:50
10.3676993s,S,5>9:50
10.3727006s,S,5>6:50
10.3737007s,S,8>9:50
10.3787016s,S,8>6:52
10.3957062s,S,0>3:50
10.438725s,S,5>8:50
10.4597204s,S,6>5:50
10.4877281s,S,0>4:50
10.5007392s,S,6>4:50
10.5099265s,S,5>7:50
10.5417484s,S,10>0:51
10.5697546s,D,4>9:6000000
10.5697546s,S,4>9:51
10.5847584s,S,0>5:50
10.5887592s,S,7>2:51
10.5977513s,S,6>2:50
10.5977513s,S,6>1:50
10.6017521s,S,9>4:52
10.6317592s,S,4>6:50
10.6337694s,S,0>10:52
10.6557658s,S,2>7:52
10.6637669s,D,7>9:8000000
10.6637669s,S,7>9:51
10.6907821s,S,6>3:50
10.6977742s,S,6>8:50
10.7047854s,S,9>7:52
10.7217794s,S,0>6:50
10.7277808s,S,10>0:50
10.7287818s,S,4>7:50
10.7457852s,S,7>3:50
10.7787942s,S,6>9:50
10.7837939s,S,6>7:50
10.7897965s,S,4>8:50
10.8027996s,S,7>8:50
10.8138016s,D,1>8:6000000
10.8138016s,S,1>8:51
10.824847s,S,9>3:51
10.8268379s,S,4>9:50
10.8448417s,S,8>1:52
10.8488449s,S,7>0:50
10.8508528s,S,9>7:51
10.8508528s,S,3>9:52
10.8568541s,S,6>5:50
10.8578543s,S,4>0:50
10.8618554s,S,0>7:50
10.8758505s,S,1>9:50
10.8908524s,S,6>9:50
10.8918528s,S,7>9:52
10.8918528s,S,9>6:51
10.9018547s,S,1>8:50
10.9338621s,S,1>0:50
10.9348622s,S,9>1:50
10.9568677s,D,12>0:20000000
10.9568677s,S,7>4:50
10.958868s,L,12
10.9598678s,D,3>10:8000000
10.9598678s,S,3>10:51
10.9668696s,S,9>6:50
10.9668696s,S,6>0:50
10.9668696s,S,6>9:52
10.96787s,S,0>10:50
10.9718706s,D,9>10:5000000
10.9718706s,S,9>10:51
10.9958957s,S,6>1:50
10.9968958s,S,9>4:51
10.9968958s,S,10>9:52
11.0019823s,S,10>3:52
11.0179006s,S,7>5:50
11.0239873s,S,9>2:50
11.0259875s,S,1>6:50
11.0279881s,S,9>1:51
11.0279881s,S,4>9:52
11.0308865s,D,5>10:17000000
11.0308865s,S,5>10:51
11.0438899s,S,9>4:50
11.0449065s,S,3>7:50
11.0449065s,S,9>6:50
11.0508917s,S,8>6:51
11.0568928s,S,9>5:51
11.0568928s,S,1>9:52
11.0619104s,S,0>1:50
11.0780541s,S,9>7:50
11.0880513s,S,6>3:50
11.1009217s,S,3>9:50
11.1089227s,S,6>4:50
11.1179403s,S,1>7:50
11.1179403s,S,10>5:52
11.1199241s,S,7>9:50
11.1219382s,S,9>0:50
11.1219382s,S,9>4:50
11.1289411s,S,9>5:50
11.1289411s,S,5>9:52
11.1299416s,S,3>8:50
11.1339418s,S,6>8:52
11.1409283s,D,8>10:6000000
11.1409283s,S,8>10:51
11.1419299s,S,0>10:51
11.152132s,S,0>2:50
11.1531231s,S,9>7:50
11.1611174s,S,7>1:50
11.1651554s,S,3>10:50
11.1739353s,S,8>1:51
11.1739353s,S,10>8:52
11.1799378s,S,6>7:50
11.2009405s,S,9>8:50
11.2009405s,S,9>0:50
11.201941s,S,9>3:50
11.2059415s,S,8>5:51
11.2059415s,S,8>6:50
11.2059415s,S,1>8:52
11.2059415s,S,5>8:50
11.2069431s,S,6>2:50
11.210943s,S,3>0:50
11.2179551s,S,8>1:50
11.2199462s,S,7>6:50
11.2239564s,S,11>0:51
11.2299484s,S,9>10:50
11.2299484s,S,9>3:50
11.2349482s,S,0>11:51
11.2349482s,S,10>0:52
11.2509532s,S,8>0:50
11.2559644s,S,9>7:50
11.2559644s,S,9>2:50
11.2799895s,S,9>8:50
11.2819901s,S,5>10:50
11.2819901s,S,5>8:52
11.2859909s,S,8>10:50
11.2929918s,S,9>5:50
11.297993s,S,9>1:50
11.2999763s,S,9>0:50
11.302977s,S,3>6:50
11.3079782s,S,6>8:50
11.318s,S,8>7:50
11.3250006s,S,9>10:50
11.3260008s,S,0>12:51
11.3260008s,S,11>0:52
11.3260008s,S,0>11:52
11.3260008s,S,7>2:50
11.3340024s,S,8>4:50
11.3520091s,S,9>2:50
11.3679951s,S,8>3:50
11.3710134s,S,5>0:50
11.3720135s,S,8>2:50
11.3789962s,S,9>8:50
11.3909978s,S,9>5:50
11.3970009s,S,9>1:50
11.3970009s,D,6>10:18000000
11.3970009s,S,6>10:51
11.4160016s,S,8>9:50
11.4160016s,S,8>2:50
11.4190026s,S,0>1:50
11.4190026s,S,11>0:50
11.4230046s,S,9>6:50
11.429006s,S,12>0:52
11.4310062s,S,8>5:50
11.4570152s,S,8>9:50
11.4630119s,S,9>3:50
11.4870176s,S,10>6:52
11.4980199s,S,9>4:50
11.5080224s,S,5>6:50
11.5080224s,S,8>5:50
11.5080224s,S,8>7:50
11.5110237s,S,0>2:50
11.5290275s,S,0>3:50
11.5550335s,S,8>3:50
11.577039s,S,6>7:50
11.5850398s,S,8>1:50
11.5860411s,S,8>6:50
11.5980438s,D,13>0:17000000
11.6010451s,L,13
11.6110461s,S,0>5:50
11.6120468s,D,4>10:9000000
11.6120468s,S,4>10:51
11.6150478s,S,8>0:50
11.6190486s,S,0>4:50
11.6350527s,S,10>8:51
11.643054s,S,5>7:50
11.6570573s,S,10>4:52
11.6650581s,S,10>3:51
11.6650581s,S,8>10:52
11.6840626s,S,6>9:50
11.6950652s,S,8>10:50
11.6950652s,S,10>0:50
11.6960653s,S,8>4:50
11.7040673s,S,4>10:50
11.7050674s,S,10>9:51
11.7050674s,S,3>10:52
11.7140788s,D,2>10:10000000
11.7140788s,S,2>10:51
11.7160706s,D,7>10:11000000
11.7160706s,S,0>8:50
11.7160706s,S,7>10:51
11.7300724s,S,10>5:51
11.7300724s,S,9>10:52
11.7440772s,S,5>9:50
11.7470778s,S,0>6:50
11.7520791s,S,4>0:50
11.75708s,S,10>3:50
11.7630811s,S,6>10:50
11.7670813s,S,10>2:52
11.7720823s,S,10>7:52
11.7770835s,D,2>11:10000000
11.7770835s,S,2>11:51
11.7980903s,S,10>3:50
11.7980903s,S,10>6:50
11.8000897s,S,0>9:50
11.8151016s,S,5>10:52
11.818102s,S,2>8:50
11.8281045s,S,11>2:52
11.8291046s,S,7>1:50
11.840099s,S,10>9:50
11.8491298s,S,4>6:50
11.8531233s,D,1>10:8000000
11.8531233s,S,1>10:51
11.8561243s,S,6>5:50
11.8601333s,S,2>10:50
11.8661347s,S,10>5:50
11.8761283s,S,0>11:50
11.8811302s,S,2>9:50
11.8871306s,S,7>6:50
11.8891312s,S,10>4:50
11.8891312s,S,0>7:50
11.8891312s,S,10>6:51
11.895132s,S,10>1:52
11.9031377s,D,1>11:8000000
11.9031377s,S,1>11:51
11.9121368s,S,2>11:50
11.9171375s,S,2>8:50
11.9341406s,S,10>7:50
11.9371415s,S,12>0:51
11.9371415s,S,1>10:50
11.9451426s,S,11>1:52
11.946143s,S,4>7:50
11.9531466s,S,10>8:50
11.9591462s,S,2>10:50
11.963147s,S,2>0:50
11.9671481s,S,0>10:50
11.9771497s,S,1>11:50
11.9801507s,S,10>4:51
11.9801507s,S,6>10:52
11.9861517s,S,10>6:50
11.9861517s,S,1>0:50
11.9891527s,S,10>0:50
11.9921534s,S,7>2:50
11.9921534s,S,6>1:50
12.0061564s,S,4>8:50
12.0091571s,S,2>11:50
12.0121674s,D,3>12:10000000
12.0121674s,S,3>12:51
12.0261619s,S,4>10:52
12.0401646s,S,0>12:52
12.0441657s,S,4>9:50
12.058169s,S,7>9:50
12.058169s,S,0>10:50
12.0641698s,S,2>6:50
12.0641698s,S,12>3:52
12.0641698s,S,2>0:50
12.071181s,S,10>4:50
12.0771735s,S,1>0:50
12.0771735s,S,1>6:50
12.0801827s,S,10>9:50
12.0841838s,S,6>3:50
12.0991873s,S,7>0:50
12.1071792s,S,10>5:50
12.1151811s,S,3>0:50
12.1181818s,S,10>4:50
12.1181818s,S,10>7:50
12.1351952s,D,5>11:17000000
12.1351952s,S,5>11:51
12.1371866s,D,9>12:7000000
12.1371866s,S,9>12:51
12.1421885s,S,0>12:50
12.1421885s,S,12>0:50
12.144189s,D,14>0:22000000
12.1471897s,L,14
12.1671929s,S,2>6:50
12.1671929s,S,2>7:50
12.1691937s,S,1>7:50
12.1691937s,S,1>6:50
12.1721944s,S,12>9:52
12.1751954s,S,10>3:50
12.1761958s,S,6>8:50
12.1781958s,D,9>11:5000000
12.1781958s,S,9>11:51
12.1932007s,S,10>8:50
12.2052025s,S,11>9:52
12.2062029s,S,7>4:50
12.2062029s,S,3>6:50
12.2072031s,S,9>6:50
12.2152047s,S,10>6:50
12.2232063s,S,11>5:52
12.2252157s,S,1>9:50
12.2252157s,S,10>2:50
12.2322081s,S,2>9:50
12.2322081s,S,9>5:50
12.2432113s,S,0>12:50
12.2432113s,S,0>1:50
12.2442117s,S,12>3:50
12.2522124s,S,1>8:50
12.2572143s,S,6>0:50
12.2612145s,S,1>7:50
12.268216s,S,2>7:50
12.268216s,S,7>5:50
12.2712176s,D,15>0:28000000
12.2742179s,L,15
12.2822202s,S,1>10:50
12.2832206s,S,9>4:50
12.2912213s,D,8>12:8000000
12.2912213s,S,8>12:51
12.2952219s,S,12>9:50
12.298224s,S,3>7:50
12.3032252s,S,9>3:50
12.3092348s,S,10>5:50
12.3092348s,S,5>10:50
12.3142296s,S,9>7:50
12.3192282s,S,1>9:50
12.3223998s,S,1>11:50
12.3242303s,D,11>10:8000000
12.3242303s,S,11>10:51
12.330232s,S,9>10:50
12.3332309s,S,0>2:50
12.3342322s,S,12>8:52
12.3412325s,D,8>11:6000000
12.3412325s,S,8>11:51
12.3442332s,S,0>3:50
12.3452333s,S,1>8:50
12.3562359s,S,9>12:50
12.3562359s,S,9>2:50
12.3562359s,S,3>9:50
12.3644149s,S,10>11:52
12.3702401s,S,7>3:50
12.3724183s,S,11>8:52
12.3764563s,D,11>12:10000000
12.3764563s,S,8>0:50
12.3764563s,S,11>12:51
12.383243s,S,3>8:50
12.391244s,S,9>8:50
12.391244s,S,9>11:50
12.3972548s,S,10>8:50
12.3972548s,S,5>11:50
12.3992553s,S,6>4:50
12.4052564s,S,8>3:50
12.4072482s,S,9>1:50
12.4152492s,S,3>10:50
12.4192503s,S,9>0:50
12.426253s,S,7>8:50
12.4292534s,S,10>2:50
12.4292534s,S,11>5:51
12.4292534s,S,12>11:52
12.4292534s,S,11>12:50
12.4292534s,S,0>13:51
12.4342534s,S,0>5:50
12.436254s,S,0>4:50
12.436254s,S,9>6:50
12.4372544s,S,8>6:50
12.4582686s,S,8>4:50
12.4582686s,S,3>12:50
12.4722622s,S,7>10:50
12.4802638s,S,11>0:50
12.4802638s,S,11>2:50
12.4812651s,S,10>1:50
12.4842658s,S,5>0:50
12.4872659s,S,6>10:51
12.4962679s,S,8>2:50
12.4962679s,S,9>8:50
12.4962679s,S,6>2:50
12.514272s,S,9>4:50
12.5152722s,S,9>1:50
12.5162729s,S,0>14:51
12.5162729s,S,13>0:52
12.517273s,S,5>11:52
12.5182828s,S,8>10:50
12.5232744s,S,10>0:50
12.5312851s,S,11>1:50
12.5312851s,S,11>2:51
12.534277s,S,0>8:50
12.5382784s,S,8>9:50
12.543279s,S,9>10:50
12.5442792s,S,9>7:50
12.5502808s,S,8>12:50
12.5542805s,S,8>5:50
12.5652837s,D,16>0:25000000
12.5692842s,L,16
12.5692842s,S,9>2:50
12.5702849s,S,0>6:50
12.5732859s,S,11>5:50
12.5772861s,S,10>6:52
12.5852877s,S,9>12:50
12.5862882s,S,11>2:50
12.5862882s,S,2>11:52
12.5862882s,S,11>1:51
12.5932911s,S,8>7:50
12.5962912s,D,6>11:18000000
12.5962912s,S,6>11:51
12.603293s,S,13>0:51
12.603293s,S,0>9:50
12.6042934s,S,9>5:50
12.6142941s,S,10>9:50
12.6202958s,S,9>11:50
12.623298s,S,5>6:50
12.6262986s,S,11>9:51
12.6262986s,S,1>11:52
12.6282986s,S,0>11:51
12.6282986s,S,14>0:52
12.6293072s,S,8>1:50
12.6362996s,S,11>1:50
12.6393097s,S,8>4:50
12.6463112s,S,9>0:50
12.6543128s,S,9>11:52
12.6603145s,S,11>9:50
12.6603145s,S,8>11:50
12.6683076s,D,4>12:11000000
12.6683076s,S,4>12:51
12.6743175s,S,9>3:50
12.6763092s,S,8>2:50
12.6773094s,S,11>5:50
12.6783183s,S,0>15:50
12.6783183s,S,0>9:50
12.6823103s,S,11>1:50
12.6873204s,S,11>10:50
12.6873204s,S,11>6:52
12.690321s,S,0>13:52
12.6943535s,S,8>7:50
12.707325s,D,6>12:20000000
12.707325s,S,6>12:51
12.7113258s,S,0>7:50
12.7173187s,S,8>9:50
12.7213195s,S,0>12:51
12.7213195s,S,11>0:52
12.7263295s,S,12>4:52
12.7313305s,S,11>8:50
12.7343309s,S,8>5:50
12.7353313s,D,4>11:9000000
12.7353313s,S,4>11:51
12.7393321s,S,0>14:50
12.7423328s,S,8>3:50
12.7583281s,S,0>11:50
12.7623286s,S,5>7:50
12.7633297s,S,11>12:50
12.7663292s,S,11>9:50
12.7663292s,S,11>5:50
12.773331s,S,8>6:50
12.7783313s,S,13>0:50
12.7793317s,S,6>0:50
12.7833323s,D,7>11:11000000
12.7833323s,S,11>4:52
12.7833323s,S,7>11:51
12.7843336s,S,4>0:50
12.7913354s,S,11>10:50
12.8104486s,S,12>6:52
12.8123486s,S,8>1:50
12.8123486s,S,0>6:50
12.8144494s,S,11>0:50
12.8213419s,S,12>0:52
12.8223511s,S,0>10:50
12.8223511s,S,0>15:51
12.8343465s,S,11>8:50
12.8393472s,S,11>7:52
12.8413466s,D,2>12:12000000
12.8413466s,S,2>12:51
12.8443469s,S,8>11:50
12.8503492s,S,0>3:50
12.8523506s,D,7>12:13000000
12.8523506s,S,7>12:51
12.85435s,S,11>10:50
12.8553504s,S,8>10:50
12.8664618s,S,5>9:50
12.875363s,S,8>0:50
12.8824668s,S,4>6:50
12.8824668s,S,4>0:50
12.8894683s,S,8>12:50
12.8953594s,S,11>8:50
12.8953594s,S,7>0:50
12.9043609s,S,12>2:52
12.9164706s,S,0>16:50
12.9213655s,S,12>7:52
12.9233739s,S,6>4:50
12.9233739s,S,6>0:50
12.927375s,S,11>12:50
12.9425215s,S,0>4:50
12.9425215s,S,5>8:50
12.9553813s,S,0>7:50
12.9553813s,D,1>12:10000000
12.9553813s,S,1>12:51
12.9663751s,S,15>0:52
12.9675579s,S,2>9:50
12.9803869s,S,4>7:50
12.9803869s,S,11>0:50
12.9803869s,S,4>6:50
12.9886049s,S,7>1:50
13.0043842s,S,7>4:50
13.0063839s,S,2>8:50
13.007384s,S,12>1:52
13.022388s,S,6>2:50
13.0273878s,S,10>2:51
13.0403909s,S,12>6:51
13.041391s,S,0>8:50
13.041391s,S,4>8:50
13.0433913s,S,0>11:50
13.046392s,S,7>6:50
13.0473921s,S,2>10:50
13.0583947s,S,1>6:50
13.0613954s,S,0>12:50
13.0643961s,S,7>5:50
13.0663975s,S,6>4:50
13.0723986s,S,11>9:50
13.0723986s,D,3>11:8000000
13.0723986s,S,3>11:51
13.0764085s,S,4>7:50
13.0764085s,S,4>9:50
13.0864042s,D,10>13:7000000
13.0864042s,S,10>13:51
13.0984046s,S,2>11:50
13.0984046s,S,2>10:52
13.0994138s,S,11>6:50
13.1094081s,S,4>10:50
13.1094081s,S,0>5:50
13.1134086s,S,11>3:52
13.1224101s,S,14>0:51
13.1234102s,S,6>8:50
13.1244106s,S,13>10:52
13.1254111s,D,3>14:12000000
13.1254111s,S,3>14:51
13.1344119s,D,10>12:10000000
13.1344119s,S,10>12:51
13.1364125s,S,0>13:50
13.1364125s,S,0>11:50
13.1374129s,S,4>8:50
13.1424136s,S,12>7:51
13.1424136s,S,6>12:52
13.1484152s,S,2>12:50
13.1494157s,S,1>7:50
13.152416s,S,7>2:50
13.1544166s,S,4>12:50
13.1544166s,S,3>6:50
13.1594193s,S,10>3:50
13.1644287s,S,6>2:50
13.1644287s,S,0>1:50
13.1654289s,S,7>3:50
13.1744213s,S,4>9:50
13.1854253s,S,12>10:52
13.1854253s,S,10>7:51
13.1884257s,S,14>3:52
13.1904254s,S,11>2:50
13.2024284s,S,10>6:50
13.2044284s,S,6>5:50
13.2064292s,S,1>9:50
13.2084289s,S,2>0:50
13.2084289s,S,7>12:52
13.2084289s,S,4>10:50
13.2084289s,S,12>1:51
13.209429s,D,9>13:4000000
13.209429s,S,9>13:51
13.2104297s,S,4>11:50
13.2194312s,S,7>9:50
13.2214321s,S,7>8:50
13.2224331s,S,0>14:50
13.2264345s,S,0>13:50
13.229434s,S,13>9:52
13.2324344s,S,1>8:50
13.2354351s,S,10>3:50
13.2424371s,S,10>1:51
13.2424371s,S,7>10:52
13.2434373s,D,5>12:19000000
13.2434373s,S,5>12:51
13.2444374s,S,3>7:50
13.246438s,S,0>6:50
13.246438s,S,12>3:50
13.2514389s,S,9>12:50
13.2534392s,S,4>12:50
13.2564398s,S,0>2:50
13.2594405s,S,7>11:50
13.2604409s,D,15>13:17000000
13.2604409s,S,1>12:52
13.2604409s,S,15>13:51
13.2634413s,S,1>10:50
13.266442s,S,6>8:50
13.2834472s,S,10>11:51
13.2864476s,S,9>11:50
13.2944495s,S,10>6:50
13.2944495s,S,10>4:50
13.2974496s,S,7>10:50
13.2974496s,S,12>3:51
13.2974496s,S,12>4:50
13.2994504s,S,3>8:50
13.2994504s,S,3>7:50
13.3034509s,S,1>11:50
13.3034509s,S,1>10:52
13.3094526s,S,4>11:50
13.3114523s,S,2>6:50
13.312453s,S,0>12:50
13.312453s,S,9>0:50
13.3234556s,S,10>11:50
13.3234556s,S,11>10:52
13.3304565s,S,3>10:50
13.3344576s,S,0>3:50
13.3344576s,S,0>14:52
13.3404596s,S,6>1:50
13.3404596s,S,10>7:50
13.3404596s,S,12>5:52
13.3454608s,S,1>12:50
13.3464697s,S,15>0:51
13.3464697s,S,13>15:52
13.3474699s,S,6>9:50
13.3504612s,S,3>12:52
13.3504612s,S,12>10:51
13.3504612s,S,12>3:50
13.3554624s,S,12>1:50
13.3554624s,S,7>12:50
13.3554624s,S,7>10:50
13.3564625s,S,3>8:50
13.3594632s,S,0>5:50
13.3654646s,S,10>12:50
13.3654646s,S,10>13:50
13.3724661s,S,3>0:50
13.3824685s,D,8>14:10000000
13.3824685s,S,8>14:51
13.3854695s,S,10>4:50
13.3864711s,S,3>10:50
13.3864711s,S,0>7:50
13.38947s,S,9>8:50
13.3954717s,S,1>0:50
