t,c,d
0s,I,2018-08-17T14:02:49.1238221000
1.0449038s,L,0
1.1229544s,D,1>0:18000000
1.1229544s,D,2>0:20000000
1.1239543s,D,3>0:18000000
1.1269564s,L,1
1.1269564s,L,2
1.1269564s,L,3
1.1349574s,D,4>0:19000000
1.1349574s,D,5>0:27000000
1.138958s,L,5
1.138958s,L,4
1.2119748s,S,4>0:51
1.3019947s,S,2>0:51
1.3069962s,S,0>4:52
1.4020171s,S,0>2:52
1.4030172s,S,4>0:50
1.4050178s,S,5>0:51
1.5030496s,S,2>0:50
1.5050411s,S,1>0:51
1.5440514s,S,0>5:52
1.596062s,S,0>1:52
1.6070637s,S,3>0:51
1.6800805s,S,5>0:50
1.687082s,S,1>0:50
1.6980852s,S,0>3:52
1.789105s,S,3>0:50
2.0441646s,S,0>1:51
2.134183s,S,0>2:51
2.134183s,S,1>0:52
2.2342057s,S,0>3:51
2.2342057s,S,2>0:52
2.3242262s,S,0>4:51
2.3242262s,S,3>0:52
2.419248s,S,0>5:51
2.419248s,S,4>0:52
2.554279s,S,5>0:52
4.364689s,D,6>0:28000000
4.3656885s,L,6
4.5548424s,S,0>6:51
4.695776s,S,6>0:52
4.8368064s,S,0>4:50
4.9318278s,S,0>5:50
5.0678602s,S,0>6:50
5.2084395s,S,0>1:50
5.2994507s,S,0>2:50
5.3294584s,D,4>6:19000000
5.3294584s,S,4>6:51
5.3624648s,S,6>0:51
5.4284816s,S,0>3:50
5.4444848s,S,6>4:52
5.5044976s,S,0>6:52
5.5395051s,S,6>4:51
5.5395051s,S,4>0:50
5.5745129s,D,5>6:27000000
5.5745129s,S,5>6:51
5.615522s,D,1>6:18000000
5.615522s,S,1>6:51
5.6345277s,S,4>6:50
5.6455286s,S,6>0:50
5.7055428s,S,6>1:52
5.7095436s,S,6>5:52
5.7195461s,D,3>6:18000000
5.7195461s,S,3>6:51
5.7295483s,S,4>6:52
5.7875614s,S,6>4:50
5.7975633s,S,1>0:50
5.8105662s,S,6>3:52
5.8448324s,S,5>0:50
5.8838316s,S,6>5:50
5.8898493s,S,1>6:50
5.9028358s,S,3>0:50
5.9828538s,S,5>6:50
5.994873s,S,3>6:50
6.0228728s,S,6>1:50
6.4252399s,D,2>6:20000000
6.4252399s,S,2>6:51
6.525262s,S,6>2:52
6.627287s,S,2>0:50
6.6353048s,S,6>5:51
6.7288753s,S,2>6:50
6.7738855s,S,6>1:51
6.7738855s,S,5>6:52
6.8659251s,S,1>6:52
6.8659251s,S,6>3:51
6.9569272s,S,6>2:51
6.9569272s,S,3>6:52
7.0579498s,S,2>6:52
7.0599503s,D,7>0:21000000
7.0609502s,L,7
7.6980946s,S,0>7:51
7.8051194s,S,7>0:52
7.8071191s,D,8>0:16000000
7.8081201s,L,8
7.9111429s,S,0>4:50
8.0061655s,S,0>5:50
8.0391718s,S,7>0:51
8.1612s,S,0>7:52
8.1622001s,S,0>6:50
8.2672238s,S,7>0:50
8.3022313s,S,0>7:50
8.4092557s,S,0>8:50
8.4592672s,D,4>7:12000000
8.4592672s,S,4>7:51
8.4892834s,S,0>1:50
8.5202813s,S,7>4:52
8.580295s,S,0>2:50
8.581296s,S,4>0:50
8.677317s,S,4>6:50
8.6823182s,S,0>3:50
8.7083257s,D,9>0:15000000
8.7093253s,L,9
8.7183264s,D,1>7:11000000
8.7183264s,S,1>7:51
8.7323303s,D,5>7:20000000
8.7323303s,S,5>7:51
8.7723385s,S,4>7:50
8.7733383s,S,7>1:52
8.7923425s,S,8>0:51
8.8053457s,S,0>8:51
8.8253506s,D,3>7:11000000
8.8253506s,S,3>7:51
8.8293509s,S,1>6:50
8.833352s,S,7>5:52
8.8813623s,S,7>3:52
8.8823627s,D,8>7:9000000
8.8823627s,S,8>7:51
8.8863638s,S,0>9:51
8.8863638s,S,8>0:52
8.8863638s,S,0>8:52
8.9193714s,S,1>7:50
8.9283734s,S,7>8:52
8.9333749s,S,5>7:50
8.9363759s,S,3>0:50
8.9633909s,S,9>0:52
8.9673826s,S,0>4:50
8.9673826s,S,8>0:50
8.9763841s,S,1>0:50
8.9763841s,S,8>7:50
9.0303975s,S,3>6:50
9.0364071s,S,5>0:50
9.0414086s,S,0>1:50
9.0484101s,S,8>7:50
9.0484101s,S,8>0:50
9.063405s,S,0>8:50
9.0804172s,D,6>7:21000000
9.0804172s,S,6>7:51
9.1224183s,S,3>7:50
9.1334209s,S,0>2:50
9.1464235s,S,0>9:50
9.162427s,S,7>4:51
9.1744298s,S,5>6:50
9.1874323s,S,7>6:52
9.2224404s,S,0>3:50
9.2234405s,S,7>1:51
9.2234405s,S,4>7:52
9.2354436s,S,0>5:50
9.2794528s,S,7>5:51
9.2794528s,S,1>7:52
9.2954566s,S,6>3:50
9.314462s,S,0>2:50
9.3754756s,S,0>6:50
9.3814769s,S,7>3:51
9.3814769s,S,5>7:52
9.386477s,S,6>2:50
9.4174854s,S,0>5:50
9.4374898s,S,7>8:51
9.4374898s,S,3>7:52
9.4824986s,S,7>6:51
9.4824986s,S,8>7:52
9.4895001s,S,6>7:50
9.5175078s,S,0>7:50
9.5285101s,D,4>8:7000000
9.5285101s,S,7>3:50
9.5285101s,S,4>8:51
9.5425125s,D,2>7:13000000
9.5425125s,S,2>7:51
9.5525159s,S,0>6:50
9.5585175s,D,10>0:18000000
9.5605166s,L,10
9.5635176s,S,8>4:52
9.5855316s,S,7>8:50
9.5945252s,S,6>0:50
9.5945252s,S,6>7:52
9.6005262s,S,4>8:50
9.6095371s,S,7>2:52
9.6175314s,D,2>9:7000000
9.6175314s,S,2>9:51
9.6235404s,S,0>3:50
9.633534s,S,7>6:50
9.6375354s,S,4>0:50
9.6535387s,S,9>2:52
9.6615418s,D,2>8:8000000
9.6615418s,S,2>8:51
9.6765437s,S,2>7:50
9.6895463s,S,2>0:50
9.6935471s,S,9>0:51
9.6955477s,S,0>7:50
9.7035493s,S,8>2:52
9.7155518s,S,0>4:50
9.7335567s,S,4>6:50
9.7355579s,S,6>4:50
9.7395678s,S,7>0:50
9.7395678s,S,7>6:50
9.7415674s,S,2>9:50
9.744669s,S,2>7:50
9.7695649s,S,0>9:52
9.7725662s,D,9>8:3000000
9.7725662s,S,9>8:51
9.7796653s,D,1>9:5000000
