t,c,d
0s,I,2018-08-06T15:24:14.8209565000
606.1343ms,L,0
613.1361ms,D,1>0
614.1362ms,D,2>0
615.1372ms,L,1
615.1372ms,L,2
627.1406ms,D,3>0
628.1389ms,L,3
630.1398ms,D,4>0
630.1398ms,L,4
634.1406ms,D,5>0
635.141ms,L,5
1.0913202s,S,1>0:51
1.1882652s,S,0>1:52
1.1932835s,S,2>0:51
1.2842857s,S,1>0:50
1.2933044s,S,0>2:52
1.3063073s,S,5>0:51
1.3943256s,S,2>0:50
1.4073284s,S,3>0:51
1.4433358s,S,0>5:52
1.4983268s,S,0>3:52
1.5123501s,S,4>0:51
1.5803437s,S,5>0:50
1.5903459s,S,3>0:50
1.6043489s,S,0>4:52
1.605349s,S,0>1:51
1.6953693s,S,4>0:50
1.7003697s,S,0>2:51
1.7003697s,S,1>0:52
1.8003927s,S,0>3:51
1.8003927s,S,2>0:52
1.8924138s,S,0>4:51
1.8924138s,S,3>0:52
1.9834512s,S,0>5:51
1.9834512s,S,4>0:52
2.1194901s,S,5>0:52
3.6428094s,D,6>0
3.6438101s,L,6
3.7518515s,D,7>0
3.7538526s,L,7
3.8418741s,D,8>0
3.8438714s,L,8
3.9438959s,D,9>0
3.9468767s,L,9
4.0429265s,D,10>0
4.046898s,L,10
4.1209182s,S,0>9:51
4.1482313s,D,11>0
4.1502321s,L,11
4.1972432s,S,0>10:51
4.1972432s,S,9>0:52
4.2336891s,D,12>0
4.2352517s,L,12
4.2742612s,S,0>4:50
4.2892843s,S,0>6:51
4.2892843s,S,10>0:52
4.3432963s,D,13>0
4.3452766s,L,13
4.3663008s,S,0>7:50
4.3823041s,S,0>2:50
4.4313152s,S,6>0:52
4.449299s,D,14>0
4.4532999s,L,14
4.4743243s,S,0>8:50
4.4743243s,S,0>7:51
4.4843262s,S,0>4:50
4.556342s,S,0>10:50
4.5573222s,D,15>0
4.5613225s,L,15
4.5753269s,S,0>4:50
4.5823478s,S,0>7:50
4.5823478s,S,0>8:51
4.5823478s,S,7>0:52
4.6113539s,D,4>9
4.6113539s,S,4>9:51
4.615355s,S,6>0:51
4.6383402s,S,9>4:52
4.6463412s,D,4>10
4.6463412s,S,4>10:51
4.6503423s,S,0>2:50
4.6633657s,S,8>0:52
4.6643658s,S,4>0:50
4.688371s,S,10>4:52
4.6903713s,S,0>8:50
4.6903713s,S,0>7:50
4.7433829s,D,7>10
4.7433829s,S,7>10:51
4.7453647s,S,0>3:50
4.7503844s,S,0>2:50
4.7563855s,S,4>9:50
4.7563855s,S,4>0:50
4.758386s,S,0>6:52
4.7703882s,S,0>10:50
4.7833911s,S,4>10:50
4.7963939s,S,0>8:50
4.8023924s,S,7>0:51
4.8023924s,S,10>7:52
4.8324016s,D,8>10
4.8324016s,S,8>10:51
4.8384029s,S,0>3:50
4.8464043s,S,4>9:50
4.8504051s,S,0>4:50
4.8624081s,S,0>13:50
4.8634083s,S,8>0:51
4.8634083s,S,10>8:52
4.87241s,S,4>10:50
4.9043963s,S,0>6:50
4.9043963s,S,6>0:50
4.9103989s,S,7>0:50
4.9103989s,S,0>7:52
4.918399s,D,7>9
4.918399s,S,7>9:51
4.9314814s,S,0>5:50
4.9354027s,D,9>10
4.9354027s,S,9>10:51
4.946408s,S,8>0:50
4.946408s,S,0>8:52
4.9494063s,S,0>13:50
4.9494063s,S,0>1:50
4.9504062s,D,8>9
4.9504062s,S,8>9:51
4.95941s,S,9>7:52
4.9634096s,S,10>9:52
4.96841s,S,9>8:52
4.9904234s,S,9>0:50
5.0004332s,S,9>7:51
5.0164394s,S,7>10:50
5.0164394s,S,7>0:50
5.0164394s,S,0>7:50
5.0264442s,S,10>7:51
5.030445s,S,8>10:50
5.030445s,S,8>9:50
5.030445s,S,8>0:50
5.0384467s,S,0>2:50
5.0424478s,S,7>9:52
5.046431s,S,0>3:50
5.0484492s,S,0>9:50
5.0694507s,S,0>6:50
5.0694507s,S,9>4:50
5.0694507s,S,9>0:51
5.0854543s,S,10>0:51
5.0854543s,S,7>10:52
5.096439s,S,9>7:50
5.1154427s,S,8>10:50
5.1154427s,S,8>0:50
5.1244447s,S,7>0:50
5.1244447s,S,0>8:50
5.1274463s,S,0>11:50
5.1304473s,S,11>0:51
5.1374479s,S,9>10:50
5.1384504s,S,0>5:50
5.142467s,S,7>10:50
5.1454677s,S,9>4:51
5.1454677s,S,9>0:50
5.1454677s,S,0>9:52
5.1464678s,S,8>9:50
5.1654747s,S,9>8:50
5.1714761s,S,4>9:52
5.1784776s,S,10>0:50
5.1784776s,S,10>4:51
5.1784776s,S,0>10:52
5.1974815s,S,8>10:50
5.198482s,S,7>9:50
5.1994821s,D,1>10
5.1994821s,S,1>10:51
5.2054632s,S,0>13:50
5.2144852s,S,0>6:50
5.2144852s,S,12>0:51
5.218486s,S,0>12:50
5.2214665s,S,10>9:51
5.2214665s,S,4>10:52
5.2224872s,S,0>9:50
5.2224872s,S,9>4:50
5.2224872s,S,0>11:52
5.2224872s,S,9>0:50
5.2304888s,S,7>10:50
5.246492s,S,10>1:52
5.2484926s,S,9>7:50
5.2484926s,S,10>8:51
5.2484926s,S,9>10:52
5.2684964s,S,10>4:50
5.2684964s,S,10>0:50
5.279499s,S,8>10:52
5.290501s,S,7>9:50
5.290501s,S,0>3:50
5.290501s,S,9>10:50
5.2915012s,S,1>10:50
5.2985027s,S,9>4:50
5.3055042s,D,2>10
5.3055042s,S,2>10:51
5.3105025s,S,10>7:50
5.3145062s,S,0>11:50
5.3145062s,S,11>0:50
5.3185044s,S,9>8:50
5.3204882s,S,0>10:50
5.3204882s,S,0>12:52
5.3275091s,S,9>7:50
5.3414945s,S,1>0:50
