t,c,d
5.3435123s,D,13>6
5.3435123s,S,13>6:51
5.3584953s,S,0>6:50
5.3584953s,S,10>2:52
5.3584953s,S,0>9:50
5.360516s,S,10>4:50
5.360516s,S,10>0:50
5.3665171s,D,2>9
5.3665171s,S,2>9:51
5.3685177s,S,9>10:50
5.3685177s,S,10>8:50
5.3955233s,S,9>8:50
5.4005242s,S,10>9:50
5.4005242s,S,10>7:50
5.4065056s,S,9>2:52
5.4085258s,S,2>0:50
5.4105264s,S,0>1:50
5.420511s,D,2>7
5.420511s,S,2>7:51
5.4245294s,S,0>12:50
5.4245294s,S,12>0:50
5.4275301s,S,14>0:51
5.4305308s,S,6>13:52
5.4365113s,S,0>11:50
5.4415328s,D,13>7
5.4415328s,S,13>7:51
5.4445968s,S,2>9:50
5.4505345s,S,10>0:50
5.4505345s,S,10>4:50
5.457536s,S,10>8:50
5.460537s,D,5>9
5.460537s,S,5>9:51
5.4875426s,S,2>7:50
5.4875426s,S,7>2:52
5.490543s,S,10>9:50
5.4915434s,S,10>7:50
5.4935437s,S,13>0:51
5.4935437s,S,7>13:52
5.4995451s,S,0>9:50
5.4995451s,S,0>6:50
5.5055461s,D,3>8
5.5055461s,S,3>8:51
5.5075476s,D,2>6
5.5075476s,S,2>6:51
5.5095469s,S,2>10:50
5.5095469s,S,0>5:50
5.518549s,S,10>1:50
5.5275511s,S,0>1:50
5.5275511s,S,0>12:50
5.5295346s,S,15>0:51
5.5315516s,S,9>5:52
5.5385507s,S,8>3:52
5.5405539s,S,0>14:52
5.5425542s,S,10>4:50
5.5435543s,D,3>9
5.5435543s,S,3>9:51
5.5485553s,D,5>10
5.5485553s,S,5>10:51
5.5505555s,S,10>8:50
5.5545566s,S,2>0:50
5.5545566s,S,2>7:50
5.5635584s,S,2>9:50
5.5705596s,S,3>0:50
5.5705596s,S,9>3:52
5.5795617s,D,3>10
5.5795617s,S,0>11:50
5.5795617s,S,3>10:51
5.581542s,S,13>0:50
5.581542s,S,0>13:52
5.5835472s,S,10>9:50
5.5835472s,S,10>7:50
5.5885611s,D,13>10
5.5885611s,S,13>10:51
5.603546s,S,5>0:50
5.6095477s,S,6>2:52
5.6105478s,S,10>1:50
5.6235692s,S,10>3:52
5.6235692s,S,2>6:50
5.6255524s,S,10>13:52
5.6305704s,S,0>3:50
5.6345712s,D,3>7
5.6345712s,S,3>7:51
5.6375537s,S,10>5:52
5.6425731s,S,10>8:50
5.6425731s,S,0>9:50
5.6535593s,S,0>14:50
5.6535593s,S,14>0:50
5.6575701s,S,2>10:50
5.6615774s,S,3>0:50
5.6615774s,S,3>8:50
5.6635779s,S,0>10:51
5.66756s,S,3>10:50
5.6695611s,S,13>0:50
5.6695611s,S,13>6:50
5.6715617s,S,0>15:52
5.6735619s,S,0>12:50
5.6745618s,S,10>9:50
5.6925679s,S,7>3:52
5.6935681s,S,3>9:50
5.7005702s,S,10>1:50
5.7085694s,D,4>6
5.7085694s,S,3>7:50
5.7085694s,S,4>6:51
5.7115701s,S,2>0:50
5.7205731s,S,0>11:50
5.7405763s,S,5>9:50
5.7405763s,S,5>0:50
5.7455772s,S,10>2:50
5.7545796s,S,3>8:50
5.7545796s,S,13>0:50
5.7545796s,S,13>7:50
5.7545796s,S,13>6:50
5.7565801s,S,0>7:51
5.7565801s,S,0>10:50
5.7565801s,S,10>0:52
5.7635813s,S,3>0:50
5.7635813s,S,3>7:50
5.7805862s,D,6>7
5.7805862s,S,6>7:51
5.7845873s,S,3>9:50
5.7996112s,S,6>4:52
5.8106136s,D,4>7
5.8106136s,S,0>12:50
5.8106136s,S,4>7:51
5.8126138s,S,2>10:50
5.8126138s,S,3>10:50
5.8126138s,S,0>15:50
5.8126138s,S,2>0:50
5.8126138s,S,15>0:50
5.8126138s,S,5>10:50
5.8406175s,S,13>6:50
5.8406175s,S,13>7:50
5.8466189s,S,0>5:50
5.8556033s,S,3>8:50
5.8556033s,S,3>0:50
5.8636052s,S,0>8:51
5.8636052s,S,7>0:52
5.8676066s,S,2>9:50
5.8686071s,S,7>4:52
5.8756074s,D,4>8
5.8756074s,S,4>8:51
5.8766078s,S,5>9:50
5.8866279s,S,3>9:50
5.887628s,S,7>6:52
5.8916291s,S,6>4:51
5.8916291s,S,4>0:50
5.8956326s,S,13>10:50
5.9056348s,S,2>7:50
5.907635s,S,8>4:52
5.9136364s,S,2>10:50
5.9136364s,S,0>10:50
5.9276394s,S,4>9:50
5.92964s,S,13>7:50
5.92964s,S,13>6:50
5.9366382s,S,13>0:50
5.9406393s,S,4>7:50
5.943643s,S,0>11:51
5.943643s,S,8>0:52
5.9456432s,S,3>8:50
5.9496417s,S,5>10:50
5.9536452s,S,0>2:50
5.9546424s,S,4>10:50
5.9596462s,S,7>2:51
5.9656476s,S,2>9:50
5.9706456s,S,0>1:50
5.9756498s,S,2>6:50
5.9776503s,S,3>9:50
5.9816512s,S,4>9:50
5.9816512s,S,4>6:52
5.9856317s,D,8>6
5.9856317s,S,0>14:50
5.9856317s,S,8>6:51
5.9976544s,S,6>8:50
5.9976544s,D,6>8
5.9976544s,C,8>6
5.9976544s,C,6>8
5.9976544s,C,8>6
5.9976544s,C,6>8
5.9976544s,S,6>8:51
6.0016555s,S,4>8:50
6.0056563s,S,3>10:50
6.0116577s,D,8>7
6.0116577s,S,4>10:50
6.0116577s,S,8>7:51
6.013658s,S,6>0:50
6.0196382s,S,13>7:50
6.0266632s,S,7>13:51
6.0266632s,S,2>7:52
6.0346642s,S,4>0:50
6.0346642s,S,11>0:52
6.054666s,S,0>4:50
6.054666s,S,0>2:50
6.0586674s,S,8>3:51
6.0586674s,S,7>8:52
6.066669s,S,0>5:50
6.066669s,S,0>1:50
6.0716679s,S,13>10:50
6.0736682s,S,4>6:50
6.0786688s,S,7>6:51
6.0786688s,S,13>7:52
6.0916538s,S,8>4:51
6.0916538s,S,3>8:52
6.0936544s,D,6>9
6.0936544s,S,6>9:51
6.0946574s,D,8>6
6.0946574s,C,6>8
6.0946574s,C,8>6
6.0946574s,S,8>6:52
6.0946574s,C,8>6
6.0946574s,C,6>8
6.0946574s,C,6>8
6.0946574s,C,8>6
6.0946574s,C,6>8
6.0976555s,S,0>15:50
6.0976555s,S,0>14:51
6.1056574s,S,8>0:50
6.122679s,S,4>8:52
6.1266604s,S,0>3:50
6.1276612s,S,4>9:50
6.1486657s,S,0>7:50
6.1536669s,S,4>10:50
6.1566679s,S,6>13:50
6.1596686s,S,0>4:50
6.1677649s,S,4>6:50
6.1677649s,S,4>7:50
6.1716819s,S,9>6:52
6.1727652s,S,9>3:51
6.1876863s,S,7>6:50
6.1876863s,S,7>3:51
6.1876863s,S,6>7:52
6.1876863s,S,8>10:50
6.1986948s,S,9>8:51
6.1986948s,S,3>9:52
6.2036957s,S,0>5:50
6.2106972s,S,0>14:50
6.2106972s,S,14>0:52
6.2106972s,S,0>6:51
6.2147018s,S,9>5:51
6.2147018s,S,8>9:52
6.224704s,S,4>8:50
6.2307054s,S,8>9:50
6.2307054s,S,9>0:50
6.2327057s,D,11>10
6.2327057s,S,11>10:51
6.2387073s,S,0>1:50
6.2427078s,S,6>2:50
6.2427078s,S,6>13:51
6.2437083s,S,7>8:51
6.2437083s,S,3>7:52
6.246709s,S,8>3:50
6.2477091s,S,6>0:50
6.2537099s,D,1>8
6.2537099s,S,1>8:51
6.2557104s,S,4>0:50
6.2557104s,S,0>8:50
6.2557104s,S,0>7:50
6.2597112s,S,4>7:50
6.2597112s,S,4>6:50
6.273714s,S,10>11:52
6.2797156s,S,10>5:51
6.2797156s,S,8>4:50
6.2847166s,D,11>7
6.2847166s,S,11>7:51
6.2867168s,S,9>6:51
6.2867168s,S,5>9:52
6.2907153s,S,7>4:51
6.2907153s,S,8>7:52
6.2917181s,S,8>1:52
6.2927182s,S,7>8:50
6.2927182s,S,7>0:50
6.2977191s,D,1>9
6.2977191s,S,1>9:51
6.3057208s,S,9>8:50
6.3157227s,S,4>8:50
6.3157227s,S,11>0:50
6.321724s,S,9>2:50
6.3237243s,S,0>15:50
6.3237243s,S,0>10:50
6.3287255s,S,13>6:52
6.3297257s,S,9>1:52
6.3317259s,S,1>0:50
6.3357238s,D,12>6
6.3357238s,S,12>6:51
6.3377244s,S,8>7:50
6.3377244s,S,0>13:50
6.3387245s,S,0>14:50
6.3417255s,S,7>11:52
6.3427256s,D,1>7
6.3427256s,S,1>7:51
6.3447259s,S,6>4:50
6.3467264s,D,6>10
6.3467264s,S,4>7:52
6.3467264s,S,6>10:51
6.3487097s,D,11>8
6.3487097s,S,11>8:51
6.3517306s,S,0>6:50
6.3517306s,S,0>12:51
6.3587321s,S,9>5:50
6.3617325s,S,9>2:51
6.3617325s,S,6>9:52
6.3637328s,S,0>8:50
6.3667334s,S,10>6:51
6.3667334s,S,5>10:52
6.379736s,S,8>11:52
6.3847373s,D,11>9
6.3847373s,S,11>9:51
6.3877379s,S,6>13:50
6.3877379s,S,6>0:52
6.3977398s,S,2>9:52
6.3987403s,S,11>7:50
6.4017409s,S,7>0:50
6.4017409s,S,7>9:50
6.4037409s,S,7>1:52
6.4077417s,S,11>10:50
6.4117428s,S,9>11:52
6.4137431s,S,0>1:50
6.4297467s,D,11>6
6.4297467s,S,9>6:50
6.4297467s,S,1>10:50
6.4297467s,S,1>0:50
6.4297467s,S,11>6:51
6.4367482s,S,6>7:50
6.4367482s,S,6>12:52
6.4367482s,S,6>4:50
6.4377483s,S,11>0:50
6.4387484s,S,6>2:51
6.4387484s,S,9>0:50
6.4437494s,S,0>13:50
6.4447498s,S,7>3:50
6.4467501s,D,12>10
6.4467501s,S,12>10:51
6.4487503s,S,11>10:50
6.451751s,S,12>0:52
6.4547517s,S,11>7:50
6.4547517s,S,11>8:50
6.4597526s,S,10>11:51
6.4597526s,S,10>6:52
6.4597526s,S,6>10:52
6.4647539s,S,0>15:50
6.465754s,S,1>7:50
6.4767563s,S,1>8:50
6.4867582s,S,11>9:50
6.4927596s,S,0>9:50
6.4977605s,S,10>12:52
6.5007612s,S,10>1:51
6.5007612s,S,11>10:52
6.5017613s,S,7>6:50
6.5067623s,S,9>4:50
6.5077624s,S,7>9:50
6.5077624s,S,7>0:50
6.509763s,S,0>5:50
6.509763s,S,11>7:50
6.5117632s,D,12>7
6.5117632s,S,12>7:51
6.5137638s,S,1>9:50
6.5147639s,S,9>8:50
6.5237657s,S,6>11:52
6.5257662s,S,1>10:50
6.5277665s,S,1>0:50
6.5297671s,S,11>0:50
6.5297671s,S,9>2:50
6.5307672s,S,0>3:50
6.5307672s,S,0>13:51
6.5317673s,S,9>7:50
6.5407694s,S,11>10:50
6.5407694s,S,6>2:50
6.5407694s,S,10>8:50
6.5407694s,S,2>6:52
6.5417695s,S,6>7:50
6.5467705s,S,10>13:51
6.5477706s,S,12>10:50
6.548771s,S,7>3:50
6.5497711s,S,10>4:50
6.5507713s,D,14>8
6.5507713s,S,14>8:51
6.553772s,S,12>0:50
6.553772s,S,0>10:50
6.5647743s,S,9>5:50
6.5657744s,S,11>8:50
6.5687748s,S,0>11:50
6.5717755s,S,10>9:50
6.5717755s,S,1>8:50
6.5717755s,S,1>10:52
6.5737757s,S,9>10:50
6.577759s,S,7>12:52
6.5817777s,S,11>7:50
6.58376s,S,10>2:51
6.58376s,S,13>10:52
6.5857756s,D,12>8
6.5857756s,S,12>8:51
6.5907768s,S,10>8:50
6.5987787s,S,11>9:50
6.6007614s,S,12>7:50
6.6007614s,S,10>1:50
6.6017615s,S,9>3:50
6.6017615s,S,8>14:52
6.6087624s,S,7>8:50
6.6087624s,S,7>6:50
6.6097632s,S,1>9:50
6.6147656s,S,7>9:50
6.6177663s,D,2>8
6.6177663s,S,0>15:51
6.6177663s,S,0>13:50
6.6177663s,S,13>0:52
6.6177663s,S,2>8:51
6.6207681s,S,11>10:50
6.6207681s,S,11>0:50
6.6247678s,S,1>10:50
6.6247678s,S,0>6:50
6.6247678s,D,14>6
6.6247678s,S,10>9:50
6.6247678s,S,14>6:51
6.6267686s,S,8>12:52
6.631769s,D,13>8
6.631769s,S,13>8:51
6.6347685s,D,12>9
6.6347685s,S,12>9:51
6.6357689s,S,10>3:51
6.6357689s,S,10>2:50
6.6357689s,S,2>10:52
6.6367693s,S,9>1:50
6.63977s,S,11>8:50
6.6417703s,S,1>7:50
6.6427719s,S,6>4:50
6.6457714s,S,0>14:50
6.6467718s,S,0>1:50
6.6487712s,S,6>12:50
6.6487712s,S,6>7:50
6.6507723s,S,10>1:50
6.6527729s,D,5>8
6.6527729s,S,14>0:50
6.6527729s,S,5>8:51
6.6557736s,S,12>6:50
6.6557736s,S,7>10:50
6.6557736s,S,12>0:50
6.656774s,S,7>3:50
6.656774s,S,8>13:52
6.6577741s,S,8>2:52
6.6607742s,D,13>9
6.6607742s,S,0>12:50
6.6607742s,S,13>9:51
6.667776s,S,9>11:50
6.6697766s,S,11>9:50
6.6697766s,S,9>12:52
6.672777s,S,1>8:50
6.6767781s,S,3>10:52
6.6807798s,S,9>13:52
6.6817802s,S,13>10:50
6.6857798s,S,10>5:50
6.6857798s,S,10>2:50
6.6887805s,D,15>8
6.6887805s,S,15>8:51
6.6937809s,S,9>4:50
6.6947819s,S,11>6:50
6.6977826s,S,2>0:50
6.7037837s,S,0>2:50
6.7037837s,S,0>3:50
6.7037837s,S,13>0:50
6.7087846s,S,1>9:50
6.7107854s,D,3>6
6.7107854s,S,3>6:51
6.7117856s,S,7>4:50
6.7117856s,S,11>0:50
6.7117856s,S,7>2:50
6.7117856s,S,11>10:50
6.7147863s,S,7>8:50
6.7187871s,S,9>7:50
6.7187871s,S,13>8:50
6.72979s,S,8>5:52
6.7347915s,S,6>14:52
6.7397933s,S,10>2:50
6.7417927s,S,0>5:50
6.7447928s,S,13>9:50
6.7497946s,D,14>7
6.7497946s,S,14>7:51
6.7497946s,S,6>9:50
6.7537955s,S,11>7:50
6.7547962s,S,6>7:50
6.7557972s,S,12>6:50
6.7557972s,S,12>10:50
6.757796s,S,0>15:50
6.757796s,S,15>0:52
6.757796s,D,5>6
6.757796s,S,12>0:50
6.757796s,S,5>6:51
6.7587967s,S,9>10:50
6.7627981s,S,7>10:50
6.7627981s,S,0>10:50
6.7637985s,S,14>8:50
6.7657976s,S,0>9:50
6.7697984s,S,8>15:52
6.7717996s,S,10>3:50
6.7717996s,S,10>5:50
6.7798003s,S,7>13:50
6.7858026s,S,9>3:50
6.7888024s,S,13>6:50
6.7888024s,S,13>0:50
6.7958039s,S,0>6:50
6.7978047s,D,15>6
6.7978047s,S,15>6:51
6.799805s,S,2>10:50
6.8018055s,S,6>3:52
6.8058067s,S,0>4:50
6.8058067s,S,12>7:50
6.8068068s,S,5>0:50
6.8098078s,D,3>11
6.8098078s,S,3>11:51
6.8108085s,S,11>8:50
6.8108085s,S,9>6:50
6.8128079s,S,10>11:50
6.8158097s,S,14>6:50
6.8188101s,S,7>2:50
6.8188101s,S,7>10:50
6.8258122s,S,6>10:50
6.8258122s,S,6>9:50
6.8258122s,S,7>14:52
6.8298151s,S,7>4:50
6.8418181s,S,0>11:50
6.8428188s,S,11>9:50
6.8458178s,S,14>0:50
6.8508386s,S,2>9:50
6.8538179s,S,0>1:50
6.8538179s,S,11>3:52
6.8548183s,S,10>4:50
6.8578199s,S,12>10:50
6.8578199s,S,10>5:50
6.8578199s,S,12>6:50
6.8578199s,S,10>3:50
6.8598208s,S,12>0:50
6.8688424s,S,11>6:50
6.874823s,S,13>7:50
6.874823s,S,13>6:50
6.879824s,S,0>14:50
6.8848457s,S,7>13:50
6.8848457s,S,7>2:50
6.8878464s,S,2>7:50
6.8878464s,S,7>11:50
6.8938278s,S,3>7:50
6.8948294s,S,6>5:52
6.8968285s,S,10>8:50
6.8968285s,S,3>0:50
6.8978292s,S,0>7:50
6.898849s,S,0>2:50
6.898849s,S,15>0:50
6.898849s,S,0>10:50
6.8998491s,S,10>11:50
6.9018494s,S,6>11:50
6.9018494s,S,6>9:50
6.9128315s,S,12>7:50
6.9148526s,D,5>7
6.9148526s,D,4>13
6.9148526s,S,4>13:51
6.9148526s,S,5>7:51
6.9168528s,S,6>0:50
6.9278367s,S,14>6:50
6.9278367s,S,13>10:50
6.9298352s,S,10>9:50
6.9348537s,S,0>12:50
6.9378544s,S,7>4:50
6.9378544s,S,0>9:50
6.9388545s,S,6>15:52
6.9428378s,S,10>3:50
6.9428378s,S,10>4:50
6.9458396s,S,5>9:50
6.9518606s,S,3>6:50
6.9518606s,S,0>5:50
6.9538401s,S,2>6:50
6.9538401s,S,7>13:50
6.9538401s,S,13>4:52
6.9568589s,S,10>1:50
6.9578591s,S,14>8:50
6.9578591s,S,12>6:50
6.9578591s,S,12>10:50
6.9608428s,D,15>7
6.9608428s,S,15>7:51
6.9628427s,S,13>7:50
6.9658636s,S,13>8:50
6.9798461s,S,12>8:50
6.9858651s,S,10>12:50
6.9868473s,S,10>11:50
6.9878683s,S,3>8:50
6.9908481s,S,0>1:50
6.9908481s,S,4>8:50
6.9928484s,S,0>15:50
6.9938491s,S,13>9:50
6.994851s,S,7>11:50
7.0008714s,S,0>4:50
7.004872s,S,0>8:50
7.0128739s,S,0>11:50
7.0128739s,S,12>7:50
7.0168744s,S,7>5:52
7.0178748s,S,5>10:50
7.0208544s,S,3>9:50
7.0238557s,S,12>9:50
7.0258554s,S,4>13:50
7.0308777s,S,5>8:50
7.0378792s,S,0>10:50
7.0388793s,S,14>6:50
7.0388793s,S,14>7:50
7.0408767s,S,10>7:50
7.0408767s,S,15>8:50
7.0408767s,S,10>12:50
7.0438603s,S,3>11:50
7.0478814s,S,3>10:50
7.0548826s,S,2>8:50
7.0588808s,S,6>0:50
7.0588808s,S,6>13:50
7.060864s,S,12>0:50
7.0628845s,S,4>0:50
7.0628845s,S,12>6:50
7.0708832s,S,7>15:52
7.0808854s,S,15>0:50
7.0818858s,S,12>8:50
7.0848862s,S,3>0:50
7.0878869s,S,0>12:50
7.0898872s,S,0>14:50
7.0898872s,S,0>5:50
7.0898872s,S,3>7:50
7.0928706s,S,10>0:50
7.0928706s,S,10>12:50
7.093871s,S,0>7:50
7.0978715s,S,10>13:50
7.1088741s,S,5>6:50
7.1088741s,S,5>8:50
7.1168749s,S,14>0:50
7.1198758s,S,5>0:50
7.1238767s,S,12>9:50
7.1238767s,S,15>6:50
7.1298777s,S,0>1:50
7.1328787s,S,10>6:50
7.134879s,S,0>2:50
7.1388795s,D,8>6
7.1388795s,S,8>6:51
7.1468814s,S,3>6:50
7.1468814s,S,6>2:50
7.1528825s,S,14>7:50
7.1538829s,S,4>9:50
7.1668861s,S,12>10:50
7.1778884s,S,3>8:50
7.1788891s,S,4>10:50
7.1848899s,S,10>7:50
7.1848899s,S,10>0:50
7.1888907s,S,0>3:50
7.1888907s,S,0>12:50
7.2008938s,S,0>8:50
7.2008938s,S,0>15:50
7.2088963s,S,3>9:50
7.2188979s,S,12>7:50
7.2198992s,S,4>6:50
7.2208993s,S,8>11:51
7.2208993s,S,6>8:52
7.2228999s,S,15>8:50
7.2259017s,S,0>5:50
7.2259017s,S,0>14:50
7.2289004s,S,14>8:50
7.2359206s,S,0>4:50
7.2359206s,S,3>10:50
7.2379241s,S,3>11:50
7.241922s,S,10>13:50
7.2439052s,S,5>6:50
7.2439052s,S,5>7:50
7.2489264s,S,6>2:50
7.2519271s,S,8>14:51
7.2519271s,S,11>8:52
7.2569075s,S,5>9:50
7.26493s,S,15>6:50
7.2759115s,S,10>7:50
7.2759115s,S,10>0:50
7.2799129s,S,10>6:50
7.2809335s,S,0>6:50
7.2809335s,S,0>13:50
7.2849344s,S,12>8:50
7.2869147s,S,8>9:50
7.2929152s,S,0>10:50
7.3039175s,S,8>3:50
7.3049384s,S,8>11:50
7.3079183s,S,8>12:51
7.3079183s,S,14>8:52
7.310921s,S,4>7:50
7.3279244s,S,0>7:50
7.3279244s,S,12>9:50
7.329944s,S,5>10:50
7.3319443s,S,10>13:50
7.3369253s,S,8>2:50
7.3379457s,S,8>6:50
7.3439271s,S,0>2:50
7.3439271s,S,0>15:50
7.3469474s,S,5>0:50
7.3469474s,S,7>1:51
7.3509483s,S,6>4:50
7.3509483s,S,8>1:51
7.3509483s,S,12>8:52
7.3619306s,S,8>14:50
7.3639514s,S,0>14:50
7.3659517s,S,0>3:50
7.3719531s,S,10>6:50
7.3779348s,S,8>0:50
7.3869357s,S,0>1:50
7.3879566s,S,8>13:51
7.3879566s,S,1>8:52
7.3959383s,S,8>4:50
7.3979588s,S,9>11:51
7.4099428s,S,15>7:50
7.4099428s,S,15>6:50
7.4119425s,S,7>14:51
7.4119425s,S,1>7:52
7.4149625s,S,5>8:50
7.4149625s,S,8>12:50
7.4169627s,S,8>2:51
7.4169627s,S,13>8:52
7.4179632s,D,1>14
7.4179632s,S,1>14:51
7.421964s,S,0>9:50
7.4249436s,S,9>12:51
7.4249436s,S,11>9:52
7.4299463s,S,8>4:50
7.4299463s,S,8>1:50
7.4349666s,S,0>8:50
7.4429477s,S,6>12:50
7.4469494s,S,0>4:50
7.4529499s,S,9>4:50
7.4579511s,S,0>6:50
7.4589512s,S,8>13:50
7.4599514s,S,8>10:50
7.4599514s,S,8>5:51
7.4599514s,S,2>8:52
7.4629538s,S,8>4:50
7.4639537s,S,9>13:51
7.4639537s,S,12>9:52
7.4659736s,S,8>11:50
7.4659736s,S,8>1:50
7.4799766s,S,9>7:50
7.4829772s,S,0>5:50
7.4839774s,S,14>1:52
7.4849775s,S,5>9:50
7.4869578s,S,0>15:50
7.4869578s,S,0>13:50
7.4869578s,S,13>9:52
7.4869578s,S,9>1:51
7.4889783s,S,7>5:51
7.4889783s,S,14>7:52
7.4919582s,S,5>6:50
7.4929583s,S,8>7:50
7.4939596s,D,1>11
7.4939596s,S,1>11:51
7.4989805s,S,8>6:50
7.4999809s,S,0>11:50
7.5039606s,S,8>1:50
7.5039606s,S,8>2:50
7.5079617s,S,9>0:50
7.5179847s,S,15>0:50
7.5179847s,S,1>9:52
7.5219856s,S,9>10:50
7.5219856s,S,9>7:50
7.5309882s,D,11>13
