t,c,d
6.7367374s,D,10>13:7000000
6.7367374s,S,14>3:52
6.7367374s,S,10>13:51
6.7377375s,S,11>9:50
6.7437486s,S,9>5:51
6.7437486s,S,2>9:52
6.7467502s,S,10>0:50
6.7487495s,S,11>0:50
6.7487495s,D,3>7:11000000
6.7487495s,S,3>7:51
6.7527506s,S,14>9:51
6.7527506s,S,9>14:50
6.7547512s,S,3>0:50
6.7587444s,S,0>15:50
6.7587444s,S,9>13:52
6.7597533s,S,11>1:52
6.7597533s,S,1>10:50
6.7687542s,S,13>0:50
6.7697555s,S,8>7:50
6.7717558s,S,0>8:50
6.7717558s,S,0>5:50
6.7747459s,S,13>10:52
6.7827481s,D,10>9:8000000
6.7827481s,S,10>9:51
6.7867501s,S,0>12:50
6.7897505s,S,8>14:50
6.791751s,S,10>14:50
6.7957507s,S,0>1:50
6.7987514s,S,3>6:50
6.8037526s,S,1>8:50
6.8037526s,S,1>10:50
6.8067542s,S,7>3:52
6.8117542s,D,3>11:5000000
6.8117542s,S,3>11:51
6.8137548s,S,9>13:50
6.8137548s,S,9>14:52
6.8137548s,S,14>10:51
6.8147552s,S,0>4:50
6.8177568s,S,8>6:50
6.8177568s,S,0>11:50
6.8177568s,S,0>2:50
6.819757s,S,7>0:50
6.8247574s,S,9>10:52
6.8247574s,S,10>9:50
6.8297583s,D,10>11:5000000
6.8297583s,S,10>11:51
6.830759s,S,9>11:51
6.830759s,S,5>9:52
6.8427618s,S,6>8:50
6.8427618s,S,11>3:52
6.8427618s,S,6>7:52
6.8437622s,S,12>8:50
6.8437622s,S,1>11:50
6.8437622s,S,10>6:50
6.8687672s,D,7>14:15000000
6.8687672s,S,7>14:51
6.8687672s,S,10>13:50
6.8687672s,S,0>9:50
6.8687672s,S,13>0:50
6.8687672s,D,3>9:8000000
6.8687672s,S,3>9:51
6.8697676s,S,1>8:50
6.8697676s,S,1>10:50
6.8807699s,S,9>0:50
6.8807699s,S,3>0:50
6.8937734s,S,11>10:52
6.8947732s,S,11>9:52
6.8947732s,S,10>0:50
6.8947732s,D,15>9:18000000
6.8947732s,S,15>9:51
6.8967741s,S,10>14:52
6.8967741s,S,14>3:51
6.9147779s,S,14>7:50
6.9157786s,D,10>7:11000000
6.9157786s,S,10>7:51
6.9157786s,D,9>7:11000000
6.9157786s,S,9>7:51
6.9157786s,S,1>0:50
6.9167784s,S,0>8:50
6.9167784s,S,0>13:50
6.9167784s,S,3>14:50
6.9167784s,S,3>6:50
6.9177786s,S,0>3:50
6.9277805s,S,0>6:50
6.9277805s,S,0>5:50
6.9317819s,S,8>14:50
6.932782s,S,5>9:50
6.9337824s,S,1>11:50
6.9357821s,S,10>9:50
6.9357821s,S,10>13:50
6.9357821s,S,9>3:52
6.9357821s,S,1>8:50
6.9367828s,S,0>11:50
6.9367828s,S,0>2:50
6.9387833s,S,7>8:50
6.9427842s,S,9>14:50
6.9487852s,S,6>10:50
6.9517865s,S,10>1:50
6.9597878s,S,7>13:50
6.9657901s,S,14>9:50
6.9667905s,S,13>11:50
6.9667905s,S,13>0:50
6.9707907s,S,0>14:50
6.9707907s,S,0>9:50
6.9717909s,S,9>2:50
6.9717909s,S,7>9:52
6.9717909s,S,7>10:52
6.9777943s,S,10>9:50
6.9777943s,S,3>9:50
6.9777943s,S,3>7:50
6.9777943s,S,3>14:52
6.9877947s,S,13>7:50
6.9877947s,S,7>11:50
6.9877947s,S,7>8:51
6.9897953s,D,10>15:18000000
6.9897953s,S,10>0:50
6.9897953s,S,10>6:50
6.9897953s,S,10>15:51
6.9897953s,S,9>15:52
6.9917952s,S,14>0:50
6.9917952s,S,14>7:52
6.9927957s,S,10>14:50
7.0047981s,S,9>13:50
7.0047981s,S,0>1:50
7.0047981s,D,15>11:15000000
7.0047981s,S,15>11:51
7.0077988s,S,3>6:50
7.0077988s,S,1>0:50
7.0077988s,S,0>7:50
7.0118008s,S,0>13:50
7.0118008s,S,7>6:50
7.0188017s,S,10>11:50
7.0218021s,S,9>5:50
7.0228037s,S,3>0:50
7.026803s,S,14>10:50
7.029804s,S,7>15:50
7.0338045s,S,7>9:51
7.0338045s,S,8>7:52
7.0378059s,S,3>14:50
7.0378059s,S,0>4:50
7.038806s,S,13>9:50
7.038806s,S,6>3:50
7.0408063s,S,9>10:50
7.0538095s,S,10>13:50
7.0538095s,S,13>11:50
7.0628112s,S,0>9:50
7.0638122s,S,0>5:50
7.0688129s,S,14>7:51
7.0688129s,S,7>3:50
7.069813s,S,0>12:50
7.069813s,S,0>6:50
7.0748139s,S,13>10:50
7.0758147s,S,13>7:50
7.0808153s,S,9>15:50
7.0808153s,S,10>6:50
7.0808153s,S,15>11:50
7.0808153s,S,10>0:50
7.0808153s,S,15>10:52
7.0808153s,S,10>1:50
7.0808153s,S,9>3:50
7.0808153s,S,7>8:50
7.0808153s,S,15>7:51
7.0808153s,S,11>15:52
7.0818154s,S,0>15:50
7.0818154s,S,0>14:50
7.0868164s,S,14>3:50
7.0898171s,S,9>7:52
7.0998207s,S,3>7:50
7.0998207s,S,3>6:50
7.0998207s,S,3>14:50
7.1038207s,S,14>8:50
7.1068213s,S,9>11:50
7.1138225s,S,3>0:50
7.1138225s,S,0>13:50
7.1178236s,S,7>10:50
7.121825s,S,10>14:50
7.121825s,S,9>0:50
7.1258259s,S,7>14:50
7.1288262s,S,13>9:50
7.1288262s,S,7>11:50
7.1328271s,S,0>4:50
7.1348276s,S,7>13:50
7.149831s,S,14>7:50
7.1548329s,S,14>9:50
7.1548329s,S,14>8:51
7.1568337s,S,15>0:50
7.1618341s,S,3>7:50
7.1658355s,S,13>10:50
7.169836s,S,0>12:50
7.169836s,S,0>8:50
7.1728364s,S,10>1:50
7.1728364s,S,10>6:50
7.1728364s,S,10>0:50
7.1728364s,S,9>7:50
7.1738374s,S,7>8:50
7.1738374s,S,7>10:50
7.183839s,S,10>13:50
7.1858395s,S,7>6:50
7.1858395s,S,15>7:50
7.1858395s,S,7>13:50
7.1858395s,S,7>15:52
7.1918403s,S,3>14:50
7.1918403s,S,3>6:50
7.194841s,S,0>14:50
7.2008424s,S,0>5:50
7.2008424s,S,0>2:50
7.2048432s,S,7>9:50
7.2048432s,S,7>14:52
7.2058436s,S,8>14:52
7.2098444s,S,0>6:50
7.2138458s,D,15>6:28000000
7.2138458s,S,15>6:51
7.2138458s,S,10>14:50
7.2138458s,S,9>2:50
7.2168468s,S,14>10:50
7.2168468s,S,3>11:50
7.2198469s,S,7>11:50
7.2238477s,S,0>3:50
7.2248481s,S,14>0:50
7.2278488s,S,9>14:50
7.2288492s,S,7>8:50
7.2428522s,S,3>9:50
7.2498543s,S,0>9:50
7.2498543s,S,0>8:50
7.2528547s,S,3>7:50
7.2598565s,S,7>3:50
7.2598565s,S,7>0:50
7.2648574s,S,10>1:50
7.2648574s,S,10>0:50
7.2648574s,S,9>5:50
7.2708588s,S,0>1:50
7.2708588s,S,0>12:50
7.2738592s,S,10>13:50
7.2738592s,S,7>11:50
7.2768599s,S,14>3:50
7.27786s,D,4>15:19000000
7.27786s,S,4>15:51
7.2798606s,S,14>9:50
7.2828612s,S,3>14:50
7.2838614s,S,3>0:50
7.2898624s,S,9>13:50
7.2908629s,S,15>9:50
7.2908629s,S,7>6:50
7.2908629s,S,15>7:50
7.3008659s,S,0>11:50
7.3048659s,S,10>1:50
7.309868s,S,3>11:50
7.309868s,S,10>9:50
7.3138682s,S,0>7:50
7.3138682s,S,0>3:50
7.3148686s,S,7>13:50
7.3168689s,S,7>14:50
7.3168689s,S,7>3:50
7.3228703s,S,0>10:51
7.3258715s,S,9>10:50
7.3358737s,S,3>9:50
7.3358737s,S,14>8:50
7.3358737s,S,14>0:50
7.3368741s,S,0>5:50
7.3418751s,S,14>10:50
7.3418751s,S,0>14:50
7.3438756s,S,3>7:50
7.3488772s,S,10>14:50
7.3508768s,S,10>11:50
7.3518764s,S,0>6:50
7.3518764s,S,9>11:50
7.3548776s,S,10>6:50
7.3548776s,S,10>0:50
7.3558778s,S,6>15:52
7.3618791s,S,0>4:50
7.3648795s,S,7>15:50
7.3678802s,S,9>3:50
7.3728815s,S,0>1:50
7.3728815s,S,0>12:50
7.3738819s,S,15>4:52
7.3758821s,S,10>7:50
7.3768823s,S,9>15:50
7.3778824s,D,15>14:22000000
7.3778824s,S,15>14:51
7.3818844s,S,15>10:50
7.392887s,D,4>6:19000000
7.392887s,S,7>9:50
7.392887s,S,4>6:51
7.3968878s,S,7>10:50
7.3968878s,S,15>7:50
7.3968878s,S,15>9:50
7.3968878s,S,7>6:50
7.3988886s,S,3>11:50
7.4028886s,S,14>3:50
7.4088894s,S,10>13:50
7.4098904s,S,9>0:50
7.419892s,S,0>7:50
7.419892s,S,0>10:50
7.4368962s,D,2>14:14000000
7.4368962s,S,2>14:51
7.4438974s,S,10>9:50
7.4448979s,S,10>1:50
7.4448979s,S,10>0:52
7.4458983s,S,14>8:50
7.4488987s,S,7>0:50
7.4639021s,S,14>7:50
7.4669031s,S,9>7:50
7.4699035s,S,7>13:50
7.4719043s,S,0>5:50
7.4729044s,S,15>11:50
7.4729044s,S,0>8:50
7.4729044s,S,0>12:51
7.4859073s,S,10>1:50
7.4859073s,S,10>6:50
7.4859073s,S,10>14:50
7.488908s,S,15>10:50
7.488908s,S,14>15:52
7.4899084s,S,4>6:50
7.4899084s,S,6>4:52
7.4919087s,S,0>6:50
7.4969102s,S,14>9:50
7.4989105s,D,4>10:9000000
7.4989105s,S,4>10:51
7.4999109s,S,9>2:50
7.5029113s,S,15>9:50
7.5029113s,S,7>9:50
7.5069121s,S,14>2:52
7.5099131s,S,0>2:50
7.5199147s,S,7>6:50
7.5259166s,S,0>10:50
7.526917s,D,2>15:20000000
7.526917s,S,2>15:51
7.5389201s,S,14>0:50
7.5449208s,S,10>4:52
7.5459216s,S,10>13:50
7.5459216s,S,10>14:50
7.5509219s,S,15>0:50
7.5509219s,S,9>5:50
7.5519223s,D,4>8:7000000
7.5519223s,S,4>8:51
7.5529228s,S,0>9:50
7.5529228s,S,0>8:50
7.5559226s,S,7>15:50
7.5559226s,S,7>0:50
7.556923s,S,14>10:50
7.5729268s,S,0>15:51
7.5729268s,S,0>12:50
7.5729268s,S,12>0:52
7.5779281s,S,2>0:50
7.5779281s,S,10>11:50
7.580929s,S,15>11:50
7.580929s,S,15>10:50
7.5829293s,S,10>9:50
7.5849296s,S,4>6:50
7.5849296s,S,4>0:50
7.5869304s,S,8>4:52
7.5929315s,D,4>11:6000000
7.5929315s,S,4>11:51
7.5989349s,D,8>11:3000000
7.5989349s,S,8>11:51
7.6009331s,S,15>6:50
7.6029337s,S,10>7:50
7.6069345s,S,0>5:50
7.6119354s,S,0>11:50
7.6139363s,S,6>3:51
7.6149364s,S,8>12:51
7.6149364s,S,11>8:52
7.6169372s,S,14>3:50
7.6239387s,S,10>6:50
7.6249392s,S,7>10:50
7.6249392s,S,11>4:52
7.627939s,S,15>2:52
7.6319398s,S,0>6:50
7.6329405s,S,11>8:51
7.6329405s,S,8>11:50
7.6349408s,D,2>11:7000000
7.6349408s,S,2>11:51
7.6359409s,S,9>11:50
7.636941s,D,5>10:17000000
7.636941s,D,4>7:12000000
7.636941s,S,5>10:51
7.636941s,S,4>7:51
7.642943s,S,0>14:50
7.642943s,S,0>9:50
7.6489452s,S,8>0:50
7.6489452s,S,8>11:52
7.6509443s,S,14>8:50
7.6549451s,D,12>11:7000000
7.6549451s,S,12>11:51
7.6559458s,S,8>4:51
7.6559458s,S,11>4:51
7.6559458s,S,12>8:52
7.6559458s,S,4>10:50
7.6589465s,S,10>15:50
7.6619475s,S,7>15:50
7.6619475s,S,7>0:50
7.6649482s,S,11>3:50
7.66995s,S,11>2:52
7.6719494s,S,15>11:50
7.6719494s,S,15>10:50
7.6739499s,S,0>1:50
7.6739499s,S,0>12:50
7.6789509s,S,14>7:50
7.6789509s,S,2>9:50
7.679951s,S,4>15:50
7.679951s,S,4>0:50
7.680952s,S,7>8:50
7.6829523s,D,2>12:12000000
7.6829523s,S,2>12:51
7.6879529s,S,0>13:50
7.6879529s,S,11>1:51
7.6879529s,S,4>11:52
7.6909536s,S,11>10:50
7.6909536s,S,11>12:52
7.6909536s,S,4>8:52
7.6959546s,S,8>11:50
7.697956s,S,7>4:52
7.7019568s,S,4>10:50
7.7049575s,D,12>7:13000000
7.7049575s,S,12>7:51
7.7049575s,S,2>0:50
7.7059576s,S,3>6:52
7.706958s,D,8>15:16000000
7.706958s,S,8>15:51
7.7089583s,D,4>12:11000000
7.7089583s,S,4>12:51
7.7149597s,S,10>11:50
7.7149597s,S,0>15:50
7.7149597s,S,15>0:52
7.7169599s,S,11>10:51
7.7169599s,S,11>4:50
7.7169599s,S,1>11:52
7.7239611s,D,6>9:18000000
7.7239611s,S,10>5:52
7.7239611s,S,6>9:51
7.7259614s,S,4>8:50
7.7259614s,S,7>11:50
7.7259614s,S,12>2:50
7.7289618s,S,8>7:50
7.7289618s,S,8>0:50
7.7289618s,S,2>14:50
7.7289618s,S,2>9:50
7.7409651s,S,10>7:50
7.742966s,S,15>2:50
7.742966s,S,15>6:50
7.7449659s,D,5>14:21000000
7.7449659s,S,10>11:52
7.7449659s,S,5>14:51
7.7489673s,S,11>8:50
7.7549684s,S,0>3:50
7.7549684s,S,0>14:50
7.7569689s,D,2>7:13000000
7.7569689s,S,2>7:51
7.7599702s,D,11>6:15000000
7.7599702s,S,11>6:51
7.7619696s,S,4>10:50
7.7639704s,S,4>11:50
7.7639704s,S,4>8:50
7.7639704s,S,12>4:52
7.7649706s,S,0>9:50
7.7649706s,S,11>12:50
7.767971s,S,7>15:50
7.767971s,S,7>3:50
7.7709717s,D,1>7:11000000
7.7709717s,S,1>7:51
7.7719721s,S,7>12:52
7.7729725s,D,4>9:9000000
7.7729725s,S,0>6:51
7.7729725s,S,11>7:50
7.7729725s,S,4>9:51
7.7759726s,D,13>6:17000000
7.7759726s,S,4>15:50
7.7759726s,S,4>0:50
7.7759726s,S,13>6:51
7.7759726s,S,8>6:50
7.776973s,S,0>8:50
7.776973s,S,0>12:50
7.7859759s,D,12>14:14000000
7.7859759s,S,12>14:51
7.7879765s,S,12>7:50
7.7879765s,S,12>2:52
7.7889766s,S,8>1:51
7.7889766s,S,15>8:52
7.7959775s,S,4>7:50
7.7979781s,S,10>15:50
7.7989791s,S,2>15:50
7.7989791s,S,2>14:50
7.8009882s,S,11>0:50
7.8049793s,S,2>9:50
7.8069799s,S,4>8:50
7.8099802s,S,5>0:50
7.810981s,S,8>7:50
7.8129909s,S,11>13:50
7.813991s,S,9>6:52
7.8199924s,S,1>8:52
7.8199924s,S,9>4:52
7.8239932s,S,7>14:50
7.8239932s,S,7>2:52
7.8269848s,D,8>9:6000000
7.8269848s,S,7>1:52
7.8269848s,S,8>9:51
7.8339957s,D,6>12:20000000
7.8339957s,S,6>12:51
7.8359863s,S,11>15:50
7.8379871s,S,11>12:51
7.8379871s,S,12>11:50
7.8379871s,S,6>11:52
7.8449892s,D,1>15:18000000
7.8449892s,S,4>11:50
7.8449892s,S,1>15:51
7.8449892s,D,2>6:20000000
7.8449892s,S,2>6:51
7.84699s,S,0>7:50
7.8509906s,S,14>5:52
7.8549917s,S,15>0:50
7.8549917s,S,12>4:50
7.8549917s,S,0>2:50
7.8569925s,S,2>9:50
7.8589925s,S,14>12:52
7.8589925s,S,9>8:52
7.8589925s,S,8>14:50
7.8589925s,S,0>9:50
7.8589925s,S,8>6:51
7.8630021s,S,6>13:52
7.8670032s,S,0>3:50
7.8670032s,S,0>14:50
7.8689944s,D,13>8:5000000
7.8689944s,S,4>12:50
7.8689944s,S,13>8:51
7.8700039s,D,12>9:10000000
7.8700039s,D,5>12:19000000
7.8700039s,S,5>12:51
7.8700039s,S,12>9:51
7.8719953s,S,2>14:50
7.8719953s,S,8>13:50
7.8729958s,S,11>13:51
7.8729958s,S,4>0:50
7.8729958s,S,4>6:50
7.8729958s,S,4>15:50
7.8729958s,S,12>2:50
7.8729958s,S,12>11:52
7.8739962s,S,7>3:50
7.8769969s,S,4>7:50
7.8789968s,S,0>1:50
7.8789968s,S,0>12:50
7.8789968s,S,11>9:50
7.8829968s,S,15>6:50
7.8829968s,S,15>4:50
7.8829968s,S,1>0:50
7.890999s,S,8>15:50
7.8919991s,S,2>12:50
7.8939994s,S,11>3:51
7.8939994s,S,13>11:52
7.8990018s,S,8>13:52
7.9010018s,S,7>9:50
7.9010018s,S,2>15:50
7.9040016s,D,13>12:9000000
7.9040016s,S,13>12:51
7.905002s,S,11>1:50
7.905002s,S,6>3:50
7.908003s,S,11>13:50
7.9100032s,S,12>0:50
7.9110042s,S,11>2:50
7.9110042s,S,8>12:50
7.9110042s,S,8>14:50
7.9140049s,S,11>7:50
7.9150138s,S,0>6:50
7.9150138s,S,0>13:51
7.9150138s,S,6>0:52
7.9210067s,S,9>12:52
7.9210067s,S,3>11:52
7.9260164s,S,13>8:50
7.9290077s,S,7>14:50
7.931008s,D,12>10:10000000
7.931008s,S,11>15:50
7.931008s,D,11>14:9000000
7.931008s,S,12>9:50
7.931008s,S,12>10:51
7.931008s,S,11>14:51
7.9320081s,S,11>1:50
7.9360087s,S,6>15:51
7.9360087s,S,12>7:50
7.9360087s,S,12>6:52
7.9370091s,S,15>1:52
7.9390096s,S,4>12:50
7.9410102s,S,8>6:50
7.9410102s,S,6>8:52
7.945011s,S,2>14:50
7.9460211s,D,3>12:10000000
7.9460211s,S,6>2:52
7.9460211s,S,3>12:51
7.9470212s,D,1>12:10000000
7.9470212s,D,8>10:6000000
7.9470212s,S,5>9:50
7.9470212s,S,11>12:50
7.9470212s,S,1>12:51
7.9470212s,S,11>2:50
7.9470212s,S,8>10:51
7.9500219s,S,13>9:50
7.9520222s,S,13>10:51
7.9520222s,S,13>12:50
7.9520222s,S,12>13:52
7.9530226s,S,8>1:50
7.9530226s,S,0>10:50
7.9530226s,S,2>7:50
7.9550407s,D,2>13:9000000
7.9550407s,S,11>13:50
7.9550407s,S,2>13:51
7.9571231s,S,0>11:50
7.9571231s,S,11>3:50
7.9590149s,S,0>7:50
7.9590149s,S,5>14:50
7.9620258s,S,8>12:50
7.9680193s,S,12>5:52
7.9700181s,S,4>10:50
7.9700181s,S,4>15:50
7.9700181s,S,4>0:50
7.9700181s,S,4>6:50
7.9710182s,S,0>4:50
7.9720195s,S,9>3:51
7.9740189s,S,8>0:50
7.9740189s,S,12>11:50
7.9760188s,S,1>10:50
7.97802s,S,10>8:52
7.9790204s,S,14>11:52
7.9800205s,S,0>12:50
7.9800205s,S,0>1:50
7.9810216s,S,0>8:50
7.9810216s,S,0>14:50
7.9840214s,S,11>7:50
7.9840214s,S,11>0:50
7.9840214s,D,5>13:16000000
7.9840214s,S,8>4:50
7.9840214s,S,12>8:50
7.9840214s,S,10>12:52
7.9840214s,S,5>13:51
7.9860219s,S,11>10:50
7.9880216s,S,10>13:52
7.9890208s,S,13>10:50
7.9990245s,S,12>1:52
7.9990245s,S,12>3:52
7.9990245s,S,13>0:50
7.9990245s,S,15>0:50
7.9990245s,S,15>7:50
8.0040251s,S,2>11:50
8.0040251s,S,2>15:50
8.0040251s,S,13>2:52
8.0050258s,D,13>15:17000000
8.0050258s,S,12>4:50
8.0050258s,D,3>8:6000000
8.0050258s,S,13>15:51
8.0050258s,S,3>8:51
8.0080268s,D,1>9:8000000
8.0080268s,S,11>2:50
8.0080268s,S,11>15:51
8.0080268s,S,1>9:51
8.0100271s,S,8>14:50
8.0110275s,S,12>2:50
8.0140285s,S,9>15:51
8.0140285s,S,3>9:52
8.0160285s,S,11>4:50
8.0160285s,S,1>8:50
8.0170286s,S,4>8:50
8.0190303s,S,2>6:50
8.0210379s,S,8>4:50
8.0220395s,S,8>10:50
8.0240298s,S,11>13:50
8.0240298s,S,15>4:50
8.0240298s,S,12>11:50
8.0240298s,S,12>8:50
8.0240298s,S,13>8:50
8.025187s,S,13>6:50
8.0270296s,S,11>1:50
8.0340323s,S,0>13:50
8.0340323s,S,5>10:50
8.0340323s,S,12>13:50
8.0370321s,S,8>3:52
8.0400336s,S,6>9:50
8.0420342s,S,2>12:50
8.0460347s,D,3>10:8000000
8.0460347s,S,0>15:50
