t,c,d
0s,I,2018-08-17T14:53:34.3257062000
653.3608ms,L,0
668.3625ms,D,1>0:18000000
669.3641ms,L,1
674.3647ms,D,2>0:20000000
675.364ms,L,2
677.3657ms,D,3>0:18000000
693.3684ms,L,3
704.3712ms,D,4>0:19000000
710.372ms,L,4
713.3727ms,D,5>0:27000000
730.3767ms,L,5
1.1614753s,S,4>0:51
1.2534958s,S,2>0:51
1.2564959s,S,0>4:52
1.3585191s,S,4>0:50
1.3585191s,S,0>2:52
1.3725221s,S,5>0:51
1.4595416s,S,3>0:51
1.4605417s,S,2>0:50
1.5115537s,S,0>5:52
1.5495627s,S,1>0:51
1.5515627s,S,0>3:52
1.6405825s,S,0>1:52
1.6415832s,S,3>0:50
1.6485847s,S,5>0:50
1.7316037s,S,0>1:51
1.7316037s,S,1>0:50
1.8216245s,S,0>2:51
1.8216245s,S,1>0:52
1.9216475s,S,0>3:51
1.9216475s,S,2>0:52
2.0126675s,S,0>4:51
2.0126675s,S,3>0:52
2.1076922s,S,0>5:51
2.1076922s,S,4>0:52
2.2427191s,S,5>0:52
4.3982086s,D,6>0:28000000
4.4002086s,L,6
4.40921s,D,7>0:21000000
4.4112106s,L,7
4.4142122s,D,8>0:16000000
4.4152117s,L,8
4.4722247s,D,9>0:18000000
4.4722247s,D,10>0:18000000
4.4752257s,D,11>0:15000000
4.4782261s,L,10
4.4782261s,L,9
4.4782261s,L,11
4.5152341s,D,12>0:20000000
4.5172349s,L,12
4.5582444s,D,13>0:17000000
4.5592445s,L,13
4.6362616s,D,14>0:22000000
4.6382621s,L,14
4.7392846s,D,15>0:28000000
4.7412858s,L,15
5.2433989s,S,0>7:51
5.3484234s,S,0>9:51
5.3484234s,S,7>0:52
5.3684275s,S,6>0:51
5.3974339s,S,8>0:51
5.438443s,S,0>11:51
5.438443s,S,9>0:52
5.453447s,S,0>9:50
5.453447s,S,7>0:51
5.4554473s,S,10>0:51
5.4604482s,S,11>0:51
5.4774522s,S,0>8:52
5.495456s,S,12>0:51
5.5134601s,S,0>14:51
5.5134601s,S,0>6:52
5.5284638s,S,9>0:51
5.5284638s,S,0>7:50
5.5364658s,S,11>0:52
5.5364658s,S,0>11:52
5.5414667s,S,13>0:51
5.5464676s,S,0>10:52
5.5574705s,S,8>0:50
5.5964791s,S,0>12:52
5.612483s,S,11>0:50
5.612483s,S,0>3:50
5.6154837s,S,14>0:51
5.6184843s,S,0>9:52
5.6244857s,S,0>14:50
5.6244857s,S,0>15:51
5.6274864s,S,0>13:52
5.6344879s,S,0>7:52
5.6364884s,S,0>10:50
5.6364884s,S,10>0:50
5.6534918s,S,6>0:50
5.6965027s,S,12>0:50
5.7095059s,S,9>0:50
5.7125077s,S,15>0:51
5.7145065s,S,13>0:50
5.7255179s,S,14>0:52
5.7365111s,S,0>8:50
5.7365111s,S,0>14:52
5.7395115s,S,0>7:50
5.7395115s,S,7>0:50
5.7655181s,S,0>6:51
5.7655181s,S,0>15:50
5.8385355s,S,0>8:50
5.8455373s,S,0>10:50
5.8455373s,S,0>7:50
5.8465551s,S,14>0:50
5.8535381s,S,15>0:52
5.9065494s,S,6>0:52
5.9095501s,S,0>3:50
5.9095501s,S,0>15:52
5.9195522s,S,0>9:50
5.9195522s,S,0>8:51
5.9515705s,S,0>10:50
5.9945699s,S,0>7:50
6.0005713s,S,0>11:50
6.0005713s,S,8>0:52
6.0105735s,S,0>14:50
6.0435804s,S,0>10:51
6.0495821s,S,0>3:50
6.0525827s,S,0>15:50
6.0525827s,S,15>0:50
6.0765879s,S,0>13:50
6.0825893s,S,0>6:50
6.1356012s,S,0>12:51
6.1356012s,S,10>0:52
6.1356012s,S,0>10:50
6.1416028s,S,0>7:50
6.1416028s,S,0>3:50
6.1626076s,S,0>2:50
6.1936146s,S,0>15:50
6.2256214s,S,0>1:50
6.2356239s,S,0>13:51
6.2356239s,S,12>0:52
6.2356239s,S,0>12:50
6.2466262s,S,0>7:50
6.2466262s,S,0>10:50
6.2646308s,S,0>4:50
6.2646308s,S,0>2:50
6.3226531s,S,13>0:52
6.3346558s,S,0>3:50
6.3346558s,S,0>15:50
6.3376565s,S,0>1:50
6.3526599s,S,0>10:50
6.3616523s,S,0>5:50
6.3616523s,S,0>4:50
6.3656628s,S,0>2:50
6.3656628s,S,0>11:50
6.3706546s,D,2>9:10000000
6.3706546s,S,2>9:51
6.4226661s,S,9>2:52
6.4426704s,S,0>13:50
6.4426704s,S,0>11:50
6.4456711s,S,0>10:50
6.4586743s,S,0>4:50
6.4736777s,S,2>0:50
6.4766784s,S,0>15:50
6.4766784s,S,0>3:50
6.4866808s,D,8>7:9000000
6.4866808s,S,8>7:51
6.4986836s,S,0>6:50
6.4986836s,S,0>5:50
6.5186888s,S,0>11:50
6.5286901s,S,0>1:50
6.5286901s,S,0>13:50
6.5306904s,D,6>8:16000000
6.5306904s,S,6>8:51
6.5326909s,D,5>9:17000000
6.5326909s,S,7>8:52
6.5326909s,S,5>9:51
6.5416939s,D,11>9:5000000
6.5416939s,S,11>9:51
6.5426949s,D,8>14:10000000
6.5426949s,S,8>14:51
6.5657081s,D,10>6:18000000
6.5657081s,S,10>6:51
6.5686991s,D,7>11:8000000
6.5686991s,S,9>11:52
6.5686991s,S,7>11:51
6.5716998s,D,3>6:18000000
6.5716998s,S,3>6:51
6.5737004s,S,2>9:50
6.5767008s,D,11>7:8000000
6.5767008s,C,7>11
6.5767008s,C,11>7
6.5767008s,C,7>11
6.5767008s,C,11>7
6.5767008s,S,11>7:51
6.5787022s,S,8>0:50
6.5947049s,S,0>11:50
6.5947049s,S,14>8:52
6.604717s,D,12>8:8000000
6.604717s,S,12>8:51
6.6077092s,D,7>15:21000000
6.6077092s,S,7>15:51
6.6137191s,S,8>6:52
6.6147192s,S,0>13:50
6.6147192s,S,0>2:50
6.6177108s,S,0>15:50
6.6187203s,S,11>7:50
6.6187203s,S,7>11:52
6.6197204s,S,0>4:50
6.6197204s,S,9>5:52
6.630723s,D,9>14:12000000
6.630723s,S,9>14:51
6.6317232s,D,13>11:4000000
6.6317232s,S,13>11:51
6.6347239s,S,0>5:50
6.6417253s,S,0>6:50
6.6417253s,S,0>12:50
6.6467169s,S,8>12:50
6.6507192s,D,1>10:8000000
6.6507192s,S,1>10:51
6.6527195s,S,11>13:52
6.6567203s,S,6>10:52
6.6607208s,S,11>0:50
6.6617206s,S,8>7:50
6.6617206s,S,11>9:50
6.6627304s,D,13>7:10000000
6.6627304s,S,6>3:52
6.6627304s,S,13>7:51
6.669722s,D,10>14:12000000
6.669722s,S,10>14:51
6.6737231s,S,13>11:50
6.6757233s,D,3>14:12000000
6.6757233s,S,3>14:51
6.6867259s,S,11>7:50
6.6877264s,S,8>0:50
6.6877264s,S,8>12:52
6.6917278s,S,9>2:51
6.6917278s,S,14>9:52
6.6917278s,S,10>1:52
6.6957289s,S,6>0:50
6.6977297s,D,1>8:6000000
6.6977297s,S,1>8:51
6.7017299s,S,0>13:50
6.7017299s,S,0>1:50
6.705731s,S,5>0:50
6.7067315s,S,8>6:50
6.7137324s,S,15>7:52
6.7147325s,S,13>7:50
6.7147325s,S,7>13:52
6.7177344s,S,0>4:50
6.7177344s,S,0>2:50
6.7217343s,D,13>9:7000000
6.7217343s,S,13>9:51
6.7267446s,S,11>13:50
6.7287355s,S,8>1:52
6.7297356s,S,14>10:52
6.7297356s,S,12>0:50
6.733737s,D,1>11:5000000
6.733737s,S,1>0:50
6.733737s,S,1>11:51
6.7347372s,D,7>6:21000000
6.7347372s,S,7>6:51
