t,c,d
0s,I,2018-08-07T13:18:45.2059515000
607.4768ms,L,0
616.8538ms,D,1>0
616.8538ms,L,1
624.8754ms,D,2>0
624.8754ms,L,2
634.8682ms,D,4>0
634.8682ms,D,3>0
635.8683ms,L,3
635.8683ms,L,4
637.8689ms,D,5>0
638.8675ms,L,5
1.1029739s,S,2>0:51
1.1939846s,S,1>0:51
1.2009867s,S,0>2:52
1.2940059s,S,0>1:52
1.297016s,S,2>0:50
1.3080086s,S,3>0:51
1.3960304s,S,1>0:50
1.4180377s,S,4>0:51
1.4450602s,S,0>3:52
1.5100649s,S,0>4:52
1.5190664s,S,5>0:51
1.5820916s,S,3>0:50
1.6061015s,S,4>0:50
1.6080933s,S,0>1:51
1.6111028s,S,0>5:52
1.7031359s,S,5>0:50
1.709117s,S,0>2:51
1.709117s,S,1>0:52
1.8041382s,S,0>3:51
1.8041382s,S,2>0:52
1.9401686s,S,0>4:51
1.9401686s,S,3>0:52
2.0323671s,S,0>5:51
2.0323671s,S,4>0:52
2.1233869s,S,5>0:52
4.5019103s,D,6>0
4.5029028s,L,6
5.1250419s,S,0>6:51
5.2650716s,S,6>0:52
5.4070981s,S,0>3:50
5.4741147s,S,6>0:51
5.543132s,S,0>4:50
5.6161468s,S,0>6:52
5.6351288s,S,0>5:50
5.7571769s,S,0>6:50
5.7571769s,S,6>0:50
5.8992072s,S,0>1:50
6.0002275s,S,0>2:50
6.2222709s,D,2>6
6.2222709s,S,2>6:51
6.3172742s,D,1>6
6.3172742s,S,1>6:51
6.3192742s,S,6>2:52
6.4152958s,S,2>0:50
6.4172964s,S,6>1:52
6.4733295s,D,3>6
6.4733295s,S,3>6:51
6.5123416s,S,2>6:50
6.5173384s,S,1>0:50
6.5303413s,D,4>6
6.5303413s,S,4>6:51
6.6083571s,S,6>3:52
6.618359s,S,1>6:50
6.6223598s,S,6>4:52
6.6303614s,D,5>6
6.6303614s,S,5>6:51
6.7123789s,S,4>0:50
6.7213809s,S,6>5:52
6.7433856s,S,6>3:51
6.7433856s,S,3>0:50
6.8043977s,S,4>6:50
6.8113995s,S,5>6:50
6.879413s,S,6>4:51
6.879413s,S,3>6:52
6.9024178s,S,5>0:50
6.9714315s,S,6>2:51
6.9714315s,S,4>6:52
7.0154405s,S,3>6:50
7.0664507s,S,6>1:51
7.0664507s,S,2>6:52
7.1694723s,S,1>6:52
8.1696802s,S,6>5:51
8.260678s,S,5>6:52
10.2921024s,D,7>0
10.2931128s,L,7
11.2663039s,S,0>7:51
11.2713045s,S,7>0:51
11.3763455s,S,0>7:52
11.3763455s,S,7>0:52
11.4813721s,S,0>6:50
11.4813721s,S,7>0:50
11.6214001s,S,0>7:50
11.7274002s,S,0>1:50
11.828443s,S,0>2:50
11.9234625s,S,0>3:50
12.0584901s,S,0>4:50
12.1505097s,S,0>5:50
12.2855174s,D,6>7
12.2855174s,S,6>7:51
12.3345294s,D,2>7
12.3345294s,S,2>7:51
12.376556s,S,7>6:51
12.3955596s,S,7>2:52
12.4315714s,D,1>7
12.4315714s,S,1>7:51
12.4575762s,S,2>6:50
12.4815811s,S,7>2:51
12.4815811s,S,7>6:52
12.4815811s,S,6>7:52
12.4965843s,S,7>1:52
12.5415934s,S,2>7:52
12.5615975s,S,1>0:50
12.5876023s,S,7>0:50
12.5876023s,S,6>0:50
12.6026057s,S,2>7:50
12.629611s,D,3>7
12.629611s,S,3>7:51
12.6365923s,D,4>7
12.6365923s,S,4>7:51
12.662618s,S,1>6:50
12.6636184s,S,2>0:50
12.692624s,S,7>6:50
12.692624s,S,7>4:52
12.728629s,S,6>2:50
12.7306295s,S,7>3:52
12.7336299s,D,5>7
12.7336299s,S,5>7:51
12.7506362s,S,4>6:50
12.7646366s,S,1>7:50
12.7896448s,S,7>5:52
12.7976462s,S,7>2:50
12.8246518s,S,6>1:50
12.8306531s,S,3>0:50
12.8416555s,S,4>7:50
12.845656s,S,5>0:50
12.8586589s,S,7>1:50
12.8966665s,S,4>0:50
