t,c,d
12.925672s,S,6>3:50
12.9376745s,S,5>6:50
12.9666803s,S,3>6:50
13.0276927s,S,5>7:50
13.0606993s,S,6>4:50
13.1036903s,S,3>7:50
13.1517188s,S,6>5:50
13.2437168s,S,6>7:50
13.5418035s,S,7>4:51
13.597815s,S,7>5:51
13.597815s,S,4>7:52
13.6548265s,S,7>1:51
13.6548265s,S,5>7:52
13.7208398s,S,7>3:51
13.7208398s,S,1>7:52
13.8208602s,S,3>7:52
15.5022099s,D,8>0
15.5034014s,L,8
16.3733859s,S,0>8:51
16.4544234s,S,8>0:52
16.5384417s,S,8>0:51
16.5384417s,S,0>6:50
16.6204583s,S,0>8:52
16.6804703s,S,0>7:50
16.7044749s,S,8>0:50
16.7864709s,S,0>8:50
16.8335014s,D,7>8
16.8335014s,S,7>8:51
16.8675085s,S,0>1:50
16.8795109s,S,8>7:52
16.9255202s,S,7>3:50
16.9685287s,S,0>2:50
17.0275408s,S,7>4:50
17.0635479s,S,0>3:50
17.0845348s,S,7>5:50
17.1405644s,S,7>8:50
17.1875738s,S,7>0:50
17.2005752s,S,0>4:50
17.2925758s,S,0>5:50
17.2955765s,S,7>6:50
17.4026001s,S,7>2:50
17.4036008s,D,2>8
17.4036008s,S,2>8:51
17.4096242s,D,6>8
17.4096242s,S,6>8:51
17.4406309s,S,8>2:52
17.4626352s,S,7>1:50
17.4766379s,S,2>8:50
17.4906409s,S,8>6:52
17.5076443s,D,1>8
17.5076443s,S,1>8:51
17.5116451s,S,2>0:50
17.5496525s,S,8>1:52
17.570657s,S,6>7:50
17.5916612s,S,1>0:50
17.6066643s,S,2>6:50
17.620667s,S,8>2:51
17.6566744s,S,8>6:51
17.6566744s,S,2>8:52
17.675678s,S,6>8:50
17.6916813s,S,1>6:50
17.6996826s,D,4>8
17.6996826s,S,4>8:51
17.7026836s,S,2>7:50
17.7296889s,S,8>4:52
17.7376905s,S,8>1:51
17.7466923s,D,3>8
17.7466923s,S,3>8:51
17.755694s,S,6>0:50
17.755694s,S,6>8:52
17.7596949s,S,4>0:50
17.7786991s,S,8>7:51
17.7786991s,S,1>8:52
17.7946997s,S,1>7:50
17.797701s,D,5>8
17.797701s,S,5>8:51
17.8237088s,S,8>3:52
17.8257094s,S,7>8:52
17.8297102s,S,8>5:52
17.8377118s,S,8>1:50
17.849714s,S,4>6:50
17.8597161s,S,1>8:50
17.8597161s,S,5>8:50
17.8717186s,S,8>7:50
17.8787201s,S,8>4:50
17.8907225s,S,5>0:50
17.8957235s,S,6>2:50
17.899724s,S,3>0:50
17.9097262s,S,8>3:50
17.9177278s,S,8>2:50
17.9397322s,S,4>7:50
17.9537355s,S,8>6:50
17.9807405s,S,5>6:50
17.9857417s,S,8>5:50
17.9927429s,S,6>1:50
17.9947435s,S,4>8:50
18.0167452s,S,8>0:50
18.0347519s,S,3>6:50
18.0377523s,S,8>1:50
18.0717594s,S,5>7:50
18.0797434s,S,8>4:50
18.0947469s,S,6>3:50
18.1017633s,S,8>7:50
18.110749s,S,8>3:50
18.1507548s,S,8>2:50
18.1707603s,S,3>7:50
18.1857848s,S,8>6:50
18.1857848s,S,8>5:50
18.2177717s,S,8>0:50
18.2307749s,S,6>4:50
18.2727822s,S,3>8:50
18.3217941s,S,6>5:50
18.8259154s,S,8>3:51
18.9009346s,S,8>5:51
18.9009346s,S,3>8:52
18.931941s,S,8>4:51
18.931941s,S,5>8:52
18.9629474s,S,4>8:52
20.1001793s,D,9>0
20.1021634s,L,9
20.4552609s,S,0>9:51
20.5302757s,S,9>0:52
20.6062915s,S,0>3:50
20.7423189s,S,0>4:50
20.8323354s,S,0>5:50
20.8383361s,D,3>9
20.8383361s,S,3>9:51
20.9083535s,S,9>3:52
20.9233566s,S,0>7:50
20.9793678s,S,3>0:50
21.0293781s,S,0>8:50
21.0853872s,S,9>0:51
21.1113762s,S,0>9:50
21.1153765s,S,3>6:50
21.1614062s,S,9>3:51
21.1864086s,S,0>1:50
21.1864086s,S,0>9:52
21.234412s,S,3>9:52
21.2534062s,S,3>7:50
21.2654263s,S,9>0:50
21.2904131s,S,0>2:50
21.3414239s,S,9>3:50
21.3554278s,S,3>8:50
21.3864348s,S,0>6:50
21.4304657s,S,3>9:50
21.4474691s,D,2>9
21.4474691s,S,2>9:51
21.4774754s,S,9>2:52
21.5064812s,D,6>9
21.5064812s,S,6>9:51
21.5084815s,S,2>6:50
21.5574911s,D,1>9
21.5574911s,S,1>9:51
21.5824964s,S,9>6:52
21.5944962s,S,9>1:52
21.6065016s,S,2>7:50
21.6315067s,S,1>0:50
21.6585119s,S,6>8:50
21.6665136s,S,2>8:50
21.703521s,S,2>9:50
21.7315268s,S,1>6:50
21.7345274s,S,2>0:50
21.7355276s,D,4>9
21.7355276s,S,4>9:51
21.7385283s,S,6>0:50
21.7605323s,S,9>4:52
21.7875379s,S,4>9:50
21.8135231s,S,4>0:50
21.8325297s,S,1>7:50
21.8365461s,D,5>9
21.8365461s,S,5>9:51
21.8625325s,S,9>5:52
21.879554s,S,6>1:50
21.8885561s,S,5>0:50
21.8895562s,D,7>9
21.8895562s,S,7>9:51
21.9005585s,S,1>8:50
21.9055595s,S,4>6:50
21.9295682s,S,9>7:52
21.9415706s,S,1>9:50
21.9665757s,D,8>9
21.9665757s,S,8>9:51
21.9705762s,S,7>0:50
21.9795782s,S,5>6:50
21.9805787s,S,6>3:50
21.983579s,S,9>8:52
21.9955815s,S,4>7:50
21.9995823s,S,8>6:50
22.0505928s,S,4>8:50
22.0705966s,S,5>7:50
22.0755978s,S,7>6:50
22.0845817s,S,8>1:50
22.1165885s,S,6>5:50
22.1265881s,S,8>4:50
22.1275885s,S,5>8:50
22.1575939s,S,8>3:50
22.1585943s,S,5>9:50
22.183619s,S,7>2:50
22.2086061s,S,6>2:50
22.2356129s,S,9>1:51
22.2356129s,S,8>9:50
22.2456329s,S,7>1:50
22.250616s,S,8>2:50
22.2716372s,S,9>4:51
22.2716372s,S,1>9:52
22.2876255s,S,8>7:50
22.2996377s,S,4>9:52
22.2996377s,S,9>5:51
22.3056384s,S,6>4:50
22.3126402s,S,7>3:50
22.3256317s,S,9>7:51
22.3256317s,S,5>9:52
22.3356344s,S,8>5:50
22.366659s,S,8>0:50
22.3676527s,S,7>9:52
22.3676527s,S,9>8:51
22.3866455s,S,9>2:51
22.3866455s,S,8>9:52
22.3966697s,S,6>7:50
22.4046713s,S,9>6:50
22.4086721s,S,9>3:50
22.4146735s,S,7>4:50
22.4166738s,S,2>9:52
22.4716853s,S,7>8:50
22.4806868s,S,9>1:50
22.4816872s,S,9>6:51
22.4816872s,S,9>4:50
22.5036705s,S,6>9:50
22.5086717s,S,9>5:50
22.5176735s,S,9>7:50
22.5186739s,S,7>5:50
22.5346971s,S,9>8:50
22.550681s,S,9>0:50
22.559684s,S,9>8:50
22.573687s,S,7>9:50
22.5816883s,S,6>9:52
22.6267191s,S,9>2:50
22.6267191s,S,9>0:50
22.6577255s,S,9>7:50
22.6577255s,S,9>8:50
22.6997336s,S,9>3:50
22.7027317s,S,9>2:50
22.7027317s,S,9>0:50
22.7337378s,S,9>6:50
22.7707485s,S,9>1:50
22.7797476s,S,9>2:50
22.8097568s,S,9>4:50
22.8107569s,S,9>6:50
22.8367416s,S,9>5:50
22.8857735s,S,9>4:50
22.9107779s,S,9>5:50
22.9367831s,S,9>3:50
23.0067969s,S,9>1:50
23.0418041s,S,9>7:50
25.4253003s,D,10>0
25.4272938s,L,10
25.5323275s,S,0>10:51
25.6233464s,S,10>0:52
25.7133647s,S,0>7:50
25.8183863s,S,0>8:50
25.9004026s,S,0>9:50
25.9414109s,D,7>10
25.9414109s,S,7>10:51
25.9754177s,S,0>3:50
25.9904208s,D,8>10
25.9904208s,S,8>10:51
25.9964219s,S,10>7:52
26.0204268s,S,10>8:52
26.0514332s,S,8>0:50
26.0514332s,S,7>6:50
26.1114275s,S,0>4:50
26.1324303s,S,8>7:50
26.1584557s,S,7>2:50
26.1774596s,S,8>5:50
26.2024441s,S,0>5:50
26.2084443s,S,8>10:50
26.2204471s,S,7>1:50
26.2384512s,S,8>2:50
26.2734596s,S,8>6:50
26.2854711s,S,7>3:50
26.2924635s,S,0>10:50
26.3544995s,S,8>1:50
26.3825022s,S,0>1:50
26.3875035s,S,7>4:50
26.3974881s,S,8>4:50
26.4075108s,S,10>0:51
26.4284962s,S,8>3:50
26.4445186s,S,7>8:50
26.4825262s,S,0>2:50
26.4885275s,D,2>10
26.4885275s,S,2>10:51
26.4915282s,S,7>0:50
26.4975296s,S,10>7:51
26.4975296s,S,0>10:52
26.5055309s,S,8>9:50
26.5345368s,S,10>2:52
26.5545408s,S,10>8:51
26.5545408s,S,7>10:52
26.5665433s,D,9>10
26.5665433s,S,9>10:51
26.5775456s,S,0>6:50
26.580546s,S,2>0:50
26.5845468s,S,8>10:52
26.5895478s,S,10>0:50
26.5925485s,S,10>9:52
26.5965493s,S,7>9:50
26.6035508s,D,6>10
26.6035508s,S,6>10:51
26.6065515s,D,1>10
26.6065515s,S,1>10:51
26.6105523s,S,10>8:50
26.6165533s,S,10>7:50
26.6185539s,S,9>0:50
26.6235548s,S,0>10:51
26.6375576s,S,7>10:50
26.6405582s,S,10>2:50
26.6575616s,S,10>1:52
26.6725648s,S,10>8:50
26.6755655s,S,2>6:50
26.6825667s,S,10>7:50
26.6855674s,S,10>9:50
26.693569s,S,7>5:50
26.693569s,S,10>6:52
26.6945691s,S,9>2:50
26.7035712s,S,10>2:50
26.7095722s,S,1>8:50
26.7145732s,S,10>0:52
26.7255755s,S,9>6:50
26.7385781s,S,10>8:50
26.7495801s,S,1>9:50
26.7495801s,S,10>9:50
26.7705843s,S,2>7:50
26.7705843s,S,10>2:50
26.7705843s,D,4>10
26.7705843s,S,4>10:51
26.7855878s,S,1>10:50
26.7855878s,S,10>6:50
26.7855878s,S,6>2:50
26.8005909s,S,9>4:50
26.8115929s,S,10>4:52
26.8175943s,S,10>9:50
26.8285761s,S,9>5:50
26.8335975s,S,2>8:50
26.8385988s,S,1>0:50
26.854602s,S,4>7:50
26.8566026s,S,9>8:50
26.8686048s,S,2>9:50
26.8726056s,D,5>10
26.8726056s,S,5>10:51
26.8746061s,S,9>10:50
26.8756066s,S,10>1:50
26.8756066s,S,10>6:50
26.8826078s,S,6>4:50
26.8996109s,S,2>10:50
26.8996109s,S,9>3:50
26.911611s,S,4>8:50
26.9166119s,S,10>5:52
26.9266144s,D,3>10
26.9266144s,S,3>10:51
26.9286147s,S,10>0:50
26.9396199s,S,1>6:50
26.9416205s,S,4>9:50
26.9576211s,S,5>8:50
26.9666258s,S,10>1:50
26.9676259s,S,4>10:50
26.9706263s,S,9>1:50
26.9726271s,S,6>7:50
26.9886301s,S,5>9:50
27.0066339s,S,9>7:50
27.0076341s,S,4>0:50
27.0116349s,S,10>3:52
27.0146356s,S,5>10:50
27.0186367s,S,10>7:50
27.0186367s,S,10>0:50
27.0406407s,S,1>7:50
27.0546434s,S,5>0:50
27.0776482s,S,6>9:50
27.0966498s,S,3>0:50
27.0976499s,S,4>6:50
27.1456413s,S,5>6:50
27.1536435s,S,6>10:50
27.2356618s,S,3>6:50
27.2366628s,S,5>7:50
27.2446642s,S,6>0:50
27.3726938s,S,3>7:50
27.3847177s,S,6>1:50
27.4737357s,S,3>8:50
27.4867383s,S,6>3:50
27.5507481s,S,3>9:50
27.5847582s,S,10>2:51
27.6207652s,S,3>10:50
27.6217656s,S,6>5:50
27.6307674s,S,10>6:51
27.6307674s,S,2>10:52
27.69378s,S,6>10:51
27.7117838s,S,6>8:50
27.7217857s,S,10>1:51
27.7737961s,S,1>10:52
27.7737961s,S,10>4:51
27.7857962s,S,10>6:52
27.7857962s,S,6>10:52
27.8168049s,S,10>5:51
27.8168049s,S,4>10:52
27.8578135s,S,10>9:51
27.8578135s,S,5>10:52
27.875817s,S,10>6:50
27.8838186s,S,10>3:51
27.8838186s,S,9>10:52
27.9678361s,S,10>1:50
27.9708368s,S,10>3:50
27.9708368s,S,3>10:52
28.0178464s,S,10>5:50
28.055854s,S,10>0:50
28.0578543s,S,10>3:50
28.1468612s,S,10>0:50
28.1468612s,S,10>7:50
28.2028683s,S,10>8:50
28.2348719s,S,10>2:50
28.2378725s,S,10>7:50
28.2808823s,S,10>9:50
28.2939042s,S,10>8:50
28.3059069s,S,10>4:50
28.3239111s,S,10>2:50
28.3468988s,S,10>5:50
28.3699024s,S,10>9:50
28.3879068s,S,10>6:50
28.3949104s,S,10>4:50
28.4779488s,S,10>1:50
34.0691993s,D,11>0
34.0722s,L,11
34.7183609s,S,0>11:51
34.8083794s,S,11>0:52
34.8983976s,S,0>11:50
34.9894157s,S,0>3:50
35.0514285s,S,11>0:51
35.1254405s,S,0>4:50
35.1434481s,S,0>11:52
35.217461s,S,0>5:50
35.2354651s,S,11>0:50
35.3084621s,S,0>7:50
35.4135075s,S,0>8:50
35.4935235s,S,0>9:50
35.5685386s,S,0>1:50
35.6035455s,D,9>11
35.6035455s,S,9>11:51
35.6285505s,S,11>9:52
35.6545557s,S,9>6:50
35.6705589s,S,0>2:50
35.7305715s,S,9>4:50
35.7565766s,S,9>5:50
35.7685791s,S,0>6:50
35.7825619s,S,9>8:50
35.7975849s,S,9>10:50
35.8055866s,D,6>11
35.8055866s,S,6>11:51
35.8085872s,S,0>11:51
35.8215898s,D,4>11
35.8215898s,S,4>11:51
35.8235901s,S,9>0:50
35.8625981s,S,11>4:52
35.8956048s,S,11>6:52
35.8996056s,S,9>2:50
35.8996056s,S,11>0:52
35.9036061s,S,4>0:50
35.9106079s,S,0>10:50
35.9286114s,D,5>11
35.9286114s,S,5>11:51
35.9306117s,S,9>7:50
35.9706175s,S,11>5:52
35.9726192s,S,9>11:50
35.9806223s,D,10>11
35.9806223s,S,10>11:51
35.9866237s,S,6>5:50
35.9906242s,S,0>1:50
35.9936249s,S,4>6:50
35.999626s,S,9>3:50
36.0116284s,S,5>9:50
36.0126286s,D,7>11
36.0126286s,S,7>11:51
36.0206302s,S,11>10:52
36.0286321s,D,8>11
36.0286321s,S,8>11:51
36.0326326s,D,3>11
36.0326326s,S,3>11:51
36.038612s,S,5>10:50
36.0606392s,S,11>8:52
36.0616394s,S,10>6:50
36.0696302s,S,11>7:52
36.0716372s,S,9>1:50
36.0776385s,S,6>8:50
36.0796388s,S,5>11:50
36.087634s,S,4>7:50
36.0926349s,S,8>11:50
36.0926349s,S,0>2:50
36.1216349s,S,5>0:50
36.1236343s,S,11>3:52
36.1246344s,S,8>0:50
36.1276345s,S,7>11:50
36.1436392s,S,11>8:51
36.1436392s,S,4>8:50
36.1556405s,S,10>1:50
36.1616393s,S,6>11:50
36.1746421s,S,4>9:50
36.1746421s,S,11>6:51
36.1746421s,S,8>11:52
36.1856447s,S,7>5:50
36.1916467s,S,0>6:50
36.2016495s,S,4>10:50
36.2056506s,S,8>7:50
36.2056506s,S,10>9:50
36.2066533s,S,11>0:50
36.2096531s,S,3>10:50
36.2136516s,S,5>6:50
36.2336575s,S,10>4:50
36.2416579s,S,7>9:50
36.2436582s,S,4>11:50
36.2516595s,S,8>5:50
36.2526608s,S,6>0:50
36.2656631s,S,11>4:51
36.2656631s,S,6>11:52
36.2746658s,S,10>5:50
36.2826674s,S,8>4:50
36.2826674s,S,7>10:50
36.2966695s,S,3>11:50
36.2976702s,S,11>9:50
36.3056716s,S,4>11:52
36.3056716s,S,11>7:51
36.3056716s,S,5>7:50
36.3126742s,S,8>3:50
36.3166742s,S,10>3:50
36.3226767s,S,11>6:50
36.333679s,S,0>10:50
36.3386899s,S,7>1:50
36.3617015s,S,11>3:51
36.3617015s,S,7>11:52
36.3627019s,S,5>8:50
36.3837061s,S,3>0:50
36.3877066s,S,8>9:50
36.3977088s,S,6>1:50
36.4037152s,S,10>0:50
36.4047156s,S,7>3:50
36.4067158s,S,8>10:50
36.4157176s,S,11>6:50
36.4157176s,S,11>5:50
36.4177182s,S,11>4:50
36.4247197s,S,0>3:50
36.4387227s,S,8>2:50
36.446724s,S,11>9:51
36.446724s,S,3>11:52
36.4577263s,S,11>8:50
36.4587264s,S,11>10:50
36.471729s,S,11>5:51
36.471729s,S,9>11:52
36.4747297s,S,8>6:50
36.4887324s,S,11>4:50
36.4937334s,S,10>7:50
36.4977342s,S,6>3:50
36.4997344s,S,11>7:50
36.5067362s,S,7>4:50
36.5117372s,S,11>5:50
36.5117372s,S,5>11:52
36.5117372s,S,11>10:51
36.5197388s,S,3>6:50
36.5287406s,S,11>4:50
36.5497445s,D,2>11
36.5497445s,S,10>8:50
36.5497445s,S,2>11:51
36.5537453s,S,11>10:50
36.5537453s,S,10>11:52
36.5537453s,S,11>8:50
36.5547457s,S,8>1:50
36.5547457s,S,11>3:50
36.559744s,S,0>4:50
36.5637449s,S,7>8:50
36.5807512s,S,10>2:50
36.584752s,S,11>0:50
36.5947542s,S,11>7:50
36.5947542s,S,11>10:50
36.5957543s,S,11>2:52
36.609757s,S,7>0:50
36.6267604s,S,10>11:50
36.6327615s,S,6>9:50
36.6407634s,S,11>8:50
36.6407634s,S,11>3:50
36.6417636s,S,2>7:50
36.6507653s,S,0>5:50
36.6507653s,S,11>7:50
36.6557663s,S,3>7:50
36.6717695s,D,1>11
36.6717695s,S,1>11:51
36.6757703s,S,11>9:50
36.6757703s,S,11>0:50
36.7017755s,S,2>8:50
36.7067767s,S,11>7:50
36.7077769s,S,6>10:50
36.7157782s,S,7>6:50
36.7237801s,S,11>1:52
36.7257804s,S,11>4:50
36.7257804s,S,11>3:50
36.7367824s,S,2>9:50
36.7407835s,S,0>7:50
36.7567868s,S,3>8:50
36.7657883s,S,11>10:50
36.7657883s,S,11>9:50
36.7677888s,S,2>10:50
36.7737902s,S,1>6:50
36.7917937s,S,11>6:50
36.7997954s,S,6>2:50
36.807797s,S,11>7:50
36.8107977s,S,11>3:50
36.8147797s,S,2>11:50
36.8207972s,S,7>2:50
36.8328023s,S,3>9:50
36.8468053s,S,0>8:50
36.860808s,S,2>0:50
36.865809s,S,11>5:50
36.8738106s,S,1>7:50
36.8948148s,S,6>4:50
36.8958152s,S,6>11:51
36.8968154s,S,11>0:50
36.8968154s,S,11>3:50
36.9078174s,S,11>8:50
36.9078174s,S,11>5:50
36.9268216s,S,0>9:50
36.9388238s,S,11>2:50
36.9398242s,S,1>8:50
36.9578277s,S,2>6:50
36.9798321s,S,1>9:50
36.9828325s,S,11>4:50
36.9868333s,S,6>7:50
36.9878337s,S,11>9:50
36.9878337s,S,11>0:50
36.9878337s,S,11>6:52
37.0018367s,S,0>11:50
37.0158391s,S,1>10:50
37.0248412s,S,11>10:50
37.0698289s,S,1>11:50
37.0798531s,S,11>6:50
37.0798531s,S,11>9:50
37.0798531s,S,6>9:50
37.1228432s,S,1>0:50
37.1558592s,S,6>10:50
37.1718695s,S,11>5:50
37.1718695s,S,11>6:50
37.214864s,S,11>8:50
37.2478683s,S,6>2:50
37.3428901s,S,6>4:50
37.4329312s,S,6>7:50
37.5379525s,S,6>5:50
37.5539558s,S,11>1:51
37.6039658s,S,11>2:51
37.6039658s,S,1>11:52
37.6289709s,S,6>8:50
37.6499751s,S,2>11:52
37.709987s,S,6>11:50
37.8010059s,S,6>0:50
37.9410319s,S,6>1:50
38.041052s,S,6>3:50
